"AbsCibersort" "Cibersort" "DCQ" "Decon" "dtangle" "EPIC" "GEDIT" "Savant"
"10XImmune" 0.0359949285525078 0.0313370237904117 0.0031931036367727 0.139494313137453 0.205831226117843 0.139366173277355 0.33364965920294 0.135130853274485
"BlueCode" NA 0.520155973558406 0.00784625818844051 0.193681702788091 0.384040567328055 NA 0.576703889289621 0.36857188297153
"BluePrint-Blood" 0.320974856978115 0.314413176462701 0.00567307206492064 0.480036773738203 0.497809251780214 -0.0180628892998544 0.614444253347269 0.279034324542028
"EPIC-BCIC" NA 0.462744560661789 0.00215801790957821 0.536285324314301 0.531666574455083 0.56820300315937 0.654096674388888 0.199820276001817
"EPIC-TIC" NA NA NA NA NA NA NA NA
"HPCA-Blood" 0.478997440515571 0.478225509059704 0.0150026934123947 0.389371876768352 0.38249538435515 0.0157906456901796 0.705658514301588 0.172967830662142
"HPCA-Stromal" NA NA NA NA NA NA NA NA
"ImmunoStates" 0.451291552278332 0.452906427595863 0.139426631089967 0.552104155851707 0.129374959121804 0.400491085796191 0.556928724701588 0.368346830449594
"LM22" 0.345414567037879 0.340327737903328 0.050310821076691 0.5780551838261 0.262381564059421 0.4610879611577 0.578995274162341 0.274875564025839
"SkinSignatures" NA NA 0.0819788982326521 0.465669051420308 0.474170917186296 0.142304813662187 0.683447376619604 0.349760864469996
