"AbsCibersort" "Cibersort" "DCQ" "Decon" "dtangle" "EPIC" "GEDIT" "Savant"
"10XImmune" NA NA NA NA NA NA NA NA
"BlueCode" 0.899108194897258 0.903895301892366 0.634083681750903 0.903050592792876 0.971850390335336 0.0647824845760177 0.981527675464683 0.976996990123935
"BluePrint-Blood" NA NA NA NA NA NA NA NA
"EPIC-BCIC" NA NA NA NA NA NA NA NA
"EPIC-TIC" 0.979843799334715 0.979851080817936 0.80512092933114 0.931079360450562 0.99706403899217 0.99497613073132 0.917444567421555 0.968165509591317
"HPCA-Blood" NA NA NA NA NA NA NA NA
"HPCA-Stromal" 0.994374074098605 0.994158204115378 0.85229389057047 0.997061614146356 0.985216681125648 0.996660543911707 0.985420918743581 0.988748226347199
"ImmunoStates" NA NA NA NA NA NA NA NA
"LM22" NA NA NA NA NA NA NA NA
"SkinSignatures" 0.978856804145714 0.977449074657239 0.823221106876227 0.991837511392437 0.987024972639304 0.1985050184676 0.947447971200842 0.943777019083526
