"AbsCibersort" "Cibersort" "DCQ" "Decon" "dtangle" "EPIC" "GEDIT" "Savant"
"10XImmune" 0.953429747773953 0.911355993255849 0.532619695633775 0.940851861392828 0.980277971801084 0.797769683060992 0.968682607424265 0.137547819094934
"BlueCode" 0.810598129922156 0.834807630182549 0.549697306821072 0.226586293161778 0.900992283942379 0.215249763213202 0.981152875463924 0.866110963127699
"BluePrint-Blood" 0.891768597149802 0.9127756705013 0.265715366639442 0.2336662641803 0.931198452556223 -0.0648177560891562 0.983817653850919 0.809248584991109
"EPIC-BCIC" 0.907616733554422 0.918995756737153 0.547638242705975 0.979161817358781 0.898759473577841 0.970723450988304 0.983889967383886 0.789185514249417
"EPIC-TIC" NA NA NA NA NA NA NA NA
"HPCA-Blood" 0.971696901655096 0.991048566542559 0.503356849829669 0.863387140686038 0.973794777411631 0.598331193471703 0.97098717898922 0.800586786466324
"HPCA-Stromal" NA NA NA NA NA NA NA NA
"ImmunoStates" 0.965956215432823 0.96895268390078 0.551653889521223 0.909367334711619 0.788961388171208 0.62449856760741 0.941154692341889 0.826244910927739
"LM22" 0.909469926496172 0.905179123079783 0.600095060820363 0.885103713664721 0.938674025849512 0.856782504690561 0.932455947859361 0.86797894325924
"SkinSignatures" 0.795939241096608 0.859598916648221 0.444902333049243 NA 0.962858023227732 -0.0451544526905614 0.987191337203973 0.877083794902763
