"AbsCibersort" "Cibersort" "DCQ" "Decon" "dtangle" "EPIC" "GEDIT" "Savant"
"10XImmune" 0.82247041516159 0.818483729951443 -0.0456464096345899 NA 0.894612723563147 -0.223449008471343 0.99305746347273 0.894559359788737
"BlueCode" -0.684729683155567 -0.684019172558566 0.359625942875503 -0.777185212952078 0.907729551723019 -0.298326977640326 0.971781690480943 0.593510919710467
"BluePrint-Blood" 0.40869949434456 0.407523620216796 0.290945594401369 -0.746779264545415 0.80906764996138 -0.828631695133074 0.979930719306163 0.140795336542411
"EPIC-BCIC" 0.825479067752175 0.813968508175928 0.280700019525827 0.854682026944736 0.849163321289326 0.947920428496955 0.952081468001022 0.95858362797972
"EPIC-TIC" 0.978113684196878 0.976438417657606 0.665964144594048 -0.60586803533864 0.890190449243979 0.941327861974122 0.954668809580922 -0.547490266341788
"HPCA-Blood" 0.763385607603443 0.760698159173058 0.103086975980232 0.931583508077948 0.586931034619772 -0.367853657577915 0.903851198733464 -0.0491258225676466
"HPCA-Stromal" 0.783012642449456 0.777465783698285 0.103086975980232 NA 0.787326414787055 -0.205001227257589 0.907047986578678 -0.0491258225676466
"ImmunoStates" 0.944914153391677 0.95532414148918 -0.0709730116826216 0.881902599201014 0.663460056995435 0.724170977141518 0.862551189893483 0.75114773551309
"LM22" 0.967370623576835 0.95896323920393 0.665054118714879 0.868038032549771 0.925030054534722 0.814153276850953 0.937250858073028 0.963472214339854
"SkinSignatures" 0.946263525328348 0.946287576604455 -0.555146115303722 0.85290286199161 0.927762666358334 0.632172209831905 0.938508143198775 0.907552826731629
