"AbsCibersort" "Cibersort" "DCQ" "Decon" "dtangle" "EPIC" "GEDIT" "Savant"
"10XImmune" 0.0564706532404677 0.0561551565069317 0.595159592503917 NA 0.798477824783865 0.0493345757937607 0.903637973938398 0.120592001568237
"BlueCode" NA NA 0.410854301978535 NA 0.648869435840826 0.0137205459957088 0.69165799762341 -0.0583487693702973
"BluePrint-Blood" NA NA 0.038363899363193 0.360288108622946 0.725333237348762 0.137356014430956 0.772857468413346 -0.0992633950315731
"EPIC-BCIC" 0.661146123513636 0.658874382408283 0.574051411478806 0.262103343220428 0.822323229055148 0.900055554684773 0.771953197753176 0.000318553484683273
"EPIC-TIC" NA NA 0.818570329556612 NA 0.929197636005873 0.859693415060161 0.849631632631227 0.370640967847638
"HPCA-Blood" 0.519556960835342 0.519596376254321 0.444530762983187 0.573187718350803 0.864013486542436 0.448558324109814 0.661889998155657 0.35219846178571
"HPCA-Stromal" 0.446356712257132 0.44662311313106 0.444530762983309 NA 0.770055027357993 0.247806869013723 0.677500483641821 0.35219846178571
"ImmunoStates" 0.30544299747693 0.271917533987191 0.787008550389918 0.729907784788424 0.897597034777913 0.767699278274255 0.221225139575063 0.3136188774032
"LM22" 0.605778238027188 0.567469421359191 0.458319838846353 0.366344078631355 0.632229940630597 0.564415049870095 0.162741927306436 0.266024420073532
"SkinSignatures" 0.35300979832347 0.35300979832347 0.293534328651531 NA 0.860227391473161 -0.0430850684935174 0.72937849079495 0.0296887830382375
