Mixture	Bcells	CD4_Tcells	CD8_Tcells	Endothelial	CAFs	Macrophages	P-value	Correlation	RMSE	Absolute score (sig.score)
mix_1	0	0.16755754207835	0.533222548149364	0.119233337379622	0.0761683979863474	0.103131350523437	9999	0.41727635138697	1.05726212463879	0.999313176117121
mix_2	0	0.19458950374193	0.406991947714522	0.244117560924615	0.0925848167236614	0.0610293470123925	9999	0.417056322923276	1.06172855668117	0.999313176117121
mix_3	0	0.196382259532159	0.222473432375803	0.172574066694032	0.303274581574079	0.104608835941049	9999	0.438513031211236	1.01407866710537	0.999313176117121
mix_4	0	0.314154220836808	0.463102339209031	0.00598863624901013	0.133521205701192	0.0822959098724582	9999	0.434815432710157	1.01874115005513	0.9990623118685
mix_5	0	0.234054836916961	0.407558144333413	0.0157219168070075	0.255913262870588	0.085814150940531	9999	0.436793213473632	1.01331528545101	0.9990623118685
mix_6	0	0.295334650175278	0.465104622451385	0.0214723172831971	0.140288266344227	0.0768624556144125	9999	0.434321767698418	1.02143291170865	0.9990623118685
mix_7	0	0.217074212270047	0.335576275441339	0.069338624799801	0.297562837785129	0.0797612258208052	9999	0.439144939599713	1.01138095118652	0.999313176117121
mix_8	0	0.158716562109615	0.382885616553595	0.157626400132322	0.220716597840843	0.0793679994807466	9999	0.419835434917035	1.04495258161621	0.999313176117121
mix_9	0	0.292583374380739	0.548485900073991	0.00686030211237386	0.0690361073138615	0.0820966279875337	9999	0.428897610896613	1.03370402816712	0.9990623118685
mix_10	0	0.39943816075286	0.290551480519152	0.0751121859355672	0.111571176298365	0.122389308362555	9999	0.449267740656204	0.995346975825871	0.9990623118685
mix_11	0	0.212578343555976	0.565035748923572	0.110322994370914	0.00939869630537472	0.101977392961284	9999	0.416810672873011	1.06007282072999	0.999313176117121
mix_12	0	0.289953855811817	0.373540290615233	0.0269356900404983	0.218716111039204	0.0899163643617472	9999	0.439250958166134	1.0082846764664	0.9990623118685
mix_13	0	0.394704221108957	0.330568940926497	0.126715295396158	0.0522453912485938	0.0948284631882942	9999	0.435072357612356	1.01862082364779	0.9990623118685
mix_14	0	0.374294546072561	0.451673658332455	0.0190189133740079	0.0424707297917135	0.111855328546383	9999	0.440157168490523	1.01381820580641	0.999313176117121
mix_15	0	0.215262245683286	0.39097616130929	0.119251405985469	0.191975926496636	0.0818474366424392	9999	0.425971234506335	1.03405686476636	0.999313176117121
mix_16	0	0.17147166473799	0.176938019278522	0.197522180569913	0.382145041575013	0.0712362699556828	9999	0.435926712409176	1.01833611674169	0.999313176117121
mix_17	0	0.199959380325231	0.16690657352429	0.198171343461657	0.364749112190893	0.0695267666150514	9999	0.437588109692169	1.01519318778972	0.999313176117122
mix_18	0	0.457843376421983	0.209456722386954	0.167626489327264	0.0479660612270781	0.116420526753842	9999	0.448260538076562	0.99903584631903	0.999313176117122
mix_19	0	0.165495534829403	0.251865807550228	0.20421869792443	0.275864346601451	0.101868789211609	9999	0.428505174284167	1.03026281126708	0.999313176117122
mix_20	0	0.283631264301917	0.433345043992362	0.153866686140544	0.0645145664203883	0.0639556152619101	9999	0.423496921054574	1.0449800600562	0.999313176117121
mix_21	0	0.281676033879405	0.230664448401606	0.154164093082368	0.255669184659956	0.0771394160937871	9999	0.43823302953239	1.01159267045448	0.999313176117121
mix_22	0	0.300294049526063	0.487180040562669	0.00941979821411473	0.0817573094807943	0.120661978333481	9999	0.434126674236287	1.02173492116178	0.999313176117122
mix_23	0	0.318337253056307	0.453150570742586	0.1106763835123	0.0194528816025644	0.0976960872033644	9999	0.42975002094839	1.0349199928967	0.999313176117121
mix_24	0	0.263773041373215	0.347528179019849	0.0567599085286207	0.256203280835569	0.0747979021112468	9999	0.437609838520899	1.01158699972405	0.9990623118685
mix_25	0	0.343729167329919	0.468358631717959	0.051682465148101	0.0529444294467273	0.0823476182257927	9999	0.432956784971436	1.02649860464915	0.9990623118685
