Mixture	CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT	P-value	Correlation	RMSE
mix_1	0.111705056212553	0.00596819085681584	0.351549217236174	0	0	0.316127104554935	0.214650431139522	0	0	9999	0.498674656865444	0.942722921122039
mix_2	0.107390633147523	0.0122262447327583	0.285348681884019	0	0	0.374130018445417	0.220904421790283	0	0	9999	0.507844101800701	0.933008042669317
mix_3	0.15712780429602	0	0.268701960094008	0	0	0.349716860627111	0.193750597948304	0	0.0307027770345574	9999	0.508820334329216	0.925273038463574
mix_4	0.0750209532791657	0	0.376948718303472	0	0	0.332071275151739	0.215959053265624	0	0	9999	0.504198361840742	0.944757941907281
mix_5	0.0939279703454596	0	0.33276369197574	0	0	0.363171593525716	0.210136744153084	0	0	9999	0.505234142617386	0.938764422185089
mix_6	0.079511805377888	0	0.379825521009878	0	0	0.327227988521515	0.213434685090719	0	0	9999	0.503592843171747	0.944530849377765
mix_7	0.109710887140933	0	0.310029767800485	0	0	0.37385883607651	0.206400508982073	0	0	9999	0.509057471447431	0.93167798714337
mix_8	0.11546354569788	0	0.275444694206368	0	0	0.399938708203492	0.20915305189226	0	0	9999	0.504772839869898	0.933696255231129
mix_9	0.0686639267469702	0.00638958307633516	0.382301413201928	0	0	0.323874007224401	0.218771069750365	0	0	9999	0.499658258002315	0.950441100242746
mix_10	0.121771838488781	0	0.380911539434939	0	0	0.304702560561653	0.192614061514627	0	0	9999	0.508955297968967	0.93158000876946
mix_11	0.0950834938528435	0.0283061338023023	0.379338146026962	0	0	0.279856830145811	0.217415396172081	0	0	9999	0.495401428520138	0.949625277782392
mix_12	0.101565101201272	0	0.345449168741941	0	0	0.353067455355245	0.199918274701542	0	0	9999	0.50663352853814	0.936166145073488
mix_13	0.0879589612453256	0	0.383165319720332	0	0	0.336544796661908	0.192330922372434	0	0	9999	0.504520815389231	0.941384494372338
mix_14	0.0867811064559198	0.010472048987994	0.378504618775654	0	0	0.309325384632705	0.214916841147728	0	0	9999	0.49971098452604	0.946909876114752
mix_15	0.103152135202302	0	0.339435067447416	0	0	0.343624564292129	0.213788233058154	0	0	9999	0.506444978808822	0.936496756102485
mix_16	0.161511877376555	0	0.226497779418502	0	0	0.377390966345331	0.204535146890168	0	0.0300642299694448	9999	0.50780526912312	0.924611058456265
mix_17	0.139360222297682	0	0.215142618636617	0	0	0.406249291922132	0.208543813993373	0	0.0307040531501957	9999	0.507935065371468	0.927743152781351
mix_18	0.12255106677965	0	0.403284100137254	0.0688180542146423	0	0.230138182178868	0.175208596689587	0	0	9999	0.507826513467383	0.93964761907753
mix_19	0.155648036966846	0	0.238660779624176	0	0	0.407712990512412	0.197978192896567	0	0	9999	0.506483129621799	0.924246809328813
mix_20	0.0785617515282473	0.00610704038200286	0.379155324835678	0	0	0.320357965709724	0.215817917544347	0	0	9999	0.504731953330696	0.943702514171371
mix_21	0.124810697449549	0	0.297298811442685	7.32232653956226e-05	0	0.381334146291468	0.196483121550902	0	0	9999	0.512806396459951	0.924962458124898
mix_22	0.0982046422013717	0.00858177790500585	0.351321108510963	0	0	0.336459630161985	0.205432841220674	0	0	9999	0.495764216156443	0.947230688845828
mix_23	0.0914462065950737	0.0214585965731376	0.36693502983325	0	0	0.3110660336202	0.209094133378339	0	0	9999	0.501399366069279	0.943847671108072
mix_24	0.094638556912521	0	0.335026376636469	0	0	0.364348963938679	0.205986102512331	0	0	9999	0.509883198852536	0.934195073334966
mix_25	0.0652057231785809	0.0105514159564431	0.377680230230746	0	0	0.32802269159219	0.218539939042041	0	0	9999	0.502640873317063	0.948065578070243
mix_26	0.149403899059891	0	0.25899262227208	0.0135993307586145	0	0.384458545049812	0.193545602859603	0	0	9999	0.512878235538851	0.921083525677752
mix_27	0.083557862054187	0.0219213844999887	0.358712558632699	0	0	0.326032307413539	0.209775887399587	0	0	9999	0.498007545524491	0.948096202397779
mix_28	0.0798520216310364	0	0.363262050572777	0	0	0.347466318292718	0.209419609503469	0	0	9999	0.504590403785835	0.942771351779174
mix_29	0.101179814054242	0.0163896370815809	0.364168885959208	0	0	0.309225600429636	0.209036062475333	0	0	9999	0.497428406950004	0.94579076252185
mix_30	0.0758046260851866	0.00176666533884536	0.372506496198417	0	0	0.338211785037263	0.211710427340288	0	0	9999	0.503636181511345	0.944789395149155
mix_31	0.108660692887382	0	0.362806121574106	0	0	0.324027413174647	0.204505772363865	0	0	9999	0.504305447142441	0.937945391838266
mix_32	0.086792196504385	0.011989744588809	0.445137769539435	0	0	0.246618349602257	0.209461939765115	0	0	9999	0.494380228940587	0.953972195188354
mix_33	0.119310853131904	0	0.346804393245051	0	0	0.341830808536943	0.192053945086102	0	0	9999	0.507575105401497	0.932104534022694
mix_34	0.170998735218662	0	0.339224099882502	0.0145761315429004	0	0.276990345359616	0.19821068799632	0	0	9999	0.508765229160769	0.924402638442356
mix_35	0.096600090141638	0	0.364872473212039	0	0	0.332682084923931	0.205845351722393	0	0	9999	0.502842456641457	0.941447678589919
mix_36	0.111522275232378	0	0.350992676370755	0	0	0.331262952929375	0.206222095467493	0	0	9999	0.505464266071006	0.936077407045014
mix_37	0.131241781605169	0	0.263577836279469	0	0	0.40938897018999	0.195791411925371	0	0	9999	0.508367812007264	0.926938476410445
mix_38	0.13019831649463	0	0.289705985719903	0	0	0.379124975674813	0.200970722110654	0	0	9999	0.508689042168422	0.927859890463777
mix_39	0.0848272801109242	0.0017770120184944	0.386922232770876	0	0	0.309612481359312	0.216860993740393	0	0	9999	0.50434470579034	0.943318064096131
mix_40	0.111156254605632	0	0.35740518208885	0	0	0.332307201739263	0.199131361566254	0	0	9999	0.5039617634135	0.93743364679178
mix_41	0.156077038523775	0	0.356863583794382	0.0129047522436928	0	0.278057585385965	0.196097040052186	0	0	9999	0.509819638844478	0.926013063914435
mix_42	0.0693474805444656	0.00715778934143588	0.424750679280275	0.0162146401093252	0	0.278094044114325	0.204435366610173	0	0	9999	0.499423162050337	0.953146722943614
mix_43	0.134479031553549	0	0.365700265340077	0.00509861997544406	0	0.300287183828402	0.194434899302527	0	0	9999	0.512961593041707	0.925917672924847
mix_44	0.0962991965948128	0.0183863936597892	0.357539945900969	0	0	0.324010375348185	0.203764088496244	0	0	9999	0.502139919191558	0.941772125408997
mix_45	0.104524984466641	0	0.320877630828808	0	0	0.368777192298672	0.205820192405878	0	0	9999	0.500676595036497	0.940628570902128
mix_46	0.13818856981492	0	0.351218331212011	0	0	0.305469901198758	0.20512319777431	0	0	9999	0.510237928609069	0.927345115706559
mix_47	0.167169476184648	0	0.250033625596239	0.0138544516164964	0	0.312466929082415	0.189128619248922	0	0.0673468982712804	9999	0.501388275261073	0.934354333136929
mix_48	0.110526557896752	0.00085482850914937	0.392259840182411	0.00874377393657545	0	0.300759483211846	0.186855516263267	0	0	9999	0.506958293916238	0.936300338972982
mix_49	0.13557049193033	0.0138734275353377	0.417869565228547	0	0	0.225003847845723	0.207682667460061	0	0	9999	0.496168467391674	0.94302077693021
mix_50	0.0885198007495533	0	0.371475260990719	0	0	0.328346173890503	0.211658764369225	0	0	9999	0.50067943841006	0.94532899238607
mix_51	0.156092848546802	0	0.232698061391029	0.0141756301402374	0	0.395627586013837	0.201405873908095	0	0	9999	0.511753473776272	0.920674481809253
mix_52	0.140206433806662	0	0.352617952246863	0	0	0.308687293644127	0.198488320302347	0	0	9999	0.51117688320336	0.925922630297075
mix_53	0.145902411989898	0	0.400333056198572	0.00675204870215401	0	0.241655646283734	0.205356836825642	0	0	9999	0.511144147632096	0.927570188977333
mix_54	0.0959777526885507	0	0.368494802531775	0	0	0.328061102576856	0.207466342202818	0	0	9999	0.507716494124241	0.937202446056514
mix_55	0.119591834851944	0	0.380727801534811	0.0287266194870244	0	0.283362917696204	0.187590826430015	0	0	9999	0.510831077562936	0.932879836777365
mix_56	0.0901728989921345	0.00265204623387344	0.365557696340019	0	0	0.33575133880725	0.205866019626723	0	0	9999	0.503056359643022	0.942353972581145
mix_57	0.0773515712613322	0	0.340989205749552	0	0	0.358962425462886	0.22269679752623	0	0	9999	0.502256666439672	0.945234672334675
mix_58	0.104085067012353	0	0.33192874379887	0	0	0.357906731829873	0.206079457358904	0	0	9999	0.507337229353463	0.93491096001492
mix_59	0.161207297762715	0	0.270968969522861	0	0	0.359793793080886	0.208029939633539	0	0	9999	0.512071560759988	0.919747899590365
mix_60	0.11687276337919	0	0.380650482923241	0	0	0.311945026281717	0.190531727415853	0	0	9999	0.511466100145833	0.929939727195422
mix_61	0.106236769398061	0	0.332247711824032	0	0	0.346163263708004	0.215352255069903	0	0	9999	0.507492205766534	0.934844176918043
mix_62	0.132647989741108	0	0.298923825680564	0	0	0.367095934862856	0.201332249715472	0	0	9999	0.509253042747669	0.927269325437117
