Mixture	CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT	P-value	Correlation	RMSE	Absolute score (sig.score)
mix_1	0.15068141620923	0.00805062439477218	0.474212499563163	0	0	0.426430829825881	0.289546704963091	0	0	9999	0.498674656865438	0.942722921122056	1.34892207495614
mix_2	0.145533745937405	0.0165687745988827	0.386699112908527	0	0	0.507013893634132	0.299365475880079	0	0	9999	0.507844101800718	0.93300804266929	1.35518100295903
mix_3	0.21271734361716	0	0.363764818276577	0	0	0.473441616167694	0.262296750753136	0	0.0415649744596844	9999	0.508820334329211	0.925273038463592	1.35378550327425
mix_4	0.10095534806599	0	0.507258137839537	0	0	0.446866771219329	0.290615094016255	0	0	9999	0.504198361840741	0.94475794190727	1.34569535114111
mix_5	0.126701512654932	0	0.448872289849943	0	0	0.48989017950372	0.283458092947542	0	0	9999	0.505234142617391	0.93876442218507	1.34892207495614
mix_6	0.106883943681485	0	0.510581408675881	0	0	0.439877043789471	0.286910110421815	0	0	9999	0.503592843171764	0.944530849377677	1.34425250656865
mix_7	0.147896530439331	0	0.417937801667043	0	0	0.503983024572605	0.278239652917442	0	0	9999	0.509057471447427	0.931677987143376	1.34805700959642
mix_8	0.155273445488963	0	0.37041341882054	0	0	0.537830887072091	0.281265526756063	0	0	9999	0.504772839869895	0.933696255231134	1.34478327813766
mix_9	0.0924841103822403	0.00860619155591042	0.514925489596614	0	0	0.436229048543011	0.294664880407472	0	0	9999	0.499658258002303	0.950441100242732	1.34690972048525
mix_10	0.165057132076751	0	0.516311218212274	0	0	0.413012823054497	0.261081092195329	0	0	9999	0.508955297968965	0.931580008769472	1.35546226553885
mix_11	0.129143273790986	0.0384456506542248	0.515220550556735	0	0	0.380104114534618	0.29529558597939	0	0	9999	0.495401428520129	0.949625277782401	1.35820917551595
mix_12	0.136417252101232	0	0.463990344940921	0	0	0.474222853088041	0.268520400777174	0	0	9999	0.506633528538148	0.936166145073444	1.34315085090737
mix_13	0.118497978926752	0	0.516198865230468	0	0	0.453391873416432	0.259107489033289	0	0	9999	0.504520815389229	0.941384494372341	1.34719620660694
mix_14	0.117410001376045	0.0141680987526542	0.512095657985819	0	0	0.4185000090295	0.290770510372504	0	0	9999	0.499710984526026	0.946909876114754	1.35294427751652
mix_15	0.138662516303562	0	0.456286440233564	0	0	0.461918181868448	0.287385368163078	0	0	9999	0.506444978808815	0.93649675610249	1.34425250656865
mix_16	0.217774994981192	0	0.305398919121846	0	0	0.50885617291286	0.275785541664061	0	0.0405371891964846	9999	0.507805269123121	0.924611058456259	1.34835281787644
mix_17	0.187582095966844	0	0.289586961546796	0	0	0.546820982396625	0.280704817234547	0	0.041328368666695	9999	0.507935065371467	0.927743152781367	1.34602322581151
mix_18	0.166414187615227	0	0.547626370508293	0.0934492117151162	0	0.312508569961396	0.237918747241064	0	0	9999	0.507826513467379	0.939647619077532	1.3579170870411
mix_19	0.210336482101962	0	0.322516555814903	0	0	0.550966898155739	0.267539748256662	0	0	9999	0.506483129621796	0.92424680932882	1.35135968432927
mix_20	0.105815586791975	0.00822563205377263	0.51068799259469	0	0	0.431493258049547	0.290687250995263	0	0	9999	0.504731953330706	0.943702514171322	1.34690972048525
mix_21	0.167672034734083	0	0.399394424174292	9.83689235773518e-05	0	0.512288397780774	0.263957540936353	0	0	9999	0.512806396459939	0.92496245812495	1.34341076654908
mix_22	0.132807679217841	0.0116056225197042	0.475111359661823	0	0	0.455013343875665	0.277818423507967	0	0	9999	0.495764216156474	0.947230688845737	1.352356428783
mix_23	0.123852936920538	0.0290630995728377	0.496969560532144	0	0	0.421301695003081	0.283192966400681	0	0	9999	0.50139936606926	0.943847671108083	1.35438025842928
mix_24	0.12735466607588	0	0.450843437549397	0	0	0.490302706965355	0.277194540550479	0	0	9999	0.509883198852535	0.934195073334968	1.34569535114111
mix_25	0.0878820308638141	0.0142208354970653	0.509024423498109	0	0	0.44209770095726	0.294540612873175	0	0	9999	0.502640873317051	0.948065578070237	1.34776560368942
mix_26	0.201602739759138	0	0.349479649165984	0.0183506746283093	0	0.518780945434461	0.261166703481982	0	0	9999	0.512878235538845	0.921083525677772	1.34938071246987
mix_27	0.112665478756386	0.0295577605629726	0.483671089239824	0	0	0.439606580419699	0.282851908897562	0	0	9999	0.498007545524472	0.948096202397797	1.34835281787644
mix_28	0.107362834986394	0	0.488413978703219	0	0	0.467176262191831	0.281569364415562	0	0	9999	0.504590403785849	0.942771351779104	1.34452244029701
mix_29	0.136638971481396	0.0221334974249967	0.491794361237888	0	0	0.417595825742164	0.282294179388785	0	0	9999	0.497428406949994	0.945790762521853	1.35045683527523
mix_30	0.101940793565362	0.00237578200535398	0.500940507085044	0	0	0.454821552987198	0.2847046424947	0	0	9999	0.503636181511375	0.944789395149057	1.34478327813766
mix_31	0.146741575435811	0	0.489954006759276	0	0	0.437585034938154	0.276176218141988	0	0	9999	0.504305447142453	0.937945391838213	1.35045683527523
mix_32	0.118145714249917	0.016321017271434	0.605942951555237	0	0	0.335708764548075	0.285129671542297	0	0	9999	0.494380228940576	0.953972195188356	1.36124811916696
mix_33	0.161521303353274	0	0.469498760046943	0	0	0.462765593169972	0.259999846704062	0	0	9999	0.507575105401495	0.932104534022689	1.35378550327425
