Tool	Reference	SampleName	CellType	Prediction	Answer	Error	SqError
dtangleFullRef	HPCA-Blood	A	B Cells	0.357107263456	0.194	0.163107263456	0.0266039793921
dtangleFullRef	HPCA-Blood	A	Monocytes	0.212700818566	0.194	0.018700818566	0.000349720615038
dtangleFullRef	HPCA-Blood	A	NK Cells	0.0873962059206	0.194	0.106603794079	0.0113643689121
dtangleFullRef	HPCA-Blood	A	Neutrophils	0.0382953136669	0.03	0.0082953136669	6.88122288323e-05
dtangleFullRef	HPCA-Blood	A	CD4 T Cells	0.235568349634	0.194	0.041568349634	0.00172792769129
dtangleFullRef	HPCA-Blood	A	CD8 T Cells	0.0689320487564	0.194	0.125067951244	0.0156419924283
dtangleFullRef	HPCA-Blood	B	B Cells	0.359789775088	0.194	0.165789775088	0.0274862495237
dtangleFullRef	HPCA-Blood	B	Monocytes	0.216043662982	0.194	0.022043662982	0.000485923077664
dtangleFullRef	HPCA-Blood	B	NK Cells	0.0769372986061	0.194	0.117062701394	0.0137036760576
dtangleFullRef	HPCA-Blood	B	Neutrophils	0.0391889536501	0.03	0.0091889536501	8.44368691837e-05
dtangleFullRef	HPCA-Blood	B	CD4 T Cells	0.237629891106	0.194	0.043629891106	0.00190356739792
dtangleFullRef	HPCA-Blood	B	CD8 T Cells	0.0704104185684	0.194	0.123589581432	0.0152743846384
dtangleFullRef	HPCA-Blood	C	B Cells	0.311595342838	0.005	0.306595342838	0.09400070425
dtangleFullRef	HPCA-Blood	C	Monocytes	0.195108440727	0.01	0.185108440727	0.0342651348284
dtangleFullRef	HPCA-Blood	C	NK Cells	0.102139645804	0.051	0.051139645804	0.00261526337296
dtangleFullRef	HPCA-Blood	C	Neutrophils	0.0379213019377	0.004	0.0339213019377	0.00115065472515
dtangleFullRef	HPCA-Blood	C	CD4 T Cells	0.279915829816	0.828	0.548084170184	0.300396257606
dtangleFullRef	HPCA-Blood	C	CD8 T Cells	0.0733194388768	0.102	0.0286805611232	0.000822574586342
dtangleFullRef	HPCA-Blood	D	B Cells	0.327324615081	0.005	0.322324615081	0.103893157487
dtangleFullRef	HPCA-Blood	D	Monocytes	0.189954604799	0.01	0.179954604799	0.0323836597884
dtangleFullRef	HPCA-Blood	D	NK Cells	0.0802681087226	0.051	0.0292681087226	0.000856622188198
dtangleFullRef	HPCA-Blood	D	Neutrophils	0.0397897457607	0.004	0.0357897457607	0.00128090590162
dtangleFullRef	HPCA-Blood	D	CD4 T Cells	0.286681147569	0.828	0.541318852431	0.293026099997
dtangleFullRef	HPCA-Blood	D	CD8 T Cells	0.0759817780677	0.102	0.0260182219323	0.000676947872518
dtangleFullRef	HPCA-Blood	E	B Cells	0.317219152237	0.01	0.307219152237	0.0943836075012
dtangleFullRef	HPCA-Blood	E	Monocytes	0.20388655465	0.026	0.17788655465	0.0316436263252
dtangleFullRef	HPCA-Blood	E	NK Cells	0.0949365473354	0.104	0.0090634526646	8.21461742034e-05
dtangleFullRef	HPCA-Blood	E	Neutrophils	0.040052097385	0.008	0.032052097385	0.00102733694678
dtangleFullRef	HPCA-Blood	E	CD4 T Cells	0.260598558938	0.005	0.255598558938	0.0653306233312
dtangleFullRef	HPCA-Blood	E	CD8 T Cells	0.0833070894546	0.846	0.762692910545	0.581700475796
dtangleFullRef	HPCA-Blood	F	B Cells	0.336027484952	0.027	0.309027484952	0.0954979864558
