T cells	CD8 T cells	Cytotoxic lymphocytes	NK cells	B lineage	Monocytic lineage	Myeloid dendritic cells	Neutrophils	Endothelial cells	Fibroblasts
mix_1	337.156333333333	978.28	1298.635	109.974375	390.304444444444	252.757142857143	28.449	105.045384615385	7.6365	23.33
mix_2	273.497333333333	1030.03	619.036428571429	48.869375	217.988333333333	295.644285714286	35.323	118.63	8.279	22.701
mix_3	849.322	1262.13	985.179285714286	72.6375	1627.83333333333	86.2171428571429	13.262	57.3365384615385	6.6485	24.926
mix_4	549.793333333333	1330.285	1041.72571428571	73.204375	2022.045	144.697857142857	16.536	72.2973076923077	7.264	23.994
mix_5	569.323666666667	2325.57	1703.70857142857	119.173125	1448.78944444444	127.877142857143	17.679	72.8461538461538	6.2385	29.049
mix_6	474.745	1801.34	953.595714285714	74.361875	1179.79111111111	193.69	20.018	87.6276923076923	7.373	26.971
mix_7	577.504333333333	1341.7	1369.38071428571	101.99125	2648.71333333333	110.833571428571	15.805	63.2169230769231	7.0335	26.552
mix_8	374.263666666667	643.07	129.675714285714	4.92875	2006.41555555556	225.055	26.475	97.9273076923077	7.9615	18.278
mix_9	471.55	1182.87	1534.24357142857	119.334375	534.736111111111	200.250714285714	26.398	85.5469230769231	7.524	24.857
mix_10	537.754333333333	1943.14	272.032142857143	13.555625	2935.58444444444	130.632857142857	17.405	70.7111538461538	6.83	26.077
mix_11	305.027666666667	503.79	678.378571428571	48.205	431.451666666667	280.059285714286	31.091	113.440384615385	10.044	19.936
mix_12	444.901	1593.285	624.46	43.65875	186.861666666667	243.313571428571	26.995	106.075	7.5475	28.616
mix_13	453.462666666667	1115.02	1482.49714285714	122.7225	3379.81555555556	110.134285714286	17.836	60.9784615384615	6.82	21.275
mix_14	503.593333333333	2307.65	488.443571428571	26.7625	3256.80555555556	128.751428571429	18.107	67.1930769230769	8.413	26.615
mix_15	474.849333333333	2300.27	2958.30928571429	219.37625	2858.77666666667	77.335	15.326	50.6057692307692	7.13	36.052
mix_16	679.809666666667	1398.075	777.491428571429	57.45375	1718.13333333333	127.537857142857	15.098	68.7173076923077	6.4615	24.831
mix_17	720.763666666667	2613.855	610.944285714286	30.718125	4559.84055555556	39.18	15.539	38.4573076923077	8.2	26.589
mix_18	239.593	846.85	330.74	25.754375	419.903333333333	310.238571428571	36.903	125.804615384615	9.178	21.799
mix_19	431.615666666667	1805.86	825.818571428571	54.280625	1840.87833333333	197.31	19.964	87.5873076923077	7.0235	26.087
mix_20	964.803333333333	4534.17	1772.06642857143	121.431875	1058.31444444444	29.885	10.766	45.8357692307692	5.369	41.952
