RefMat	AbsCibersort_err	Cibersort_err	CIBERSORTx_err	DCQ_err	Decon_err	dtangle_err	EPIC_err	GEDIT_err	MCP_err	Savant_err	xCell_err
10XImmune.tsv	0.133631973099389	0.133631973099384	NA	0.12533084445805	0.237968303131976	0.200000000004	0.233176647090273	0.0907713075970185	NA	0.193912984532589	NA
BlueCodeV1.tsv	0.101480238596133	0.101480238596141	NA	0.138433507010768	0.26369405605463	0.200000000004	0.134400893942125	0.0535445907722983	NA	0.101283839207272	NA
BluePrint-Blood.tsv	0.131894700704822	0.131894700704812	NA	0.195569998185475	0.24429815911061	0.200000000004	0.319880686168835	0.0611327070684209	NA	0.228903487526017	NA
EPIC-BCIC.tsv	0.174408968427001	0.17440896842693	NA	0.152271212817325	0.165013275810198	0.200000000004	0.199968127667287	0.053349284949508	NA	0.201665467501529	NA
EPIC-TIC.tsv	0.260064954742123	0.260064954742139	NA	0.191765339051317	0.293444740314929	0.200000000004	0.306386172173961	0.194113829011851	NA	0.196258769336578	NA
HPCA-Blood.tsv	0.0618723460756184	0.0618723460756298	NA	0.11955622380057	0.211473651554237	0.243021766642171	0.22190450551232	0.0390313181499611	NA	0.147953921663324	NA
HPCA-Stromal.tsv	0.184366644598344	0.184366644598323	NA	0.185301532043714	0.225248206569359	0.315481273010068	0.241977208591823	0.178416180915119	NA	0.208999370077914	NA
ImmunoStates-Blood.tsv	0.109542254116281	0.1095422541163	NA	0.214335939715286	0.174316510067783	0.200000000004	NA	0.0489697686208317	NA	0.159302992670724	NA
ImmunoStates-Full.tsv	0.108856555995462	0.108856555995449	NA	0.214335939715286	0.175622799828092	0.200000000004	0.158859726812411	0.073504339493629	NA	0.159302992670724	NA
ImmunoStates-Stromal.tsv	0.207546259199328	0.207546259199327	NA	0.227113954102493	0.212678436372511	0.200000000004	NA	0.188228737015337	NA	0.241959031592672	NA
LM22-Blood.tsv	0.0472524605602071	0.0472524605602151	NA	0.187385285827383	0.0794498325440019	0.296920419944977	NA	0.0411882951513426	NA	0.0860927567010969	NA
LM22-Full.tsv	0.0429671819126987	0.0429671819126616	0.0429049385632195	0.182731661143352	0.0922427664863123	0.30768232502	0.126542565225018	0.0258729563240529	NA	0.0860927567010969	NA
LM22-Stromal.tsv	0.19240599543885	0.192405995438858	NA	0.206380243293053	0.209585589278773	0.20953824306	NA	0.182736468074214	NA	0.178018056098011	NA
SkinSignaturesV1.tsv	NA	0.184350089110354	NA	0.156219614413059	0.233431829032654	0.200069142128	0.153875086799638	0.124934472147834	NA	0.0863008073363726	NA
default.tsv	NA	NA	NA	NA	NA	NA	NA	NA	0.218526770495887	0.0623951222759159	0.14266496562017
