RefMat	AbsCibersort_err	Cibersort_err	CIBERSORTx_err	DCQ_err	Decon_err	dtangle_err	EPIC_err	GEDIT_err	MCP_err	Savant_err	xCell_err
10XImmune.tsv	0.0814450545117458	0.081445054511771	NA	0.13193821797107	0.125830160632509	0.200000000008	0.0907795447507003	0.0744383460044044	NA	0.187033329342376	NA
BlueCodeV1.tsv	0.138257116988752	0.138257116988814	NA	0.131770418566958	0.188490471877937	0.200000000008	0.111278849029382	0.0708117371914769	NA	0.0952231023115512	NA
BluePrint-Blood.tsv	0.206314113000289	0.20631411300031	NA	0.249804213871595	0.254679961557153	0.200000000008	0.321333200021162	0.045571428763348	NA	0.23218160363946	NA
EPIC-BCIC.tsv	0.219068259307332	0.219068259307344	NA	0.0961111800446426	0.155957771360573	0.248851126176	0.156919189237407	0.0518280921563191	NA	0.209082225582644	NA
EPIC-TIC.tsv	0.252091171585626	0.252091171585632	NA	0.215280191996909	0.251082634780001	0.275060189388	0.251074690086393	0.174332209108914	NA	0.206451293301444	NA
HPCA-Blood.tsv	0.10663020219745	0.106630202197449	NA	0.0706978851228994	0.179011624046513	0.275820754898989	0.196160900987289	0.0583081473567972	NA	0.190551259630477	NA
HPCA-Stromal.tsv	0.181328284785021	0.181328284785016	NA	0.171424200469833	0.201465050181883	0.305611993493488	0.222670722354126	0.17038925137996	NA	0.192566394167579	NA
ImmunoStates-Blood.tsv	0.122387992938856	0.122387992938881	NA	0.177847813102669	0.149576677109225	0.200000000008	NA	0.180033587083677	NA	0.166808098303592	NA
ImmunoStates-Full.tsv	0.119547928267249	0.119547928267235	NA	0.177847813102669	0.153675562023418	0.200000000008	0.117453718640203	0.175801365361341	NA	0.166808098303592	NA
ImmunoStates-Stromal.tsv	0.213411678314996	0.213411678314999	NA	0.240402664776471	0.214752580323546	0.200000000008	NA	0.217373931712901	NA	0.227253707740039	NA
LM22-Blood.tsv	0.0824564262888632	0.0824564262888492	NA	0.206550957017669	0.122879160321418	0.308726343344136	NA	0.091352456584425	NA	0.135692392517817	NA
LM22-Full.tsv	0.100345555811215	0.100345555811185	0.101813983375943	0.194622073038069	0.143661916680318	0.329156761688	0.147978524713895	0.072515538502718	NA	0.135692392517817	NA
LM22-Stromal.tsv	0.206682593475832	0.206682593475832	NA	0.200054841800852	0.196487106784801	0.320477532354323	NA	0.192525220848323	NA	0.175297805099634	NA
SkinSignaturesV1.tsv	0.224073668568973	0.224073668568892	NA	0.111988719602023	0.218310857443693	0.200000000008	0.104918711475037	0.157543261885337	NA	0.0998387799736924	NA
default.tsv	NA	NA	NA	NA	NA	NA	NA	NA	0.194072530774182	0.084556833642244	0.170300176015958
