RefMat	AbsCibersort_err	Cibersort_err	CIBERSORTx_err	DCQ_err	Decon_err	dtangle_err	EPIC_err	GEDIT_err	MCP_err	Savant_err	xCell_err
10XImmune.tsv	0.149764472909979	0.149764472910042	NA	0.164490962598947	0.21744884354896	0.161192574155773	0.236656848823493	0.0791753978755776	NA	0.183744021363854	NA
BlueCodeV1.tsv	0.156618426773351	0.156618426773404	NA	0.166895172385933	0.225177681234671	0.203199178187202	0.201879101580271	0.109472698401126	NA	0.197576982538388	NA
BluePrint-Blood.tsv	0.167819651913197	0.1678196519132	NA	0.153937084092828	0.219940874324413	0.215527777777778	0.215819071480325	0.128949379142965	NA	0.194968561130787	NA
EPIC-BCIC.tsv	0.159323760232179	0.159323760232219	NA	0.165234072878211	0.237572628146385	0.263166666666533	0.269494674204564	0.0906619146941393	NA	0.195019954823448	NA
EPIC-TIC.tsv	0.16696446939482	0.166964469394835	NA	0.212384256984792	0.257698258147194	0.215527777774748	0.249235710522217	0.194639453848296	NA	0.221423735685458	NA
HPCA-Blood.tsv	0.124771381663589	0.124771381663751	NA	0.178506741426967	0.205103434154461	0.311249999967644	0.279169445999214	0.113247609603277	NA	0.195685288833388	NA
HPCA-Stromal.tsv	0.17843628057159	0.178436280571626	NA	0.212359642751583	0.215527777777778	0.31125	0.215519272658434	0.18451974135501	NA	0.213533108925681	NA
ImmunoStates-Blood.tsv	0.0728708721553246	0.0728708721553795	NA	0.158849901137532	0.144510832826219	0.291222222222222	NA	0.100029759881069	NA	0.194790296457361	NA
ImmunoStates-Full.tsv	0.0767823962031995	0.0767823962031988	NA	0.158849901137532	0.134062394044815	0.291222222222222	0.220066131816443	0.0669914804583426	NA	0.194790296457361	NA
ImmunoStates-Stromal.tsv	0.144005683833536	0.14400568383357	NA	0.217548476660368	0.169588570774915	0.215527635791861	NA	0.153433569335919	NA	0.226461675604583	NA
LM22-Blood.tsv	0.0777091361266186	0.0777091361265676	NA	0.14001307695707	0.136845681115615	0.215527777777778	NA	0.0699979382637448	NA	0.189945289981011	NA
LM22-Full.tsv	0.0800633196558286	0.0800633196557817	0.0798838370243105	0.14001307695707	0.138202017536157	0.215527777777778	0.221549995022997	0.0642362418981689	NA	0.189945289981011	NA
LM22-Stromal.tsv	0.164053583232419	0.164053583232514	NA	0.200486897600706	0.18960408662475	0.215527777777778	NA	0.151366549591686	NA	0.206807783805726	NA
SkinSignaturesV1.tsv	0.186273699149479	0.186273699149499	NA	0.184726000265376	0.152555701461568	0.257513483998729	0.237866327578621	0.110551651000258	NA	0.194743930934964	NA
default.tsv	NA	NA	NA	NA	NA	NA	NA	NA	0.21044897141781	0.189538262101791	0.108387587221843
