RefMat	Cibersort_err	DCQ_err	Decon_err	dtangle_err	EPIC_err	GEDIT_err	MCP_err	Savant_err	xCell_err
10XImmune.tsv	0.25460112060426	0.201329596507515	0.254451267008013	0.254400764021863	0.255250911063665	0.254350007968314	NA	0.254902763656766	NA
BluePrint-Blood.tsv	0.229829004164884	0.200905765970167	0.139793532640739	0.289605369127517	0.288278111714385	0.172021385450906	NA	0.195941119351863	NA
EPIC-BCIC.tsv	0.200594120223582	0.201718196587011	0.126077542116719	0.289605369127517	0.261537424760549	0.124671077724881	NA	0.17709597042203	NA
EPIC-TIC.tsv	0.289605369127517	0.200904375838926	0.289605369127517	0.289605369127517	0.289605369127517	0.289605369127517	NA	0.289605369127517	NA
HPCA-Blood.tsv	0.084657488081405	0.20308712488089	0.0804936741172105	0.289605369127517	NA	0.108568328321136	NA	0.191022301910024	NA
HPCA-Stromal.tsv	0.289605369127517	0.201296966442953	0.289605369127517	0.289605369127517	NA	0.289605369127517	NA	0.289605369127517	NA
ImmunoStates-Blood.tsv	0.137575551004281	0.203058639735935	0.0984138841312377	0.289605369127517	NA	0.130037360445011	NA	0.207541362609289	NA
ImmunoStates-Full.tsv	0.125250197699733	0.202895873608248	0.0918445555698874	0.289605369127517	0.0809659573355505	0.142031539998207	NA	0.207541362609289	NA
ImmunoStates-Stromal.tsv	0.289605369127517	0.200562733789069	0.289605369127517	0.289605369127517	NA	0.289605369127517	NA	0.289605369127517	NA
LM22-Blood.tsv	0.0948671713803327	0.201784832210917	0.102067775962222	0.289605369127517	NA	0.0848336818653377	NA	0.205444926525582	NA
LM22-Full.tsv	0.0912888697495516	0.200374716882058	0.0996385161671026	0.289605369127517	0.0588373335718637	0.0506485501992452	NA	0.205444926525582	NA
LM22-Stromal.tsv	0.289605369127517	0.200013060826105	0.289605369127517	0.289605369127517	NA	0.289605369127517	NA	0.289605369127517	NA
BlueCodeV1.tsv	NA	0.201972921344005	0.11807005345429	0.289605369127517	0.204630229365232	0.155839317092363	NA	0.201023272366104	NA
SkinSignaturesV1.tsv	NA	0.202095857086003	0.0517859239949346	0.289605085213355	NA	0.0970239804344376	NA	0.182057430137832	NA
default.tsv	NA	NA	NA	NA	NA	NA	0.146861709440631	0.179839902629246	0.243069762490884
