RefMat	AbsCibersort_err	Cibersort_err	CIBERSORTx_err	DCQ_err	Decon_err	dtangle_err	EPIC_err	GEDIT_err	MCP_err	Savant_err	xCell_err
10XImmune.tsv	0.214030403732531	0.21403040373256	NA	0.146173325177499	0.21642906372	0.142857142857143	0.21633343950361	0.139605554452636	NA	0.139917206359891	NA
BlueCodeV1.tsv	0.122868990009252	0.122868990009233	NA	0.123746042868291	0.133962801315092	0.142857142857143	0.102486109866913	0.0563148599933681	NA	0.0954284199039125	NA
BluePrint-Blood.tsv	0.166634154568924	0.166634154568916	NA	0.159819068082268	0.199052857485715	0.142857142857143	0.216071953844752	0.135561336541167	NA	0.157167195649915	NA
EPIC-BCIC.tsv	0.214334897218498	0.21433489721825	NA	0.14379313802664	0.233958870477783	0.142857142857143	0.268005153776075	0.132437827009049	NA	0.145622814911089	NA
EPIC-TIC.tsv	0.062894146976375	0.0628941469761629	NA	0.0955837072020788	0.184611728734174	0.142857142857143	0.202077092460766	0.0699483622048566	NA	0.103757412334152	NA
HPCA-Blood.tsv	0.15044329247777	0.150443292477775	NA	0.135698861786166	0.14206574019182	0.218744244245714	0.203094258817832	0.134317395858803	NA	0.135010885206414	NA
HPCA-Stromal.tsv	0.0703923434508731	0.070392343450901	NA	0.0927690510182475	0.0911091844765884	0.223048319368945	0.1186790794368	0.0459600482368545	NA	0.0845223210516396	NA
ImmunoStates-Blood.tsv	0.159995608397285	0.15999560839728	NA	0.149197059765552	0.147221900859386	0.142857142857143	NA	0.158893454742585	NA	0.142470992013493	NA
ImmunoStates-Full.tsv	0.15147192307485	0.151471923074857	NA	0.162970588823862	0.134220289180502	0.142857142857143	0.135232048389292	0.12873301677929	NA	0.146098788673762	NA
ImmunoStates-Stromal.tsv	0.151952168532618	0.151952168532622	NA	0.162970588823862	0.131271722936446	0.142857142857143	NA	0.109277795701321	NA	0.146098788673762	NA
LM22-Blood.tsv	0.147271053449868	0.147271053449876	NA	0.138696642404658	0.137141814042771	0.21642906372	NA	0.156843422693948	NA	0.134776511694652	NA
LM22-Full.tsv	0.12480506621979	0.124805066219786	0.124925936926464	0.127546909885308	0.133615541611802	0.21642906372	0.118756138342621	0.127775142981987	NA	0.117301054049727	NA
LM22-Stromal.tsv	0.128370760188909	0.128370760188898	NA	0.128379017431646	0.117605512003606	0.21642906372	NA	0.128003311061078	NA	0.117301054049727	NA
SkinSignaturesV1.tsv	0.152853997837679	0.152853997837663	NA	0.107732914028379	0.124560567690865	0.192777734133154	0.107241590515239	0.113529013350395	NA	0.0971130609151205	NA
default.tsv	NA	NA	NA	NA	NA	NA	NA	NA	0.106169929521245	0.133738766070396	0.0642363012350565
