"Lymphocyte" "Monocytes" "Neutrophils"
"10XImmune" 0.447822060726666 0.139366173277355 NA
"BlueCode" NA NA NA
"BluePrint-Blood" 0.143667162502605 -0.0180628892998544 0.0492906460779767
"EPIC-BCIC" 0.526197773319762 0.56820300315937 0.481678540998397
"EPIC-TIC" 0.516093517886052 NA NA
"HPCA-Blood" 0.549863557319263 0.0157906456901796 0.613933053180562
"HPCA-Stromal" 0.486019827080381 NA NA
"ImmunoStates" 0.535365708656555 0.400491085796191 0.593845942093881
"LM22" 0.548009629779373 0.4610879611577 0.631435692635924
"SkinSignatures" 0.482379842489765 0.142304813662187 0.658517861635252
