"B Cells" "CD4 T Cells" "CD8 T Cells" "Endothelial" "Fibroblasts" "Macrophages" "Mast Cell"
"10XImmune" 0.0493345757937607 0.373911439242489 -0.0429028548469595 NA NA NA NA
"BlueCode" 0.0137205459957088 0.0242608463046838 0.173037288234028 0.289258702944905 0.0647824845760177 -0.309359377568536 NA
"BluePrint-Blood" 0.137356014430956 0.301999206251785 -0.182720174360659 NA NA NA NA
"EPIC-BCIC" 0.900055554684773 0.948013414215491 0.945488957830177 NA NA NA NA
"EPIC-TIC" 0.859693415060161 0.809662910736578 0.987427575452876 0.980017836200229 0.99497613073132 0.990832530832802 NA
"HPCA-Blood" 0.448558324109814 0.913370361580352 -0.256106326670154 NA NA NA NA
"HPCA-Stromal" 0.247806869013723 0.618134573093603 0.0327778916593312 0.977694044956529 0.996660543911707 0.767394993613912 NA
"ImmunoStates" 0.767699278274255 0.822366205526265 0.916988087366859 NA NA 0.30343437879765 0.560592886276738
"LM22" 0.564415049870095 0.889193137878558 0.931617317775422 NA NA 0.602975113839476 0.95014229201957
"SkinSignatures" -0.0430850684935174 0.00263428508541059 0.0429477080971452 0.122625924180583 0.1985050184676 0.0233991869500754 NA
