"B Cells" "CD4 T Cells" "CD8 T Cells" "Monocytes" "NK Cells"
"10XImmune" 0.817425690339839 0.0446822676422929 0.649635381766458 0.940851861392828 -0.298629105538612
"BlueCode" 0.508415453647889 0.398878413531325 0.21834389355134 0.226586293161778 0.904077558272099
"BluePrint-Blood" 0.467362660919503 -0.176298836517412 NA 0.2336662641803 -0.430086474787626
"EPIC-BCIC" 0.646450332855224 0.577382571681363 NA 0.979161817358781 0.934469179945128
"EPIC-TIC" 0.320779087424164 0.297376656820682 NA NA NA
"HPCA-Blood" 0.409257814991334 0.0538196200990373 0.231921718708672 0.863387140686038 0.934206446793012
"HPCA-Stromal" 0.256668934637952 0.0749655773085 0.0857542294573036 NA NA
"ImmunoStates" 0.968417815335397 0.522230378668392 0.789777684075064 0.909367334711619 0.571215260261272
"LM22" 0.835286673810115 0.620474770195764 0.600293458051224 0.885103713664721 0.939410069611477
"SkinSignatures" 0.661169077268419 NA 0.332118324031764 NA 0.762897151198501
