"Lymphocyte" "Monocytes" "Neutrophils"
"10XImmune" 0.540499538514771 0.33364965920294 NA
"BlueCode" 0.720855650791449 0.576703889289621 0.68153481778986
"BluePrint-Blood" 0.63189827460953 0.614444253347269 0.628235208098722
"EPIC-BCIC" 0.68044780764392 0.654096674388888 0.636823218136179
"EPIC-TIC" 0.583838622569473 NA NA
"HPCA-Blood" 0.753644872746013 0.705658514301588 0.684033256186357
"HPCA-Stromal" 0.690972835162699 NA NA
"ImmunoStates" 0.691314572241367 0.556928724701588 0.657889516449383
"LM22" 0.699406491983813 0.578995274162341 0.647555217527729
"SkinSignatures" 0.331439668988356 0.683447376619604 0.638459312320717
