"Lymphocyte" "Monocytes" "Neutrophils"
"10XImmune" 0.5837673797476 0.205831226117843 NA
"BlueCode" 0.488707279751324 0.384040567328055 0.594379580339291
"BluePrint-Blood" 0.709425065931818 0.497809251780214 0.683560753033649
"EPIC-BCIC" 0.69158798508277 0.531666574455083 0.664644955265943
"EPIC-TIC" 0.457872100698425 NA NA
"HPCA-Blood" 0.656104602239426 0.38249538435515 0.691433196965383
"HPCA-Stromal" 0.355371239652773 NA NA
"ImmunoStates" 0.450060293681197 0.129374959121804 0.471072962302777
"LM22" 0.483449598522307 0.262381564059421 0.625201892238513
"SkinSignatures" 0.508679200221558 0.474170917186296 0.655550785175798
