"B Cells" "CD4 T Cells" "CD8 T Cells" "Monocytes" "Neutrophils" "NK Cells"
"10XImmune" 0.818483729951443 0.771023683035301 -0.262446101953557 0.945584554347188 NA 0.901119374980674
"BlueCode" -0.684019172558566 0.785218920865712 0.571385963983538 0.831338951297209 0.995043762722615 0.958427971391436
"BluePrint-Blood" 0.407523620216796 0.13173082490108 0.35398168268381 0.833461161998769 0.956276237123065 NA
"EPIC-BCIC" 0.813968508175928 0.75043125261628 NA 0.975547439507855 0.99884002136363 0.507878847958119
"EPIC-TIC" 0.976438417657606 0.872292544543373 0.451177427092331 NA NA NA
"HPCA-Blood" 0.760698159173058 0.791521560928037 0.634524094376343 0.933549317886017 0.994556022057775 0.942005059425203
"HPCA-Stromal" 0.777465783698285 0.68312463493326 0.587205780694682 NA NA NA
"ImmunoStates" 0.95532414148918 0.967916657376821 0.984968034332226 0.96818857018429 0.987539863214079 0.877426518759712
"LM22" 0.95896323920393 0.963492177297188 0.928450935321059 0.98057252350659 0.993335912429855 0.94823761527491
"SkinSignatures" 0.946287576604455 0.907731611655569 0.650870029878614 0.9475490804115 0.995043762722615 0.958427971391437
