"Lymphocyte" "Monocytes" "Neutrophils"
"10XImmune" 0.434254011623168 0.0313370237904117 NA
"BlueCode" 0.688525927099938 0.520155973558406 0.637265180489532
"BluePrint-Blood" 0.631049256540689 0.314413176462701 0.516166198480945
"EPIC-BCIC" 0.583321294328257 0.462744560661789 0.586422266942551
"EPIC-TIC" 0.474932646929122 NA NA
"HPCA-Blood" 0.716492897230207 0.478225509059704 0.581969068560491
"HPCA-Stromal" 0.64887613646744 NA NA
"ImmunoStates" 0.435038229879391 0.452906427595863 0.580085689544839
"LM22" 0.604484210677709 0.340327737903328 0.597134475017142
