"Lymphocyte" "Monocytes" "Neutrophils"
"10XImmune" 0.204693184017882 0.135130853274485 NA
"BlueCode" 0.294044285533476 0.36857188297153 0.462310893641459
"BluePrint-Blood" 0.151622453658833 0.279034324542028 0.456792993774909
"EPIC-BCIC" 0.255551861117055 0.199820276001817 0.427313949050548
"EPIC-TIC" 0.117290407388763 NA NA
"HPCA-Blood" 0.34507595735409 0.172967830662142 0.486898769138725
"HPCA-Stromal" 0.370231303333243 NA NA
"ImmunoStates" 0.407929804707299 0.368346830449594 0.546650679833507
"LM22" 0.446256809827204 0.274875564025839 0.5628266391081
"SkinSignatures" 0.305498693842995 0.349760864469996 0.413904287182839
