"Lymphocyte" "Monocytes" "Neutrophils"
"10XImmune" 0.434223778501018 0.139494313137453 NA
"BlueCode" 0.637091739385026 0.193681702788091 0.641107627683958
"BluePrint-Blood" 0.668035401619877 0.480036773738203 0.573545741426112
"EPIC-BCIC" 0.719102461107762 0.536285324314301 0.51937693421223
"EPIC-TIC" 0.487152283769631 NA NA
"HPCA-Blood" 0.626534637541847 0.389371876768352 0.586916625405919
"HPCA-Stromal" 0.619868400651447 NA NA
"ImmunoStates" 0.676477263090511 0.552104155851707 0.634456330733572
"LM22" 0.599995110257541 0.5780551838261 0.641047857900204
"SkinSignatures" 0.572437110833124 0.465669051420308 0.652128831930077
