"Lymphocyte" "Monocytes" "Neutrophils"
"10XImmune" 0.0759353727032229 0.0031931036367727 NA
"BlueCode" 0.204597046840618 0.00784625818844051 0.131184827229663
"BluePrint-Blood" 0.147783535530826 0.00567307206492064 0.0753421586379611
"EPIC-BCIC" 0.146207848608477 0.00215801790957821 0.103181727450979
"EPIC-TIC" 0.0974010671369751 NA NA
"HPCA-Blood" 0.118700455977391 0.0150026934123947 0.198633019152129
"HPCA-Stromal" 0.121267193471467 NA NA
"ImmunoStates" 0.16225463016144 0.139426631089967 0.124804856482273
"LM22" 0.183398102181771 0.050310821076691 0.172643290673376
"SkinSignatures" 0.128855289607534 0.0819788982326521 0.208189602533128
