"Lymphocyte" "Monocytes" "Neutrophils"
"10XImmune" 0.411675626645847 0.0359949285525078 NA
"BluePrint-Blood" 0.498729534838621 0.320974856978115 0.532196626629189
"EPIC-TIC" 0.475134976653707 NA NA
"HPCA-Blood" 0.716643419645198 0.478997440515571 0.581326799510495
"ImmunoStates" 0.366129194866994 0.451291552278332 0.585991411226165
"LM22" 0.579449052400326 0.345414567037879 0.590071081947853
