"B Cells" "CD4 T Cells" "CD8 T Cells" "Monocytes" "NK Cells"
"10XImmune" 0.781496214555294 0.720940907356216 0.162446326994574 0.953429747773953 0.965545237537689
"BlueCode" 0.72364675197076 0.566739548606483 0.611771663675651 0.810598129922156 0.98324580277123
"BluePrint-Blood" 0.293598222116783 0.289678787302265 0.0442395730313505 0.891768597149802 0.848318609415331
"EPIC-BCIC" 0.825794017562246 0.650089804840222 -0.186463038609975 0.907616733554422 0.886436819196444
"EPIC-TIC" 0.755574239972008 0.291221692155884 NA NA NA
"HPCA-Blood" 0.933278090582229 0.698247960915672 0.424489311614645 0.971696901655096 0.446237036789698
"HPCA-Stromal" 0.517467968242967 0.566993778578261 0.236351782980395 NA NA
"ImmunoStates" 0.756854042328596 0.765567504523112 0.811994135303826 0.965956215432823 0.0361029078219293
"LM22" 0.907185492780415 0.589115234708814 0.595863792183818 0.909469926496172 0.890924416556601
"SkinSignatures" 0.806550633654663 0.283187437691236 0.230475945314646 0.795939241096608 NA
