	B-cells	Basophils	CD4+ T-cells	CD8+ T-cells	Endothelial cells	Eosinophils	Fibroblasts	Macrophages	Mast cells	Monocytes	NK cells	Neutrophils																			
mix_61	0.0108	0	0.1408	0.2114	0.0013	0	0.2932	0.0032	0.0188	0	0.0059	0																			
mix_62	0	0	0.091	0.1219	0.1092	0	0.2826	0.006	0	0	0	0																			
mix_63	0	0	0.1588	0.2144	0.0555	0	0.2696	0	0	0	0.009	0																			
mix_64	0	0	0	0	0.2926	0	0.3241	0	0.0025	0	0	0																			
mix_65	0	0	0.0877	0.0595	0.194	0	0.2257	0.006	0.006	0	0	0																			
mix_66	0	0	0.0692	0.1591	0.206	0	0.0934	0.0119	0.0907	0	0	0																			
mix_67	0.0161	0.0171	0.0914	0.2629	0.1008	0	0.1824	0.0079	0.001	0.0023	0.0106	0																			
mix_68	0	0	0.116	0.1124	0.1341	0	0.2675	0	0.0154	0	0	0																			
mix_69	0.0171	0	0.1711	0.203	0.0717	0	0.1916	0	0.0105	0	0.0094	0																			
mix_70	0	0	0.1187	0.0184	0.1354	0	0.3444	0	0	0	0	0																			
mix_71	0	0	0.0875	0.1419	0.1752	0	0.2527	0	0	0	0	0																			
mix_72	0	0	0.072	0.1364	0.0946	0	0.3165	0.0042	0	0	0	0																			
mix_73	0	0	0.1302	0.0466	0.0167	0	0.418	0	0	0	0	0																			
mix_74	0.0199	0.0259	0.2034	0.2679	0.1855	0	0	0	0.0184	0	0.0249	0																			
mix_75	0	0	0.1877	0.1103	0.1185	0	0.1719	0.0022	0.0096	0	0	0																			
mix_76	0	0	0.0778	0.2318	0.007	0	0.3211	0.0108	0.0186	0.0062	0.0095	0																			
mix_77	0.0303	0	0.1649	0.2248	0.0569	0	0.1667	6.00E-04	0.0315	0	0.0114	0																			
mix_78	0	0	0.1351	0.1099	0.1673	0	0.2536	0	0	0	0	0																			
mix_79	0.0051	0	0.065	0.0265	0.0692	0	0.3128	0.0133	0	0.0033	0	0																			
mix_80	0.0384	8.00E-04	0.1562	0.0675	0.1352	0	0.0848	0.0185	0.0348	0.0288	0	0																			
mix_81	0	0	0.042	0.0317	0.3518	0	0.0737	0.0258	0.0148	0.009	0	0																			
mix_82	0	0	0	0	0.1541	0	0.4266	0	0.0296	0	0	0																			
mix_83	0	0	0.1776	0.0324	0.0111	0	0.3916	0	0.0235	0	0	0																			
mix_84	0	0	0.0964	0.1869	0.0746	0	0.2995	0	0.0249	0	0	0																			
mix_85	0	0	0.0504	0.0827	0.1668	0	0.2782	0.0044	0.0348	0	0	0																			
mix_86	0	0	0.1538	0.2154	0.0241	0	0.2806	0	0	0	0.0077	0																			
mix_87	0.1109	0.0533	0.1983	0.3381	0	0	0.0034	0.0131	0.0276	0.0389	0.053	2.00E-04																			
mix_88	0	0	0.1718	0.2483	0.1133	0	0.1048	0.0084	0.018	0.01	0.0179	0																			
mix_89	0	0	0.0091	0	0.3015	0	0.1682	0.0089	0	0	0	0																			
mix_90	0.0298	0.0413	0.1849	0.3246	0.0348	0	0.0832	0	0.062	0	0.0407	0																			
mix_91	0	0	0.1581	0.2445	0.0202	0	0.2371	0.0026	0.049	0	0.0171	0																			
mix_92	0	0	0.1785	0.1924	0.1661	0	0.1284	0	0.0214	0	0.0026	0																			
mix_93	0	0	0.0488	0.0018	0.004	0	0.474	0	0	0	0	0																			
mix_94	0.0301	0.0181	0.1945	0.281	0.0072	0	0.1545	1.00E-04	0.0441	0	0.0277	0																			
mix_95	0	0	0.2008	0.1941	0.1245	0	0.1624	0	0.0136	0	0.0064	0																			
mix_96	0	0	0.1343	0.1703	0.2086	0	0.0774	0.0095	0.0437	0	0	0																			
mix_97	0.0854	0	0.2014	0.2672	0	0.0095	0.0775	0.0147	0.1392	0.0301	0.0255	0																			
mix_98	0.006	0	0.2094	0.1568	0.0144	0	0.1787	0.0118	0.0585	0.0175	0.0062	0																			
mix_99	0.0058	0	0.0077	0	0	0	0.4244	0.0023	0.0878	0	0	0																			
mix_100	0	0	0.1667	0.1973	0	0	0.3431	0	0.0182	0	0.0088	0																			
