RefMat	AbsCibersort_err	Cibersort_err	DCQ_err	Decon_err	dtangle_err	EPIC_err	GEDIT_err	Savant_err
10XImmune.tsv	0.0814450545117458	0.081445054511771	0.13193821797107	0.125830160632509	0.167538095232571	0.0897346235713489	0.0744383460044044	0.187033329342376
BlueCodeV1.tsv	0.119442245529358	0.119442245529407	0.162166696415423	0.181960766909924	0.091564023110085	0.148791058850219	0.0674167492269885	0.169926346201007
BluePrint-Blood.tsv	0.206314113000289	0.20631411300031	0.249804213871595	0.254679961557153	0.0798340572742886	0.19328954885809	0.045571428763348	0.23218160363946
EPIC-BCIC.tsv	0.219068259307332	0.219068259307344	0.0961111800446426	0.155957771360573	0.066569580048504	0.0992856029620473	0.0518280921563191	0.209082225582644
EPIC-TIC.tsv	0.252091171585626	0.252091171585632	0.215280191996909	0.251082634780001	0.1708901461693	0.125392476752685	0.174332209108914	0.206451293301444
HPCA-Blood.tsv	0.10663020219745	0.106630202197449	0.0706978851228994	0.179011624046513	0.0660353004958065	0.196160605825763	0.0583081473567972	0.190551259630477
HPCA-Stromal.tsv	0.181328284785021	0.181328284785016	0.171424200469833	0.201465050181883	0.169811469401356	0.22267069046582	0.17038925137996	0.192566394167579
ImmunoStates-Full.tsv	0.120289598621854	0.120289598621851	0.157275247400453	0.142569325157614	0.083476872649425	0.11620634917058	0.17278364364264	0.144757836494442
LM22-Full.tsv	0.0964116457524609	0.0964116457524568	0.173094556394624	0.130398049969415	0.10551778240456	0.137893554003544	0.069810355915473	0.121946618687475
SkinSignaturesV1.tsv	0.178293385504743	0.178293385504727	0.138992009857269	0.148242173759574	0.0885051254062615	0.150268248988583	0.136199802146925	0.144600328613075
