RefMat	AbsCibersort_err	Cibersort_err	DCQ_err	Decon_err	dtangle_err	EPIC_err	GEDIT_err	Savant_err
10XImmune.tsv	0.149764472909979	0.149764472910042	0.164490962598947	0.21744884354896	0.181129534561533	0.164545065510028	0.0791753978755776	0.183744021363854
BlueCodeV1.tsv	0.145767278146663	0.145767278146683	0.15947217078973	0.181522648163985	0.156696775405371	0.160349612845703	0.109118642215539	0.158927818239755
BluePrint-Blood.tsv	0.167819651913197	0.1678196519132	0.152876999006461	0.219940874324413	0.193370423915456	0.166433508352334	0.128949379142965	0.194968561130787
EPIC-BCIC.tsv	0.159323760232179	0.159323760232219	0.165234072878211	0.237572628146385	0.185352926259747	0.165809614609681	0.0906619146941393	0.195019954823448
EPIC-TIC.tsv	0.16696446939482	0.166964469394835	0.212384256984792	0.257698258147194	0.205535460951108	0.156196684172147	0.194639453848296	0.221423735685458
HPCA-Blood.tsv	0.124771381663589	0.124771381663751	0.178506741426967	0.205103434154461	0.189365942470281	0.185586275447549	0.113247609603277	0.195685288833388
HPCA-Stromal.tsv	0.17843628057159	0.178436280571626	0.212359642751583	0.215527777777778	0.232097458452178	0.165142045484722	0.18451974135501	0.213533108925681
ImmunoStates-Full.tsv	0.0805106718991166	0.0805106718991099	0.138460148642609	0.133766797072309	0.170394629414505	0.177538726467644	0.0767252613438494	0.167601559029364
LM22-Full.tsv	0.0815518713872539	0.0815518713872044	0.135477458224325	0.133759103261291	0.184333463519828	0.170318182642939	0.0801453970227023	0.165852341165413
SkinSignaturesV1.tsv	0.181822644492714	0.181822644492683	0.158657621952522	0.140941666782523	0.157938721963602	0.179182783688226	0.111218899114269	0.162731236811439
