Gene symbol	B cells naive	B cells memory	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells CD8	Macrophages M0	Macrophages M1	Macrophages M2	Mast cells resting	Mast cells activated
CD209	68.81156687	26.73032883	99.59399622	16.53368601	21.60591559	21.6089747	315.2176797	190.945084	2758.297802	66.9779578	173.3203491
CD22	3293.629651	1803.150148	53.38200923	54.37437693	40.69767509	37.47048645	153.7017175	62.36131967	221.7347708	287.7290641	205.9169697
CD244	59.70898915	38.51177638	174.4389829	69.11006059	23.25507848	623.6947469	22.32433652	46.7586588	96.28143387	105.2985222	38.33766231
CD247	23.66779296	53.69027623	7038.536622	5318.708728	2156.371127	5508.526368	23.92868112	26.9337182	81.83870096	128.4661867	105.4058403
CD27	388.8197482	4138.587476	4042.377012	4188.175594	1125.960048	5506.313911	90.85495783	137.4401366	136.436149	123.9116687	89.47064836
CD28	170.6541081	183.9284292	462.9998637	961.774233	2294.871098	527.4027958	62.22720273	64.48080982	207.2614073	62.4258293	75.16641
CD300A	30.69853755	77.94519325	193.2963626	414.3723032	54.40588795	738.0313132	691.3037154	211.1048289	1737.241257	777.7278706	1075.456564
CD33	25.374709	16.71748672	17.83717204	11.69136762	10.49185361	21.33635265	388.0381883	241.8450557	562.1160422	811.3522325	870.835795
CD37	13247.62405	11610.29035	2997.964479	4287.536344	865.4159386	4472.430176	1453.500603	340.0169777	2337.797784	783.7092702	1104.720671
CD38	588.2648306	659.9477137	296.2994306	205.305051	492.6276527	318.883456	90.8542014	12009.36242	642.6104871	814.6736615	1366.953817
CD3D	103.2248459	174.4025802	14916.803	12009.36242	7456.754789	14396.85632	74.30949816	26.01377304	12.22050099	40.77673955	13.20972496
CD3E	1233.172359	756.7993492	3554.437369	6370.192958	2850.795927	5787.182458	188.3816952	172.5351641	175.317922	144.3993653	129.5942842
CD3G	55.98119171	87.6081271	2859.409338	3066.253514	1149.980649	3348.560467	31.47187386	22.5839555	15.49172903	19.63068007	17.90169501
CD4	138.4573773	118.3512664	2495.269425	3710.379943	1725.414846	164.9509326	552.3052303	1574.336844	10105.34674	213.8663803	287.7837723
CD40	1493.347557	1328.267122	119.8051169	168.9573287	169.3131278	203.0571538	1146.591678	12966.60573	643.639203	111.7010328	416.0597275
CD40LG	65.37231327	51.83259142	464.1789801	852.1721059	660.7418675	186.4853205	29.86059304	26.39060217	32.06615205	15.73172412	21.43431914
CD5	482.7709118	212.2007839	1101.084704	1734.374565	918.9690411	947.6570017	259.243454	285.0923469	188.25878	182.0748079	219.5267689
CD6	75.85653173	91.34978305	738.2321164	3148.85189	2731.999076	1720.140098	94.71792103	137.1320082	88.93386715	41.95697606	41.71625038
CD68	3.286119074	8.41213334	21.15896542	15.76945271	30.90820518	51.10845475	1705.45606	748.5959447	2770.911453	172.4465903	226.1109905
CD69	8246.962733	5037.059721	4397.041606	5489.202469	1071.887678	3798.407191	31.65121441	59.02137051	28.81247015	440.3983738	1484.634024
CD7	15.62904812	17.28012062	2032.402798	1507.773715	1271.833268	2234.707961	16.0113349	13.36812571	80.61769372	12.17345488	20.04765141
CD70	294.6566184	647.9228093	116.5526077	266.2959935	388.2749858	247.6214563	162.091307	365.3486293	116.8363113	205.9889771	115.0885118
CD72	1434.004736	194.0589782	43.04528298	8.195551244	15.72935292	18.8127059	9.476286725	9.588069329	123.9520803	6.665661843	15.55213132
CD79A	12117.94539	9835.923	183.3771612	161.6033691	97.84605147	425.4456431	124.5658582	108.8170218	63.57950923	61.91581828	118.775806
CD79B	5975.189254	4719.84198	284.1304512	341.3861217	192.0177626	229.2346632	68.04622904	64.07909887	79.32420695	38.49728027	61.7152637
CD80	131.2576257	345.1713796	102.0859478	92.39233333	195.416557	73.52859919	350.482739	3650.811207	160.4810794	120.790446	177.1857239
CD86	354.7433616	599.8609321	35.145174	95.47693449	90.30112485	108.8922088	764.4811798	1444.502959	2791.659069	161.7655034	203.6194781
CD8A	564.4780916	348.1087905	41.07506248	147.1712529	161.1817391	9990.737125	135.9847653	45.89341104	63.47614462	87.086495	102.8346227
CD8B	21.53089091	18.55930203	143.5770588	16.54639136	12.46145751	3697.963718	14.7839247	9.306658239	9.973398059	9.973784848	10.95016398
CD96	140.0696821	182.4215585	1432.94769	1571.924274	253.7390252	1718.974851	37.23265829	64.30250203	32.94807285	103.3665611	42.58554439
CDA	7.453474496	8.282139574	9.6818797	14.73210587	10.15946955	10.06514533	346.9958858	8.817496805	28.81247015	88.0510502	82.11698268
CDC25A	14.44417944	13.22104832	13.45315049	9.040054131	226.961818	9.90420085	18.97174653	22.0447246	14.74324112	27.83891458	74.24230416
CDH12	10.62580967	18.14764196	7.285693652	8.59290329	20.54473142	7.907398998	12.70746733	12.51970773	9.085608856	84.74034858	38.3494807
CDHR1	15.70334805	21.35717484	86.84214478	12.73061175	27.50039747	32.70000097	9.74632817	9.294987078	23.8492483	19.2193508	11.06215587
CDK6	30.69853755	23.04874713	25.78013421	99.98686977	45.35113413	65.1412171	23.49923645	16.71107549	12.82579482	47.96802384	14.10751406
CEACAM3	68.46140597	61.8011542	59.64008096	55.44751849	46.69869297	69.08981156	156.08054	123.6149862	113.8352122	186.2935686	166.5230648
CEACAM8	77.91715796	86.88656507	7.285693652	73.7311384	35.28849776	143.8250498	5.093941607	14.10673265	11.65755142	2385.025776	1835.208959
CEMP1	28.85299608	26.05680615	44.87716404	8.245074698	8.750532337	9.51802003	13.43483203	19.10532833	44.64572595	11.22269837	40.31486949
CFP	4.573719127	4.646460043	371.8319741	50.46125007	5.783504523	14.38688428	27.13104189	219.1912001	1971.112539	47.82909649	214.9062825
CHI3L1	9.040054131	10.11185342	12.37533181	7.285693652	12.94364358	13.16060514	8959.873277	3395.663462	2050.816822	477.0548529	636.7916524
CHI3L2	574.7325605	445.1279343	662.9063033	312.1882039	166.1811986	362.8779127	181.8142129	1765.552386	175.3835932	148.963857	171.1295117
CHST15	375.0617962	380.4544171	56.31496953	41.68602369	34.12601784	37.3682688	1452.251166	103.4871553	1051.6856	1121.27006	895.2054973
CHST7	15.2998514	17.07503774	70.20092794	367.4048158	234.0049091	26.28908826	314.6462296	350.8883739	421.2349567	152.218479	368.050649
CLC	317.0133169	263.8099578	21.54663623	110.2519917	184.5831263	91.38509289	69.27115976	226.7134742	172.4089256	3917.54615	3098.629915
CLCA3P	17.20651635	25.26232098	11.3209152	2.307902038	0.972464723	10.28448645	2.022563272	0.251594145	9.029403736	5.985711194	5.420513422
CLEC10A	110.2519917	95.48720378	56.97214117	77.30955315	36.92529104	80.05432796	159.5970517	69.39655423	5770.127086	107.2146881	150.2976889
CLEC2D	1012.819733	595.0445595	1443.461253	1711.865828	1875.9525	1510.850313	78.64035879	1465.741277	187.9865712	45.51634127	41.11000417
CLEC4A	270.684059	105.2173251	94.87431986	19.995556	35.566978	43.67169279	1137.937654	51.67871576	6742.94324	321.2172134	548.5828994
CLEC7A	148.8556127	142.0062175	106.6702025	89.98404196	50.52462737	86.04241069	3760.306028	283.2038076	3071.447657	634.4501909	1330.094243
CLIC2	8.195551244	7.671472425	11.06762282	4.799625554	7.65617701	6.339831804	437.0461122	1393.382865	2233.164343	8.029450285	36.79183022
CMA1	77.95639785	68.10609278	42.09518393	46.6365232	76.31621718	25.22954469	46.37300953	65.76280884	64.11513732	1378.879998	1622.195863
COL8A2	135.2230196	73.45098986	79.43023238	61.77215124	55.34420893	60.53487072	1233.715268	33.84353695	151.5623553	70.07666952	59.73326622
COLQ	28.85299608	27.39812397	66.85032911	135.3256446	36.18719498	152.7740895	24.84089345	86.1812316	128.1562926	51.67336008	36.89214997
CPA3	786.5967435	653.570348	25.20265438	243.2991012	226.7134742	147.6958112	139.386735	247.6828366	206.9088618	28290.30984	22328.97153
CR2	1471.268235	559.6347831	285.69747	67.24739132	17.8883765	245.2703384	27.25115703	55.67688175	39.48271435	16.71082041	16.32654871
CREB5	30.97425375	24.5582079	43.39553244	7.370460489	10.97804588	12.41011504	22.86410106	11.76274946	59.21766228	23.96095789	23.33830393
CRISP3	27.37818895	16.54772888	4.203532154	7.582193721	10.20717886	3.235495107	11.29862608	10.66334011	5.556158206	140.2065177	33.50781403
CRTAM	54.88908823	66.10701896	308.5611006	114.0594238	661.2766113	1443.48038	761.03216	38.22269719	85.70898291	15.54962061	106.1592663
CRYBB1	8.51087882	9.160277762	20.22798354	10.6390921	8.277095789	8.78944775	9.70690203	12.12718124	166.9553981	38.37689323	16.78915846
CSF1	22.1078749	21.81521667	21.94024148	32.27097928	235.5590589	22.99418539	687.8844582	35.28849776	23.12217296	28.21718786	61.84446433
CSF2	24.24874392	18.24411695	40.95236426	25.87142267	1283.451966	24.4197256	28.52989192	18.82453343	16.29360796	29.73723499	1722.887037
CSF3R	99.76628743	29.61360061	107.0724606	36.16508067	25.6594246	24.3859179	214.3427639	860.3372222	737.8599039	186.0953351	212.2561883
CST7	29.71165699	21.33475082	197.8545424	1470.064999	746.2695012	5181.597893	254.880064	186.8061087	292.5617552	2285.360966	2487.597945
CTLA4	19.39158332	12.05483904	282.3095234	606.1036832	1865.797683	19.09265901	14.31666435	8.580759955	18.03666634	18.08044096	14.80064982
CTSG	247.7712501	204.7033855	134.4958651	81.23896111	73.69460204	113.3980465	65.31852439	88.66013895	141.0660169	5638.069687	5475.90797
CTSW	16.65790643	14.10507421	487.0683652	963.2767736	23.08754551	4894.215252	15.94992913	13.08202394	26.76355546	119.4688824	272.4656742
CXCL10	761.3944185	395.6381026	120.4987696	152.9758784	529.512254	157.22658	163.1981892	31273.67963	278.3434035	112.8085953	313.9187307
CXCL11	90.26229276	71.79483122	6.633637977	14.33061258	52.00544678	22.77124293	16.90510228	9059.841342	29.35940998	27.84781811	33.7735536
CXCL13	50.1800947	22.77083572	6.024967349	8.95713845	280.5297599	22.35743472	11.75346746	627.930517	16.76076868	25.70939324	10.94557061
CXCL3	73.07039801	28.30659504	17.02062149	30.02788375	26.84183085	26.71170482	1496.816	271.246673	233.3303549	149.9605608	7936.428599
CXCL5	94.16490321	83.04902879	7.759898576	41.21600403	24.94052208	18.42018765	5315.265079	91.98053835	46.38135018	49.57406448	621.7471315
CXCL9	597.5841917	438.2088306	77.45884479	151.5042347	259.4612394	125.8362376	168.4971354	38944.01868	199.4359175	123.5555835	99.76021313
CXCR1	260.5780432	187.0592932	320.9597732	253.8205315	76.35489937	214.6841388	72.0058534	61.26982624	53.22101207	263.7886674	267.9679786
CXCR2	26.76355546	12.64597482	5.107669662	20.88194891	7.644655016	73.61765642	115.5505074	174.1206652	64.07909887	126.093962	56.93465721
CXCR5	368.7814351	298.694373	29.79215867	181.8245372	207.1265648	32.70801147	17.36373676	212.2750073	14.43114488	13.73208623	18.88504854
CXCR6	143.966553	137.922284	92.27701669	190.1248095	1140.294509	239.577985	60.50454252	68.56018671	56.08489855	58.16905397	53.14506673
CXorf57	39.26542516	19.44447612	236.7644719	111.2439257	152.5108229	102.1724937	11.29730888	6.694465385	10.44585498	7.400067061	6.598985716
CYP27A1	28.17031886	29.93010894	57.08079673	18.92107732	20.98904773	35.11559608	9212.241151	72.62100796	75.71085354	731.4259977	853.0000301
CYP27B1	839.568697	393.1234511	89.21509024	112.6050172	253.1007469	123.385104	1182.186949	6662.564771	145.7011205	88.73893452	231.5401669
DACH1	8.110268958	6.614252509	26.64846634	6.332890006	3.990985982	6.072925338	7.182118842	4.273621867	8.23248634	30.55282309	11.69596161
DAPK2	50.49233083	52.66107689	35.93880485	53.08765217	21.06633463	36.778245	36.29552204	35.145174	76.65867431	260.2593867	126.5670604
DCSTAMP	38.69538004	19.46232551	33.84353695	19.29191355	61.87372226	45.95452314	3167.902414	171.5562529	278.806442	126.0151417	250.4705436
DEFA4	364.8313155	262.8085775	61.9081487	252.1933458	165.640875	580.4081606	59.8115536	76.11959313	88.37677893	246.9127303	174.0874482
DENND5B	47.963256	82.49743428	5.354735415	6.171513508	8.639430617	4.937003728	14.58676995	7.808323788	36.71555117	6.111045892	12.88881259
DEPDC5	23.00370479	33.44683221	192.0177626	41.85091261	38.53463959	42.10826584	96.61739385	168.2830482	190.192431	110.3343475	32.01670875
DGKA	426.967722	460.0096029	3066.253514	2690.021108	845.8491856	2223.016764	170.0857145	169.0248855	215.9013618	148.5136694	129.2895441
DHRS11	53.98997768	69.55072395	123.9520803	27.7175438	149.3668195	88.61812105	266.5013357	18.60026599	242.6906605	69.86702041	69.59671194
DHX58	13.86362993	16.88361737	298.2898502	30.99587635	14.48068577	67.97505932	21.95980512	1394.307066	233.5831274	27.39483764	21.85490233
DPEP2	695.4566346	459.3705381	1220.279156	631.2800075	9.029403736	469.0254782	116.2735817	16.21638188	2410.189476	158.0635767	131.4440963
DPP4	19.45168576	16.56719599	689.9495562	1042.227242	892.3150761	686.98687	17.52701962	175.6975199	32.80967907	68.77332318	25.76939706
DSC1	82.26251271	48.0259129	788.0190869	15.6035437	10.21829304	408.664347	14.93885569	11.66918119	6.707735929	34.51256333	35.70681106
DUSP2	13.29827708	139.2748932	318.0170106	2005.427058	2312.349458	4083.939908	490.424434	567.6636334	261.4949956	39.90444703	758.6700823
EAF2	3181.18246	2020.339327	240.986393	138.142275	265.1751702	219.0176307	281.0119542	284.1304512	281.4216469	401.7261393	399.8816761
EBI3	10.50267123	16.93649086	15.05714204	11.53252065	119.0986128	12.21399038	13.18836854	20437.69231	311.2058679	8.959876311	134.9737807
EFNA5	5.427660306	9.117018877	116.9246518	24.29954135	13.95930187	12.03201722	14.68073282	64.26624737	56.80709441	59.94184526	12.07275719
EGR2	122.3401907	98.24319728	35.24465136	36.23835539	2100.112826	35.39583074	3919.367365	23.08754551	2175.756551	293.4561431	1906.729264
ELANE	11.04729816	8.908551164	12.73061175	12.43682411	6.90617027	103.4864778	15.08601415	103.3533021	206.3156576	4503.039803	4464.6663
EMR1	499.0111023	383.0612119	428.0646447	312.812165	400.2184096	195.8964573	203.312067	3528.214438	404.3935503	287.3791829	248.1729828
EMR2	145.9766252	106.053844	56.18573504	83.26351882	72.53685465	43.05953599	1045.041824	1516.793563	363.8164437	829.2405253	1558.475521
EMR3	55.17004911	124.3420312	89.37299011	63.19960659	89.53763691	104.1704046	38.87513434	13.53604074	5.690710112	185.9826158	322.1691705
EPB41	21.98416943	67.00924563	12.29355102	385.6302551	240.8141851	235.3351386	51.91551646	7.165488052	25.55686935	9.708024058	7.155722446
EPHA1	47.02936831	46.76894576	763.4010715	292.8838925	35.76999194	400.0482873	58.11820163	45.61964119	38.90350151	39.16381447	38.69471267
EPN2	46.90834881	42.21678294	64.62199466	96.20392388	50.11843442	31.50834858	32.22402237	30.74111032	22.48126594	43.97341673	70.25798406
ETS1	988.8726693	792.2524045	287.8283832	1902.189462	1261.517205	613.4935899	96.62991012	130.1202875	75.4038863	147.1300736	156.3004608
ETV3	37.98662268	36.84623894	20.64868683	455.2117491	21.48427937	49.08454024	24.47191439	90.34410993	33.76856098	17.83028298	22.50028072
FAIM3	11191.41447	8362.288551	8841.004838	5134.615329	1145.360549	5723.984822	315.0175529	53.69761011	157.4129632	58.68422735	45.15325264
FAM124B	21.67016354	15.40803255	17.18073516	20.50088961	16.26784814	14.04816696	19.3314478	9.129359328	22.79147187	473.0941252	126.8779546
FAM174B	117.7226808	92.46718738	137.0201675	104.0881916	92.90928381	94.16937409	53.40511981	57.84876862	68.59561619	866.8101902	390.2498203
FAM198B	9.800664188	16.43893928	30.53349636	8.45170015	5.598819437	4.526894401	519.5115003	36.63587146	398.2258384	34.9096904	48.35776342
FAM212B	49.97014577	48.44610942	12.55533168	25.23626149	70.72102235	23.00981627	44.3949005	15.81931361	15.45266056	52.82638983	87.80595326
