Gene symbol	B cells naive	B cells memory	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells CD8	Macrophages M0	Macrophages M1	Macrophages M2	Mast cells resting	Mast cells activated
ABCB4	555.7134486	10.744235	4.605860048	7.406441697	8.043975587	4.311280198	7.951360487	27.55771004	121.4322774	4.72798535	34.11365858
ABCB9	15.6035437	22.09478724	35.67150717	30.04819243	38.45542286	24.22372293	56.25188749	29.38087813	40.39026017	53.46675672	23.61574571
ACAP1	215.3059512	321.6210208	1790.09717	922.1527467	340.8834245	1055.613378	48.97221651	30.97425375	23.05515036	104.2001984	73.60793243
ACHE	15.11794931	16.64884729	27.18773248	18.44492663	13.44126834	13.42828841	13.6929629	1373.06962	48.58576071	13.9487779	20.50124852
ACP5	605.8973843	1935.201479	744.6565995	557.8198203	248.5469318	306.3125193	13644.1723	1062.475909	7633.960182	263.4979304	323.3812772
ADAM28	1943.742699	1148.120138	40.06171311	21.23331069	15.20961988	22.6897181	54.96648703	274.639997	360.6820442	137.8536284	116.8795038
ADAMDEC1	371.0335929	318.478799	80.9645004	47.43351387	30.55297649	44.61628687	4464.262133	8524.022801	5004.969419	730.1921708	1569.761722
ADAMTS3	146.1955683	106.052311	79.24179515	57.38590645	53.41302407	42.39041586	45.56049098	32.34016681	33.35142773	650.1825865	406.2334876
ADRB2	486.3438163	510.0813396	77.15395496	595.2105488	142.8319114	899.6485015	143.0178779	787.6239741	363.1850058	4628.681578	2887.874236
AIF1	24.0742984	20.32185897	718.6147868	35.1722477	39.50876033	742.8158187	1841.269508	1611.228571	11610.29035	1851.124125	1672.630327
AIM2	327.9580556	4538.991046	57.08079673	250.2995803	3311.978393	294.4846139	181.9571	2965.888162	148.2845223	93.47144882	62.12545422
ALOX15	12.23359461	13.75323798	18.5565618	12.00966261	5.239540575	9.774971658	6.621226619	5.412216318	430.3353048	11.13947086	10.6548502
ALOX5	1799.683549	2425.680554	74.93090365	132.0101224	59.08735916	78.68443963	788.5397751	83.30089783	248.3724724	641.1396907	590.9257381
AMPD1	263.7450621	217.7617272	68.66194527	85.31836726	68.46140597	66.1074899	76.54456664	62.39764428	59.95269372	56.2085768	75.44109945
ANGPT4	23.12217296	21.31255675	22.06014827	44.47513375	99.59399622	44.68465936	39.33257003	21.218127	11.8097012	33.41141421	31.32955998
ANKRD55	284.4126543	218.9158033	1853.335599	436.4203479	79.77497227	141.6981114	123.600429	96.20392388	48.55417359	153.2289329	104.3009962
APOBEC3A	102.4291739	89.60068607	107.2355131	52.73721382	57.78231649	64.35533705	85.2400852	4501.140479	148.7993403	71.9207859	33.35485521
APOBEC3G	1283.451966	1135.293933	336.6456997	2340.674986	1540.772502	2090.85254	278.7681406	1036.993881	258.3004281	627.1314036	327.1943796
APOL3	222.6275107	530.3981335	950.7902718	1615.032254	1119.486881	1209.122376	238.5980956	11009.29392	437.5272083	264.675663	98.21606371
APOL6	17.31182151	11.60650829	11.96227918	8.439383107	57.5171862	8.448971352	13.10943681	967.6451456	7.784612131	23.12992518	8.195434224
AQP9	21.34280658	15.11459289	14.1921014	14.8941249	13.11596785	13.67548268	4583.500675	4309.341662	399.4746192	576.553304	1876.266127
ARHGAP22	34.63556475	48.31289928	71.86055345	22.63123607	15.45266056	45.01409912	175.4574354	351.5922058	272.9890572	46.74782224	52.54547172
ARRB1	15.93115384	15.19815814	18.71219759	25.18421938	23.05515036	19.09130442	333.3962724	946.0138184	395.5562302	44.46607563	31.29032739
ASGR1	40.87013431	42.49782741	10.8262442	13.27420938	8.195551244	12.18880923	108.7218916	25.23626149	155.4913385	55.01698406	65.87597482
ASGR2	30.26095627	33.90854185	36.87140683	41.82249473	34.46381595	29.78023761	36.11978652	26.3738691	760.7257707	23.98629172	20.52967572
ATHL1	367.9599908	535.7827614	5333.944658	794.9480224	231.1788185	806.0999282	52.25820981	167.5032595	132.631945	72.34940321	60.48932464
ATP8B4	123.6149862	86.80594392	59.88926338	51.01417813	77.34829047	69.79360213	106.0706443	33.35142773	1163.254876	1798.044318	2105.047172
ATXN8OS	19.03486997	17.5814772	11.61080204	12.65987353	12.98839722	12.10850879	10.99877982	13.34400281	11.40281159	22.20849492	8.571375787
AZU1	26.08448842	37.31588708	9.996682874	45.14159359	20.30359339	75.49418368	51.60165293	163.9010445	315.8328244	600.0026635	1034.586818
BACH2	4442.146224	1237.156184	1423.65694	449.1787857	442.4757485	716.5762166	60.73069122	78.3338478	56.28089968	78.94686859	68.30005918
BANK1	7633.960182	9177.359918	39.56449682	35.51276327	4.929861418	27.08870144	7.014183016	16.02027146	29.19263501	79.8154876	92.53939613
BARX2	16.2562128	22.62509146	13.89894647	10.89927471	17.9020085	14.68073716	17.14187893	15.56608274	28.07283413	48.17655596	26.33223631
BCL11B	166.5812991	133.7136259	7177.230404	4962.937555	842.2142194	4183.738789	78.00838097	68.0390322	51.07857308	53.86480939	52.15823403
BCL2A1	112.6417383	314.019133	452.9144897	755.8584033	1206.5058	575.0352025	5560.455558	7038.536622	195.959802	869.1471248	3291.227822
BCL7A	1097.312303	437.9146743	118.1838416	78.52160611	52.25679554	119.2680253	55.79800075	131.3538432	185.7375226	156.3160764	190.530536
BEND5	571.2009408	267.7407888	219.5683455	64.9845649	51.46605096	159.6750731	67.04718628	57.11383215	51.61492393	54.23882638	63.18438861
BFSP1	8.615516504	12.0925165	130.3828712	8.910362721	12.08950821	19.66358081	15.68206397	36.95107529	30.8024485	34.02291075	49.68496671
BHLHE41	227.283923	379.2503375	17.67634993	26.70594032	66.17589119	45.2704192	5455.337361	143.8681079	325.12977	257.3486083	252.5016943
BIRC3	1762.323129	1072.239215	677.9807091	1121.424012	2888.707681	370.9307246	230.7650134	1971.112539	237.5017836	71.25617244	1951.560424
BLK	1788.424777	3284.235489	67.99945866	19.16528476	10.42128191	136.3936481	15.52409402	11.8204986	14.41666747	10.55696945	8.164952674
BMP2K	282.3095234	216.4337119	109.3081052	42.06887765	146.6778838	117.76525	323.5873864	655.4319287	971.8036512	2822.782124	2472.95602
BPI	10.46971467	14.03167905	41.29948278	12.50772288	6.382539853	64.13890515	15.02182134	16.53368601	25.96026018	973.6001576	829.760687
BRAF	2571.803933	974.3131867	101.0267209	155.551421	178.3523031	178.6931052	312.9311159	369.770593	191.008753	153.4806628	301.8437696
BRSK2	10.44585498	4.456868898	7.924164041	16.19041478	40.50367377	10.46220047	9.848570784	10.52617889	8.886630463	46.23597972	15.48193395
BST1	65.21842011	67.5879307	129.3703853	67.69994038	71.82322708	68.85559845	390.5390601	73.76833139	209.4648222	427.4998589	444.1675314
BTNL8	15.22236138	13.26757452	23.17042572	17.46905843	21.218127	13.49547351	25.72341908	18.63943005	10.71025113	13.13000302	16.68244608
C11orf80	531.8492615	393.7715656	91.4854186	158.5148937	138.9893405	162.5847884	99.33436102	34.48872876	88.34055902	147.6024091	142.9001411
C1orf54	41.71079514	44.30946814	292.5617552	288.2644361	109.8410784	244.0295762	1418.001252	1157.753062	2036.475768	277.2757208	305.2108103
C3AR1	131.0995558	97.68302989	100.57262	198.3433582	109.0856459	218.067024	799.6447121	4247.947251	2754.457112	4587.545998	4865.330497
C5AR1	92.39233333	64.88366132	39.1758312	24.57422621	23.7998802	71.29814039	4989.998907	262.8037637	1920.668117	536.888673	756.9007984
C5AR2	8.032047496	16.66742886	50.36671815	6.818438323	16.3457722	5.512627066	41.54578326	16.69585423	59.05366978	3.57062816	40.86964441
CA8	17.99617948	18.54386568	19.53973873	16.42178108	15.32647154	13.31718235	12.5219856	31.46897563	13.25016669	72.2168953	144.6321597
CAMP	32.24981999	29.66511957	148.5655127	101.7397638	32.63242659	76.14506063	187.3573662	81.65650077	105.4403669	223.2341403	175.1542212
CASP5	16.22879037	25.41117138	11.62316713	9.073509293	7.44133492	20.72194816	50.41398411	518.0757148	31.73041766	9.129396815	70.37132603
CCDC102B	7.52422977	6.165616203	9.251047619	13.31038127	1.761755136	17.7200176	207.1228817	1.538367713	2.556420269	36.9435694	6.50271849
CCL1	9.151450435	10.41823708	22.5839555	9.669430796	15.97030854	10.7845404	12.30972478	13.39276407	10.20717886	7.259316561	1266.591321
CCL13	195.3507704	171.4302952	41.65976896	118.4029297	66.04578922	120.948249	166.9319287	182.2839096	6581.432651	101.0268889	675.8697907
CCL14	70.01715851	58.91915912	31.21088513	91.76959128	77.60907212	71.06446098	166.0197886	1233.172359	2459.096418	98.30151884	149.3226672
CCL17	42.21616032	58.99587921	19.48358652	30.30478142	170.3383554	78.50428281	114.8422294	55.41158071	620.2134606	26.61741896	45.95170735
CCL18	19.93877192	21.68816978	24.35123147	12.82579482	81.202364	35.31761702	2820.01871	1252.527933	12334.37123	423.1104795	930.7824996
CCL19	78.52160611	139.7443318	36.87140683	60.92923205	89.77834495	77.62297831	114.3667988	32553.88074	137.0742038	38.04867174	19.15243809
CCL20	39.50876033	26.99246182	13.08202394	29.40136468	1562.138826	61.54110043	11.31047112	724.6148681	12.8049967	13.96528518	5473.438695
CCL22	46.07125476	31.32507211	39.42959137	27.87853733	28.17031886	24.03529684	2604.46642	464.9729614	880.2022045	24.52312784	113.920916
CCL23	19.74347261	16.59253631	19.69815613	27.6569304	5.971548735	15.31837372	244.4793596	615.574234	5505.223986	662.6987872	545.134546
CCL4	1661.464071	817.4816647	270.8722361	442.4757485	11191.41447	2564.294556	1968.542066	11885.1113	3139.008389	1133.500818	35339.68536
CCL5	19.56849893	88.23956549	189.4932768	3143.971755	1850.010235	11434.94887	100.2336827	16862.16904	250.750217	46.19150568	660.0913807
CCL7	80.54919503	45.94840622	48.24358597	38.5055913	22.95842907	54.29720304	651.3648029	241.0650179	85.74723008	137.7438512	956.4362847
CCL8	229.3383995	97.02939896	31.42579269	64.22389989	82.98777026	35.05420149	152.3193862	4535.517152	2829.09296	59.52076258	1333.111492
CCND2	299.0433892	447.6145479	363.696915	1162.572673	2369.155331	682.2085787	378.8110795	81.43053168	108.189616	337.1012133	466.6854945
CCR10	52.98873326	92.31546536	64.30250203	282.9223926	67.60022415	130.744128	63.12794941	57.58401637	73.7311384	50.87012491	73.11439148
CCR2	420.0370653	360.0216463	64.9467235	756.5516447	297.1447653	312.6203444	122.7713689	80.9645004	74.52120484	115.0116104	63.82847845
CCR3	135.0222303	31.14530202	12.07805481	88.58205857	53.98997768	51.21539926	79.25178432	59.88926338	39.09280883	33.17881936	72.43377329
CCR5	98.76355416	93.00951267	75.4038863	462.1524294	423.3973006	992.0442583	2191.941547	1493.347557	787.3000077	149.3747509	260.5538316
CCR6	327.4987971	331.0843447	69.04044011	486.3438163	155.6717837	173.0896162	17.97363923	25.58895596	29.92011687	27.61848758	31.69929888
CCR7	3811.326733	1939.045683	8788.597127	2693.556404	2885.120974	5074.201816	328.1949289	17366.91051	123.7463123	66.65895255	81.24584846
CD160	446.1294222	281.8251718	114.9678358	125.3243228	159.1785523	1145.34982	89.41070681	67.99945866	36.95107529	64.10120829	95.57948479
CD180	1502.166724	2247.885466	23.15489547	37.96319899	83.10064157	78.77964471	201.3638474	120.0804247	2787.643912	64.1551368	52.74308227
CD19	7315.689158	5295.93686	128.2039752	55.61361754	93.42592839	132.2416591	98.83889476	106.4449014	146.6235694	121.1411991	130.640189
CD1A	1294.174017	818.7834717	135.3722907	191.4053509	139.7165139	208.3949257	224.9858071	160.945247	156.9391502	110.8168315	174.7119173
CD1B	1351.157456	338.3307439	22.28653167	192.5532686	45.50400457	55.67758898	165.9539997	76.0826143	132.2193618	124.0396525	158.8890881
CD1C	1349.225244	2899.133023	77.23468675	204.5100438	33.58018677	44.14189025	29.85115497	22.85969301	167.5032595	32.85124884	34.92829111
CD1D	243.5748238	416.3030749	30.19763591	10.79075018	6.357029724	16.92273192	49.35527967	373.0594532	39.50876033	69.97612949	23.92167028
CD1E	53.25152761	49.96271254	80.73544092	55.87769713	33.11414254	52.56295023	48.57029757	40.47880872	112.6050172	49.95483864	51.76582224
CD2	419.4350192	409.5822139	8002.722844	9578.936337	7866.426688	8182.951228	149.914948	112.6050172	188.1947985	332.6238386	138.5888054
