Gene	naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell
ABCA5	27.65254384	32.71537791	18.35739316	10.10510825	73.07646838	63.34601174	26.22902496	43.08169689	48.07726769
ABCB1	72.40094318	22.47143424	13.46795258	10.76767912	119.9083196	145.813992	23.32784129	34.89057521	57.4775539
ABHD5	24.3727958	31.07959107	62.87856759	62.18461702	72.5112559	39.96361029	160.3476733	42.79990627	32.9409149
ACSM3	22.07819592	21.2418919	16.67459145	20.60276156	15.92140434	22.37620719	26.25922365	28.55981184	26.57111106
ADAM19	144.9819635	101.2328466	59.01350143	25.44391341	24.42580812	27.9261372	83.5209787	75.92887949	40.25628181
ADAMTS5	15.66398178	13.96944867	21.41203046	7.78094087	16.79854615	15.14422042	16.4108195	13.76146115	11.28362184
ADI1	112.1409261	167.6288389	175.2336386	280.8209024	91.49760617	66.98540878	121.6727995	101.8592764	65.15642518
AGPAT5	89.40214232	69.73067492	60.87478447	34.47735961	37.83463227	42.97780169	26.83427525	59.89600371	61.08871209
ALAS1	51.99389586	64.55514086	72.48116293	49.81667919	71.54162959	49.93391614	74.65606303	50.16653962	54.23151819
ALPL	31.64772986	23.76649011	20.88843275	16.18382052	17.36986688	19.6829952	176.0861151	20.80671187	19.43641224
ANK3	16.51013453	36.29423632	20.03764164	20.57222053	20.94517799	23.28151784	26.18605714	43.88988792	33.51073807
ANXA3	11.00668704	14.0431161	16.37089503	10.75834841	11.56022621	20.11809261	221.1816545	13.85315913	12.25311574
AOC2	24.4228892	18.54789364	18.72844432	24.89458903	22.78536769	22.60797111	64.04785504	21.76573172	16.96851796
APOBEC3A	15.73916248	13.56435949	201.2817119	214.1637925	48.43997346	35.09732435	462.7379985	37.09789964	22.59562829
APOBEC3G	143.0002148	112.6783964	73.85765913	128.7099391	162.7945508	123.7862552	72.05457644	77.58580926	148.213874
APOE	20.22094045	21.08660236	15.88414505	13.18975898	32.42902601	19.79474332	19.72990024	21.42623913	18.7958049
ARID4A	88.78179444	70.07768572	57.56405682	74.41107817	357.439316	70.01164907	131.7498766	73.93563844	91.26360696
ARNT2	9.173492373	10.10222634	13.19481679	12.86790715	12.63489844	14.6277663	15.61898998	13.88456719	12.27067936
ASGR1	15.04568781	13.57953452	140.6002952	272.6300423	25.38788984	17.03981954	26.22434895	36.8322243	25.50630738
ASGR2	15.22924711	14.18564083	142.2593104	51.10434118	25.79322893	19.56040718	26.82691992	31.08651798	21.3362284
ASRGL1	26.04405497	29.11637674	74.41184801	68.92805486	30.26759319	24.38269203	55.15984363	25.0296369	25.8688013
ATP2A1	17.039793	20.0586516	14.15964269	11.77383169	12.2784131	19.76963557	18.43615527	17.03671199	17.74000641
ATP2B1	71.14059348	123.2892594	88.35646159	109.4531558	302.7934343	52.51203328	194.1341892	68.62920333	76.49565348
BEX1	24.407666	20.03982448	22.88234569	20.72225635	17.05441254	25.42560403	57.47984179	30.14888907	28.77196737
BMX	17.93838896	12.96852836	16.51154051	16.44280958	10.7060699	16.44274957	76.41661524	13.5906409	12.19180263
C1QA	15.2137183	14.76883311	37.02531702	191.8128134	20.81582785	16.79735675	18.49192202	20.01536479	15.08335384
C1QB	16.17390602	14.14248512	32.67137278	132.2318013	19.97944495	18.78393912	22.05311091	22.53482389	14.09155468
CA4	15.64649604	19.01970869	20.27253025	24.56942294	23.15458511	20.40647402	155.6536834	21.25708898	21.46462211
CACNA2D3	11.42371438	10.8360074	93.22181405	40.96403246	20.09195691	19.84110691	15.53281947	22.5188412	13.16436291
CALB2	15.72169716	15.96472373	21.30928887	18.12887543	18.00552859	26.81090887	35.26255749	18.59129268	19.87490217
CALML4	20.00346751	25.99601202	69.76988417	98.79595346	31.63508288	32.30542805	35.78537502	41.21755074	27.80484312
CAMK4	20.42454687	22.83113204	13.61871375	14.23668613	20.32190321	22.49724397	27.89583702	96.27289609	102.3916375
CASP1	105.0689198	120.6133413	447.3547393	368.5228716	197.4982858	130.713996	261.4303162	95.6656882	137.9322676
CCR2	19.00474159	51.9703203	164.8844845	30.26527069	14.50738251	26.65849444	37.59234752	37.09747742	33.32338084
CCR3	14.09821024	13.78972973	19.68759621	14.3091728	12.74336115	19.72972584	191.3051261	20.64599527	18.54862461
CD14	13.03470303	12.33865012	1218.860842	463.3632383	25.5034078	52.59279623	507.3370401	79.32804724	23.98487955
CD160	40.33863307	28.09286941	17.36454503	18.28204557	339.5480771	228.6333483	31.86099671	26.362509	107.5091997
CD163	16.19808895	14.88014821	163.3935432	51.96713433	12.73782387	29.06719361	32.61023753	29.82903342	15.59216713
CD19	609.4336482	351.2050872	26.01399832	20.27836633	22.86220116	21.85607593	32.72808579	29.56456171	22.80905766
CD1D	79.01917333	65.39589767	259.0274396	195.6537283	58.45514244	23.17765811	45.76226958	44.96635509	17.70077809
CD1E	15.33559914	12.26737803	24.63318601	25.27364261	16.89412918	17.78898014	20.6376571	19.32584328	14.55959089
CD207	15.53333696	16.02965862	17.82457166	20.78108778	12.53385202	14.29151449	29.96014983	17.79181553	15.82866592
CD209	21.56254956	20.14325391	26.15703426	24.71510312	20.19972167	25.06647389	32.4160258	21.51146378	19.51579738
CD38	46.49312722	39.38034122	39.06925426	52.95135664	115.3197478	125.8897764	34.58489164	51.92997274	48.60534078
CD3D	18.3239829	18.91975563	33.2706942	23.30028159	56.33207797	61.59373792	53.17227136	494.4703693	989.4824596
CD3E	29.73323694	25.78064449	28.95306049	23.42789918	54.45066747	91.52059952	36.66548085	297.2120614	313.2516163
CD3G	15.60712541	17.21058276	20.03645029	17.36354073	52.72731285	47.09517542	28.2170751	292.0293503	510.882732
CD4	19.19212466	15.62770324	74.71613013	90.38242317	22.49857057	31.76919646	30.59162918	120.5657427	21.57350834
CD40LG	15.79460802	14.01201873	21.31615184	23.73495307	9.46062923	32.18352396	22.2364027	111.2902917	27.33646483
CD79A	895.1168898	517.5152401	39.9746254	31.66153451	27.90374397	34.14135835	47.60436665	50.41894019	44.28348315
CD8A	23.00111779	21.07709964	31.29880096	17.30559764	120.3848475	229.3036515	67.59528421	36.46734199	1501.615502
CDC14B	19.24430534	26.7089239	24.9812427	15.03961235	26.28558395	39.46006237	30.77478769	38.47274641	32.80218
CDC42EP4	14.63394532	18.14435258	56.95588145	176.2484542	36.20271685	28.92054658	50.40495851	32.89870236	24.34291636
CDK2AP2	79.96578551	82.84374054	79.17889087	127.5647821	91.06704481	96.71705783	66.75074747	90.96733487	92.57625685
CDKN1C	11.94415318	15.01240285	50.69993146	252.4298789	69.59857696	23.88454356	41.90888579	35.6694605	23.3895029
CDR2L	21.10128528	18.10701081	18.49745856	18.08663106	14.49003115	21.75356981	17.17150059	17.23269699	22.69165604
CEACAM1	28.86537659	30.44887156	24.41622262	40.61338305	19.31639632	29.72704583	123.6176652	38.127995	28.09671178
CEACAM3	31.90201057	25.42246179	34.83319693	71.06498395	41.09400293	20.30278747	152.1991869	22.7043003	23.49801954
CECR1	249.7297664	198.744684	539.8794125	430.3266894	250.3153376	137.215	58.311901	158.8272698	164.6530975
CES1	13.45248693	14.95624726	144.5041654	41.95228535	62.2735643	22.78794715	28.68559374	30.76289538	24.99168555
CETN1	24.89569218	19.44651507	21.40934038	24.73025365	8.912375355	23.7117837	32.83439425	19.10136596	18.70080591
CFB	12.14243627	15.87675184	28.72609254	28.78063147	17.66632268	17.6712456	18.74896887	17.22933389	15.26889001
CHMP7	268.4936	197.1089897	84.93018581	83.50421345	62.95640663	54.14817252	69.62981071	148.4095575	123.6590612
CHST7	12.19319564	16.8804582	86.82260992	294.5621389	81.58206851	33.75001634	186.5481955	60.49078753	43.81996773
CIB2	21.04859498	24.70297591	22.83826695	23.86572785	11.2093524	20.82153048	22.58851136	24.67196308	26.02053088
CIITA	121.5502314	95.65902383	36.15966501	63.79768028	26.26989788	23.32537161	27.63470579	25.25529385	24.74555189
CLCC1	27.7891818	42.24776799	35.93464686	35.05909253	57.92716006	40.60364863	26.13903385	40.78188827	32.72753979
