Gene	naive_B_cell	memory_B_cell	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell
SDC1	24.79887536	24.55698924	24.60514239	19.21975703	37.53327009	25.55445913	31.127249	19.10655488
SEC63	101.0408738	95.0505003	77.73097269	78.17603793	40.25424723	39.46644409	44.34027112	61.14275729
SERPINF2	25.16540725	19.5227153	20.76616794	17.82347812	26.42707497	22.96898361	27.10046304	24.25168476
SETBP1	149.4771373	157.6850312	28.08892499	36.94103439	21.24400537	17.20597783	20.8123127	11.29997341
SF3A3	96.65835861	95.60065853	191.0306861	191.0686657	115.0015053	146.5464829	184.9975743	76.56541215
SFTPD	12.11587979	10.95413588	19.8149713	13.73656666	21.63785091	11.76085403	17.67920709	16.93120236
SFXN3	22.73172352	32.31937286	62.79976	70.13717378	163.6813683	49.67508072	52.54945777	140.562714
SH3BP2	78.16843296	44.21399353	42.02231674	46.30160147	34.94195231	29.56256603	28.18426908	25.02761861
SIDT1	252.9932429	167.5136467	80.33372021	87.95419742	40.83841306	14.04863542	13.89062684	17.86586064
SIGLEC6	31.38116573	65.9137514	27.61972835	21.34147429	34.51673153	17.20765678	20.74255624	149.1954657
SLC12A3	18.57336278	22.50197068	19.16114417	17.72120515	24.52304192	11.62131228	11.10072089	19.6686118
SLC15A3	86.77486694	68.71479309	45.33917472	24.4990451	550.0792844	1508.414675	1224.507916	28.37516421
SLC17A5	42.4173104	44.36986911	53.27645106	40.91283072	204.9202752	23.01127293	37.03866607	62.59054172
SLC1A4	68.94065372	80.55255659	37.77641149	40.88737035	84.87987704	117.3956521	53.08853683	61.84667402
SLC38A1	488.0248689	298.4439711	310.1665763	424.8822757	24.95566815	21.82657743	21.15317647	40.40203338
SLC4A1AP	83.46892136	84.07982632	77.11608869	92.181389	69.75160247	73.52901396	71.10155677	48.25521981
SLC6A13	20.43557106	24.56967211	25.76961056	26.84066539	29.19264529	41.5794298	36.11468841	33.84390423
SLC7A7	169.2379734	135.1840478	71.83399353	30.82272146	209.8148735	1257.300977	647.2501265	47.5934651
SLC9A3R1	83.40758499	90.71579525	267.3826495	345.9535607	55.52518649	115.4442625	97.94434693	87.58446838
SLCO2B1	13.72861198	14.80060061	17.74458853	14.83308881	357.9874636	144.3793028	353.0585678	66.41143104
SMARCD3	18.0179342	19.66572008	34.85050651	30.18821879	19.71619006	38.19507047	36.75771791	36.32844285
SOCS2	19.53820151	25.22670744	64.01038969	41.69195392	27.15809645	51.89447017	30.66296175	71.35249174
SPAG4	11.32572542	11.47859838	20.48666382	19.66929555	24.24990077	21.61516788	18.60677815	39.70781115
STAB2	18.30632885	15.571111	19.76825935	14.39231432	26.62120556	9.210146887	7.147535614	18.5867732
STEAP4	9.119141213	10.5765404	14.14938737	10.47547468	15.49536105	12.78131722	13.02981205	15.95645585
SYNE1	69.68297964	40.6319927	23.5586851	40.11504631	18.08501148	15.6416583	19.55822944	17.4266933
TAGLN	48.64693621	37.70992937	28.87251715	22.63423102	23.94711213	47.4739683	43.97621193	23.93099376
TBC1D8	27.25407856	26.30226433	32.1559919	22.74865063	47.22490517	89.97544048	75.58508799	41.93875143
TCL1A	793.8900315	67.19269731	30.97811047	26.96561613	26.76142603	14.62698365	13.34296302	18.97489925
TFEC	15.14647828	34.27391711	15.63079984	13.69592199	54.29770312	44.37445657	53.03923273	14.94053634
TGM3	18.67200244	16.30063354	18.1101542	19.16833433	27.69601381	18.64341549	15.84948908	19.60227373
TLL1	9.806158861	9.853894485	11.44631224	9.165693467	12.45295201	7.33620354	7.513473094	8.211164121
TLR5	19.84317429	17.4607716	40.44773288	23.71397596	89.1178512	42.20772028	96.71957721	21.43373872
TLR8	9.326644171	10.19707074	25.79374896	12.25340312	69.95458141	160.3547892	88.42653754	12.39062873
TM4SF5	13.14428075	13.51446334	17.05315871	17.36524199	18.94142667	7.056286677	7.145807287	21.41556376
TMC6	156.0082141	112.4773439	151.5296969	143.6807561	115.2101893	141.064862	189.3974561	67.44198208
TMEM9B	293.1013468	228.5730278	173.9289963	182.808903	378.3296862	338.7091206	403.590934	165.6579102
TMF1	70.62512117	60.70641159	80.81724307	78.48457076	45.29441897	45.74835077	45.81718493	42.78416871
TNFRSF10C	20.97788111	20.5374743	21.22750855	18.58356558	22.55646373	29.83333772	28.72174597	27.0545521
TNFRSF13B	124.1332068	338.8951923	29.12585726	25.75276089	30.73016212	16.40633848	15.62748624	21.17189535
TNFRSF25	18.99531444	17.45184712	216.5732474	131.3810495	20.8027441	13.75750014	18.5468139	17.91899299
TNNI2	16.10205868	16.35942391	19.37239669	14.14728385	75.7729955	36.85140247	42.34020934	15.47023287
TOMM22	100.5764343	129.3724564	129.3696591	112.3008105	64.21761123	126.5062287	134.6982808	97.00487477
TOMM34	80.37944742	59.49011932	88.14993364	77.74591389	86.37416601	113.7891706	97.69335732	86.60401436
TRAF3IP2	76.05384135	60.21586092	48.63999243	35.13236487	31.09780012	53.07752318	29.14731349	27.02693573
TRAK1	154.9530298	109.6521488	53.64150407	51.15145855	79.81752854	95.15129216	93.65298403	37.64157304
TRAT1	7.602023554	10.17953204	233.6199017	167.2247739	22.33286345	13.84602152	10.40286198	7.908750057
TREM1	30.07968761	20.02153675	27.58564124	22.57252005	21.73190637	60.23979941	36.98342445	21.37280366
TREML2	59.04703951	33.6225686	27.61246847	24.34053288	22.51784469	24.99433713	30.28351989	26.48425911
TRIB1	25.6028137	35.5330923	72.85525466	30.53957141	80.26262642	351.0651421	440.9922672	90.72170036
TSPAN7	12.98130215	11.84703603	17.00232043	14.0554313	12.81227294	10.38981742	42.68684161	17.79282123
TUBB6	49.54087061	81.36752152	33.2058379	32.22643286	103.7500098	174.3031046	203.2043102	172.222695
TULP2	38.28948445	21.11840897	20.52169975	16.02488289	34.02278234	8.486431191	10.02263548	18.85007383
TYRO3	17.43511222	13.56441341	19.31901197	15.12849243	26.94188285	21.34568951	18.53798629	22.00657957
UBE2J1	168.2494472	316.4862678	98.3984443	96.24618722	70.89353603	225.3800837	187.877026	93.39070831
ULK2	16.38260907	18.54879318	33.90029611	32.03860804	21.97804903	43.44583173	37.42817424	24.06677488
WEE1	70.37535195	162.4926038	43.89036134	52.21437186	27.58447646	29.49391839	22.90596214	104.0608246
YTHDF3	89.49164974	106.9180514	107.5264164	105.5709979	117.0376528	96.03712739	98.94362314	92.36850931
ZC3H12A	92.87362225	72.18063163	90.62268836	102.719446	93.09842153	324.6611915	132.9781257	53.09032178
ZDHHC13	48.13921695	46.43761206	47.27510732	53.74693459	29.58144691	44.32672922	37.37787488	47.18212596
ZNF180	21.9479547	23.67205929	37.49038396	26.0460025	44.66976239	11.15989935	10.36369041	42.5096755
ZNF189	50.61358264	52.43125502	48.39242603	41.59917211	52.92624409	51.87521317	47.87459943	67.81420799
ZNF34	23.09076621	21.93093196	35.83927608	34.69316866	57.51614782	42.12720188	48.46592788	26.27288294
ZNF552	54.90738864	52.57601071	38.8255434	46.39369821	25.04667861	21.13592378	18.71503755	29.42727687
ZNF593	45.72708393	57.62753824	77.24705502	77.26550469	63.23045157	113.0783292	95.59954288	69.75901958
