Gene	naive_B_cell	memory_B_cell	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell
ATP2A1	17.039793	20.0586516	17.03671199	17.74000641	17.18824817	14.15315218	13.16660461	19.51486665
ATP2B1	71.14059348	123.2892594	68.62920333	76.49565348	25.32615385	40.32151962	63.08404678	50.90737014
BEX1	24.407666	20.03982448	30.14888907	28.77196737	24.37833443	18.21061222	16.86005784	79.55138929
BMX	17.93838896	12.96852836	13.5906409	12.19180263	21.59574956	14.97872715	13.81116863	14.96983944
C1QA	15.2137183	14.76883311	20.01536479	15.08335384	217.7480755	183.4545267	174.3966666	28.94467098
C1QB	16.17390602	14.14248512	22.53482389	14.09155468	205.1247813	760.9798947	415.5917569	23.70059645
CA4	15.64649604	19.01970869	21.25708898	21.46462211	35.90771464	23.7859348	24.44003766	12.65611421
CACNA2D3	11.42371438	10.8360074	22.5188412	13.16436291	27.82381992	14.99606335	16.45716959	11.71001508
CALB2	15.72169716	15.96472373	18.59129268	19.87490217	15.27130719	19.91848505	17.7729197	501.9890558
CALML4	20.00346751	25.99601202	41.21755074	27.80484312	34.41947919	52.95317224	61.12603224	20.56217589
CAMK4	20.42454687	22.83113204	96.27289609	102.3916375	20.05554396	10.56839706	9.461181918	12.40498279
CASP1	105.0689198	120.6133413	95.6656882	137.9322676	31.96773757	227.5596945	128.4629018	38.81214512
CCR2	19.00474159	51.9703203	37.09747742	33.32338084	20.93589269	19.01126528	26.25299852	18.72485457
CCR3	14.09821024	13.78972973	20.64599527	18.54862461	30.16886138	13.94413427	15.4108147	18.58927077
CD14	13.03470303	12.33865012	79.32804724	23.98487955	358.8404586	1312.160328	544.1119381	34.1052756
CD160	40.33863307	28.09286941	26.362509	107.5091997	15.06127835	15.19920218	17.19124228	11.76558969
CD163	16.19808895	14.88014821	29.82903342	15.59216713	288.057151	323.4254145	326.2520053	21.58545119
CD19	609.4336482	351.2050872	29.56456171	22.80905766	48.44663646	30.03209343	30.37192664	37.47613836
CD1D	79.01917333	65.39589767	44.96635509	17.70077809	20.11579001	34.05154108	24.18475585	9.205693321
CD1E	15.33559914	12.26737803	19.32584328	14.55959089	20.77670613	22.47912363	79.39968852	24.64518164
CD207	15.53333696	16.02965862	17.79181553	15.82866592	24.59223817	11.73585459	15.36927499	18.32901676
CD209	21.56254956	20.14325391	21.51146378	19.51579738	139.454032	180.5670872	642.8425965	26.99457317
CD38	46.49312722	39.38034122	51.92997274	48.60534078	31.75590727	341.6290369	31.6031121	32.66918791
CD3D	18.3239829	18.91975563	494.4703693	989.4824596	9.849164833	19.44983925	16.65201198	13.40353639
CD3E	29.73323694	25.78064449	297.2120614	313.2516163	31.3083007	18.66376455	19.60410129	24.77985576
CD3G	15.60712541	17.21058276	292.0293503	510.882732	20.44379699	12.80079854	14.36849591	12.99498231
CD4	19.19212466	15.62770324	120.5657427	21.57350834	116.5693974	105.571924	152.7335159	15.19939798
CD40LG	15.79460802	14.01201873	111.2902917	27.33646483	16.3409779	13.37923277	13.92116058	22.83542235
CD79A	895.1168898	517.5152401	50.41894019	44.28348315	53.36758899	34.08679167	35.99041409	21.87083413
CD8A	23.00111779	21.07709964	36.46734199	1501.615502	23.92695816	18.0866491	18.98187466	30.60007243
CDC14B	19.24430534	26.7089239	38.47274641	32.80218	52.02326435	19.04031906	14.90420733	16.74022956
CDC42EP4	14.63394532	18.14435258	32.89870236	24.34291636	68.17939521	118.3100484	86.28357688	30.34282729
CDK2AP2	79.96578551	82.84374054	90.96733487	92.57625685	86.20174325	50.33727674	53.60228034	55.12886253
CDKN1C	11.94415318	15.01240285	35.6694605	23.3895029	18.65952032	23.53831954	22.06692573	25.02656543
CDR2L	21.10128528	18.10701081	17.23269699	22.69165604	25.43652796	23.84420299	76.28792304	19.74885217
CEACAM1	28.86537659	30.44887156	38.127995	28.09671178	43.50777536	32.49844753	24.81755137	46.65428278
CEACAM3	31.90201057	25.42246179	22.7043003	23.49801954	23.95285678	23.54745231	22.99462162	23.915222
CECR1	249.7297664	198.744684	158.8272698	164.6530975	138.0167247	145.0883627	179.2025962	24.66682588
CES1	13.45248693	14.95624726	30.76289538	24.99168555	55.07078015	83.84816039	43.64794712	25.38659777
CETN1	24.89569218	19.44651507	19.10136596	18.70080591	24.63709035	13.7459945	15.42949224	24.74806031
CFB	12.14243627	15.87675184	17.22933389	15.26889001	40.03805154	468.5396626	64.50948728	12.27898032
CHMP7	268.4936	197.1089897	148.4095575	123.6590612	99.14819489	45.41445344	42.67464861	52.55792824
CHST7	12.19319564	16.8804582	60.49078753	43.81996773	146.8261925	129.464542	145.2959085	20.60427789
CIB2	21.04859498	24.70297591	24.67196308	26.02053088	21.16572619	24.88134138	20.90547855	23.3615131
CIITA	121.5502314	95.65902383	25.25529385	24.74555189	67.7929088	44.17622962	57.18807711	24.44238728
CLCC1	27.7891818	42.24776799	40.78188827	32.72753979	54.60146217	35.05556644	32.93259528	39.16965424
CLCF1	61.40173626	42.80986937	36.93265732	43.31568268	44.68294419	74.89666357	46.96835322	41.34651139
CLEC4E	20.70414541	18.58558176	21.11894247	17.27420315	56.04077492	58.53767926	20.16767877	18.36843106
CLEC5A	12.98292748	11.86480331	19.92657933	12.7425743	191.7649953	109.7549634	39.81637636	17.19997046
CLIC2	7.468387247	8.611576173	16.40414786	10.72987451	63.65224108	73.08324087	124.1197215	10.77888783
CNNM1	19.61789398	17.66561499	21.8796479	22.13548439	17.45349877	28.06154035	29.60525796	15.23410526
CNOT1	260.3170197	230.8352719	139.1820965	127.6277602	108.7384462	82.16023697	94.4983749	138.5490071
COL4A3	19.29580211	38.98891791	16.13812635	13.97814569	18.22680619	11.53797592	11.40818467	10.75907029
CP	17.00364152	20.70941969	13.83729271	11.36970415	18.50482878	26.83125596	13.18819811	8.559270729
CRISPLD2	19.19545005	23.76177648	32.29319963	17.61098593	49.73270252	78.67567215	22.91682658	28.45249636
CRLF2	16.03267477	13.66886662	18.07931937	17.86107986	37.14468009	17.54946448	15.36194711	29.52186077
CSTA	17.25957913	15.35953638	29.48469399	24.49647625	34.65174437	97.22243564	85.57357745	33.40806536
CTLA4	16.39125434	18.33073654	129.8358033	41.05685999	24.18886816	18.00448652	18.64148468	15.86004001
CXCL10	20.90699047	19.41381296	31.66823352	23.55096242	28.3336035	950.9855097	24.65365702	27.60986934
CXCL9	22.07527932	19.58578528	20.31221477	20.77819418	19.7885047	557.8248547	26.51711073	12.59043656
CYCS	174.8771412	171.6617042	102.7156898	187.0283832	47.78333346	56.3536432	70.4242461	504.8027012
CYP2B6	24.00242662	21.69562159	16.02207936	16.21721204	13.67097021	12.78153124	12.63117756	14.00763817
CYP4F3	13.21151514	12.26800991	17.06078128	12.55577068	30.99010079	14.91273089	10.66355827	16.83485844
CYSLTR1	62.69630639	70.70398363	61.87980983	17.88480491	32.62985585	47.66464156	52.26963133	8.086258361
DEFB1	15.85576983	14.86633036	16.82859449	18.92851977	18.80846081	51.55347185	16.54387976	18.42318386
DENND3	122.082299	82.49760389	45.52199184	42.42020975	77.26288625	75.59647944	51.23959713	19.77261941
DPYD	41.31204965	27.52972346	77.80568603	51.21699397	58.04122753	136.5678674	160.4216423	24.72869033
DUSP4	21.6728451	47.24746394	58.78188282	47.96458798	30.52888123	15.61916099	15.87901832	190.3178905
DYSF	17.91609591	16.85155624	31.61575906	33.27004148	52.35549776	81.31877464	62.84726507	33.23647532
EDN1	19.66071264	19.19874936	21.87177636	19.55849287	29.67045444	222.1283692	41.45148751	24.81718377
EIF1	751.3306066	665.3015201	864.0347869	1022.237841	634.9566056	1127.387628	1147.809467	230.7808023
ELSPBP1	22.36499527	18.85363609	21.97998967	18.0344645	43.18631698	12.41779463	9.097566227	68.74945677
EMILIN2	27.88557602	29.10908855	61.41250531	42.84410397	345.678358	559.1490071	596.8402081	20.50288034
ESPL1	35.62166878	40.29560461	34.83076708	34.33550232	52.5333124	51.74919422	49.85510521	75.42980782
EVL	312.3915454	172.8872923	483.6684471	475.7815281	200.4627408	325.2328198	792.5258007	88.98931794
FARS2	65.40103015	56.51347306	68.91493692	57.63681053	59.88576789	71.50239157	62.27751656	34.55761635
FBLN1	16.97673405	18.86073726	17.46339588	16.26708074	19.55847437	14.40314601	14.12376741	19.27910941
FCHO1	70.91452629	54.85744008	69.78904316	54.16017361	42.16806879	52.11438959	67.19476826	38.84121537
FCN1	21.78727505	19.61009413	111.8669392	37.55306367	195.2432419	507.278422	357.4507729	24.12047745
FGFR3	12.28823998	12.57019149	16.16241894	16.27252849	19.38339042	21.19644959	20.90160772	18.86260123
FGR	104.6493239	104.5049507	67.6244936	85.70727674	120.3041189	230.896904	224.0911633	48.7953119
FKBP11	55.70072112	103.4019889	152.2115486	232.5187051	34.74175405	56.98469184	49.77843561	40.36201594
FLT4	23.7866577	20.7650773	24.19187576	26.11136311	22.93427872	9.057130982	10.3526789	13.35651259
FMO5	24.49876971	18.66550961	20.20486516	15.00466246	20.98037163	25.90327413	24.7397704	32.11041048
FST	17.26727567	18.02608319	21.24630049	20.41739639	18.62908914	38.96074309	35.17487388	81.76073417
FSTL1	16.36246373	14.83866762	15.99744838	15.89624331	15.43853819	16.63998017	14.02532426	25.6824391
FUT3	22.89313818	19.72088912	18.16149056	16.99234409	33.81751289	14.1302507	15.87808945	14.64197776
