Symbol	B_cells	T_cells_(CD4+)	T_cells_(CD8+)	Endothelial_cells	Fibroblasts	Macrophage
A1BG	127.75	100.1363636	125.0769231	83.72727273	138.75	115.9090909
A1CF	46.25	39.04545455	50.34615385	33.63636364	25.375	38.54545455
A2BP1	46	31.90909091	42	35.27272727	31.5	34.36363636
A2LD1	39	42.04545455	47.53846154	64.54545455	97.625	69.81818182
A2M	46.75	32.86363636	46.15384615	81.27272727	453	5796
A2ML1	15	12.86363636	14.65384615	14	12	14.09090909
A4GALT	175.25	86.72727273	102.2307692	124.1818182	113.625	140.8181818
A4GNT	34.25	29.13636364	30.76923077	25.90909091	25.125	25.09090909
AAA1	29.25	28.22727273	36.46153846	24.45454545	22.75	24.18181818
AAAS	413.25	224.3181818	180.8076923	277.4545455	224.625	209.4545455
AACS	57.25	144.4090909	111.5	294.2727273	441.5	163.9090909
AACSL	18.5	11.54545455	12.88461538	12.18181818	10	11.81818182
AADAC	63.75	30.18181818	35.80769231	55.36363636	31.375	30.72727273
AADACL2	10	9.727272727	10.03846154	10.45454545	9.875	9.636363636
AADAT	29	20.40909091	24.61538462	29.09090909	61.5	19.54545455
AAGAB	103.75	95.09090909	128.3846154	100	102.375	95.45454545
AAK1	96.5	139.5454545	137.1153846	63.81818182	67.75	70.63636364
AAMP	210	315.9545455	198.5769231	462.9090909	552.5	402.1818182
AANAT	15	14.90909091	15.19230769	18.09090909	14.75	21.36363636
AARS	447	427.2727273	275.5769231	806.9090909	811.5	557
AARS2	100.5	113.0909091	108.5769231	106.2727273	76.25	118.7272727
AARSD1	166.25	130.2272727	173.3461538	212.0909091	223	103.0909091
AASDH	698.5	262.4545455	724.0384615	105.4545455	113.5	164.5454545
AASDHPPT	812.5	348.2272727	765.5769231	503.1818182	472.25	388.2727273
AASS	26.25	20.18181818	18.73076923	48.36363636	52	10.54545455
AATF	370.75	517.6818182	348.0769231	495.3636364	453.75	443.9090909
AATK	139.5	81.77272727	118.9615385	103	87.375	127.2727273
ABAT	31.5	103.6363636	50.57692308	49.27272727	261.25	228.1818182
ABCA1	225.5	75.40909091	187.5384615	165.7272727	461.5	1228.727273
ABCA11P	52.5	57.04545455	36.38461538	44.63636364	49.625	25
ABCA12	9.25	8.681818182	8.692307692	8.272727273	8	8.636363636
ABCA13	7.25	10.68181818	11.5	7.636363636	8	7.636363636
ABCA17P	14.5	17.45454545	13.57692308	13.27272727	13.5	13.90909091
ABCA2	54	65.18181818	49.23076923	60.45454545	62.875	62.45454545
ABCA3	105.5	90.54545455	84.84615385	213.3636364	104	81.54545455
ABCA4	50	40.90909091	49.65384615	42	31.375	38.27272727
ABCA5	54.75	241.1363636	155.3461538	127.4545455	123.75	118.6363636
ABCA6	15.75	11.95454545	13.53846154	67.45454545	46.875	49.18181818
ABCA7	129	235.5454545	106.7692308	60.90909091	53.75	97.63636364
ABCA8	9.25	9.045454545	9.461538462	176.9090909	465.75	8.545454545
ABCA9	27.75	17	20.80769231	37.27272727	98.125	21
ABCB1	34.25	63.22727273	297.1923077	26.36363636	11.875	20.09090909
ABCB10	35.25	280.5454545	127.1153846	252.8181818	246.5	338.0909091
ABCB11	16.75	10.63636364	13.65384615	13.36363636	10.375	13
ABCB4	182	22.45454545	33.26923077	22.72727273	27.375	87.27272727
ABCB5	50.25	41.68181818	54.26923077	41	36.375	42.36363636
ABCB6	62.5	72.18181818	72.92307692	144.4545455	164.5	83.36363636
ABCB7	325.25	256.9090909	173.5769231	250.6363636	184	304
ABCB8	49	58.13636364	49.65384615	75.18181818	78.5	67.63636364
ABCB9	153.25	74.18181818	110.0769231	52	39.375	71.81818182
ABCC1	83.25	172.5909091	118.1538462	277.9090909	220.875	293.5454545
ABCC10	46.5	445.1818182	175.0769231	315.9090909	366.75	465.1818182
ABCC11	15	13.18181818	12.61538462	12.18181818	10.125	12.36363636
ABCC12	13	11.5	14.57692308	12.27272727	12.125	11.18181818
ABCC13	34	18.27272727	26.03846154	17.36363636	14.75	19.18181818
ABCC2	29.25	26.72727273	28.53846154	23.63636364	39.125	21.09090909
ABCC3	90.75	64	93.5	49.27272727	233.25	726.4545455
ABCC4	35.75	118.6818182	41.80769231	264	439.125	137.8181818
ABCC5	28.75	22.13636364	24.92307692	27.09090909	32	29.09090909
ABCC6	37	30.77272727	32.80769231	32.09090909	34.125	74.81818182
ABCC6P1	13.75	11	12.26923077	11.27272727	11.125	11.18181818
ABCC8	41.5	39.86363636	42.19230769	41.72727273	33.625	37
ABCC9	27.5	22	23.15384615	22.27272727	37.625	20.54545455
ABCD1	82.25	107.0909091	77.07692308	108.3636364	92.75	310.3636364
ABCD2	9.5	29.86363636	18.88461538	8.090909091	7.375	8
ABCD3	30.75	84.18181818	228.5769231	157.3636364	88	117.9090909
ABCD4	137.5	207.8181818	134.2307692	228.3636364	184	175
ABCE1	361.75	557.6363636	388.3461538	1357.090909	729.25	684.7272727
ABCF1	356.5	662.1363636	654.4230769	771.9090909	570.25	562.9090909
ABCF2	219	114.5909091	114.6923077	180.9090909	134.75	76.90909091
ABCF3	124	200.9090909	149.7692308	229.6363636	222.875	211.6363636
ABCG1	34.25	133.5909091	320.5384615	127.9090909	11.625	299.9090909
ABCG2	21.75	21.54545455	25.19230769	140	28.75	561.3636364
ABCG4	101.5	74.95454545	88.26923077	90.81818182	71.375	92.90909091
ABCG5	25.5	19.86363636	22.03846154	20.36363636	18.375	18.18181818
ABCG8	25.5	27.90909091	29.42307692	27.63636364	29.25	27.36363636
ABHD1	28.75	26.54545455	28.73076923	25.27272727	22.25	27.09090909
ABHD10	510.75	315.6818182	268.4615385	422.8181818	381.375	515.6363636
ABHD11	12.25	12.72727273	10.19230769	19	19.5	29.36363636
ABHD12	27.25	40.59090909	36.46153846	118.1818182	133	334.7272727
ABHD12B	12.5	10.5	11.07692308	9.818181818	9.75	9.545454545
ABHD13	32.25	67.40909091	69.11538462	50.36363636	53	49.54545455
