Gene symbol	B cells naive	B cells memory	Monocytes	NK cells resting	NK cells activated	Neutrophils	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells CD8
BEND5	571.2009408	267.7407888	57.98412082	74.64354417	37.21954547	102.1569818	219.5683455	64.9845649	51.46605096	159.6750731
BFSP1	8.615516504	12.0925165	21.37855994	34.61450761	19.45168576	19.08652196	130.3828712	8.910362721	12.08950821	19.66358081
BHLHE41	227.283923	379.2503375	42.84587819	51.53421812	51.58608454	77.67945327	17.67634993	26.70594032	66.17589119	45.2704192
BIRC3	1762.323129	1072.239215	159.952492	283.6871924	1173.96483	132.8542597	677.9807091	1121.424012	2888.707681	370.9307246
BLK	1788.424777	3284.235489	34.13408456	10.05664906	12.25757399	9.863599005	67.99945866	19.16528476	10.42128191	136.3936481
BMP2K	282.3095234	216.4337119	350.5910579	107.0425872	117.2003668	588.9037939	109.3081052	42.06887765	146.6778838	117.76525
BPI	10.46971467	14.03167905	280.0017084	837.2008291	166.0621042	60.80053179	41.29948278	12.50772288	6.382539853	64.13890515
BRAF	2571.803933	974.3131867	264.8782577	298.7194597	257.1799046	721.2799495	101.0267209	155.551421	178.3523031	178.6931052
BRSK2	10.44585498	4.456868898	11.75864418	18.27029466	17.22013091	11.86171476	7.924164041	16.19041478	40.50367377	10.46220047
BST1	65.21842011	67.5879307	1567.219569	151.4101449	86.13707715	1750.231329	129.3703853	67.69994038	71.82322708	68.85559845
BTNL8	15.22236138	13.26757452	20.1092024	11.54872001	13.71677829	1062.582186	23.17042572	17.46905843	21.218127	13.49547351
C11orf80	531.8492615	393.7715656	85.67243058	100.49005	141.0093392	101.6588003	91.4854186	158.5148937	138.9893405	162.5847884
C1orf54	41.71079514	44.30946814	395.0230177	162.6593193	73.10888641	49.30939393	292.5617552	288.2644361	109.8410784	244.0295762
C3AR1	131.0995558	97.68302989	1337.368233	753.7180287	473.1714371	746.04456	100.57262	198.3433582	109.0856459	218.067024
C5AR1	92.39233333	64.88366132	4237.561451	335.1748215	170.9594157	12587.17469	39.1758312	24.57422621	23.7998802	71.29814039
C5AR2	8.032047496	16.66742886	56.84374943	35.45497764	28.87408345	383.2737567	50.36671815	6.818438323	16.3457722	5.512627066
CA8	17.99617948	18.54386568	14.00907196	14.15699793	14.46846851	25.59129039	19.53973873	16.42178108	15.32647154	13.31718235
CAMP	32.24981999	29.66511957	126.178855	1655.267194	130.333791	1507.37221	148.5655127	101.7397638	32.63242659	76.14506063
CASP5	16.22879037	25.41117138	120.1766089	35.16192527	57.15128061	483.5047319	11.62316713	9.073509293	7.44133492	20.72194816
CCDC102B	7.52422977	6.165616203	5.674857963	21.31213885	3.261428192	6.416534838	9.251047619	13.31038127	1.761755136	17.7200176
CCL1	9.151450435	10.41823708	11.12331494	11.53343942	29.60547378	9.407691897	22.5839555	9.669430796	15.97030854	10.7845404
CCL13	195.3507704	171.4302952	87.08769892	95.02050924	96.66643251	105.3162645	41.65976896	118.4029297	66.04578922	120.948249
CCL14	70.01715851	58.91915912	105.0702474	67.54459099	72.99488239	248.3181959	31.21088513	91.76959128	77.60907212	71.06446098
CCL17	42.21616032	58.99587921	67.76049878	75.01179342	38.77174192	34.28591541	19.48358652	30.30478142	170.3383554	78.50428281
CCL18	19.93877192	21.68816978	40.68134871	39.1384328	79.51319871	49.52876721	24.35123147	12.82579482	81.202364	35.31761702
CCL19	78.52160611	139.7443318	115.5525527	109.9231796	146.4600699	117.2636391	36.87140683	60.92923205	89.77834495	77.62297831
CCL20	39.50876033	26.99246182	18.85113165	18.43517451	20.31818041	22.44468073	13.08202394	29.40136468	1562.138826	61.54110043
CCL22	46.07125476	31.32507211	33.117333	26.9167755	76.9655571	59.92678374	39.42959137	27.87853733	28.17031886	24.03529684
CCL23	19.74347261	16.59253631	37.98614378	64.61571582	43.88212709	58.68966344	19.69815613	27.6569304	5.971548735	15.31837372
CCL4	1661.464071	817.4816647	3000.888772	11202.80591	38944.01868	2680.048326	270.8722361	442.4757485	11191.41447	2564.294556
CCL5	19.56849893	88.23956549	102.8425968	17238.65692	11744.53738	133.3630669	189.4932768	3143.971755	1850.010235	11434.94887
CCL7	80.54919503	45.94840622	36.20654238	33.53994623	21.32839265	97.336807	48.24358597	38.5055913	22.95842907	54.29720304
CCL8	229.3383995	97.02939896	126.7672449	49.61858818	49.04713211	94.60984879	31.42579269	64.22389989	82.98777026	35.05420149
CCND2	299.0433892	447.6145479	196.775837	1065.420393	6016.733404	314.0695212	363.696915	1162.572673	2369.155331	682.2085787
CCR10	52.98873326	92.31546536	68.90758909	81.81890669	50.05941379	97.53796277	64.30250203	282.9223926	67.60022415	130.744128
CCR2	420.0370653	360.0216463	2908.726283	92.11909435	97.00535628	243.2288166	64.9467235	756.5516447	297.1447653	312.6203444
CCR3	135.0222303	31.14530202	83.4012701	128.2007913	81.07845472	1435.2148	12.07805481	88.58205857	53.98997768	51.21539926
CCR5	98.76355416	93.00951267	489.987509	578.4832233	1425.773385	85.86154472	75.4038863	462.1524294	423.3973006	992.0442583
CCR6	327.4987971	331.0843447	29.59035049	46.43838291	122.9424087	45.63378677	69.04044011	486.3438163	155.6717837	173.0896162
CCR7	3811.326733	1939.045683	165.2353496	672.4665585	482.4429323	376.1557339	8788.597127	2693.556404	2885.120974	5074.201816
CD160	446.1294222	281.8251718	93.85626167	2499.533496	688.496341	231.9423322	114.9678358	125.3243228	159.1785523	1145.34982
CD180	1502.166724	2247.885466	576.4469199	37.04952547	30.94941671	110.5409754	23.15489547	37.96319899	83.10064157	78.77964471
CD19	7315.689158	5295.93686	164.9026221	90.4860579	98.40190703	257.8963108	128.2039752	55.61361754	93.42592839	132.2416591
CD1A	1294.174017	818.7834717	312.0225877	152.5357864	145.9248694	419.7944138	135.3722907	191.4053509	139.7165139	208.3949257
CD1B	1351.157456	338.3307439	198.2817057	152.9052072	109.5758377	356.8836932	22.28653167	192.5532686	45.50400457	55.67758898
CD1C	1349.225244	2899.133023	526.834127	36.32319474	30.67802465	258.2129965	77.23468675	204.5100438	33.58018677	44.14189025
CD1D	243.5748238	416.3030749	2785.253606	16.24955986	17.37783232	136.9215217	30.19763591	10.79075018	6.357029724	16.92273192
CD1E	53.25152761	49.96271254	91.10615096	53.71078497	34.07711005	41.44795696	80.73544092	55.87769713	33.11414254	52.56295023
CD2	419.4350192	409.5822139	222.357789	6247.906848	3097.47128	576.8272959	8002.722844	9578.936337	7866.426688	8182.951228
CD209	68.81156687	26.73032883	84.17376676	42.60499233	31.86953296	130.8839822	99.59399622	16.53368601	21.60591559	21.6089747
CD22	3293.629651	1803.150148	31.15232509	41.94230156	32.52035914	72.3215622	53.38200923	54.37437693	40.69767509	37.47048645
CD244	59.70898915	38.51177638	828.4298346	1823.542464	1702.765135	51.86506899	174.4389829	69.11006059	23.25507848	623.6947469
CD247	23.66779296	53.69027623	35.27406041	16099.47966	15108.26954	59.83784952	7038.536622	5318.708728	2156.371127	5508.526368
CD27	388.8197482	4138.587476	136.4091916	196.4705551	127.3316351	300.1045211	4042.377012	4188.175594	1125.960048	5506.313911
CD28	170.6541081	183.9284292	79.14901833	77.96041968	71.78378935	177.5405702	462.9998637	961.774233	2294.871098	527.4027958
CD300A	30.69853755	77.94519325	2187.807203	5340.892712	4668.361682	4130.857899	193.2963626	414.3723032	54.40588795	738.0313132
CD33	25.374709	16.71748672	1494.400184	13.328498	14.20413975	36.74188801	17.83717204	11.69136762	10.49185361	21.33635265
CD37	13247.62405	11610.29035	4508.112105	2090.502205	1604.568691	3204.567177	2997.964479	4287.536344	865.4159386	4472.430176
CD38	588.2648306	659.9477137	237.7018615	1418.265485	867.2194289	400.4888321	296.2994306	205.305051	492.6276527	318.883456
CD3D	103.2248459	174.4025802	79.18206065	250.8695535	243.8532814	250.9974436	14916.803	12009.36242	7456.754789	14396.85632
CD3E	1233.172359	756.7993492	225.2808846	461.7145711	342.1231155	809.110134	3554.437369	6370.192958	2850.795927	5787.182458
CD3G	55.98119171	87.6081271	31.97464945	252.9163802	117.4404361	160.0909817	2859.409338	3066.253514	1149.980649	3348.560467
CD4	138.4573773	118.3512664	3343.906153	81.07568775	75.96955929	364.5571609	2495.269425	3710.379943	1725.414846	164.9509326
CD40	1493.347557	1328.267122	298.5733076	164.1619074	204.8063535	275.5927662	119.8051169	168.9573287	169.3131278	203.0571538
CD40LG	65.37231327	51.83259142	24.75213495	29.30316525	52.25679554	51.29818379	464.1789801	852.1721059	660.7418675	186.4853205
CD5	482.7709118	212.2007839	312.9288878	283.2620394	201.6701633	223.7346793	1101.084704	1734.374565	918.9690411	947.6570017
CD6	75.85653173	91.34978305	90.96996824	623.8033823	348.4243243	155.6335945	738.2321164	3148.85189	2731.999076	1720.140098
CD68	3.286119074	8.41213334	806.3047213	93.83368418	13.92293323	36.20155225	21.15896542	15.76945271	30.90820518	51.10845475
CD69	8246.962733	5037.059721	66.10288756	1781.265844	5471.704926	436.4221698	4397.041606	5489.202469	1071.887678	3798.407191
CD7	15.62904812	17.28012062	20.48373388	1666.682281	2106.83981	25.19240764	2032.402798	1507.773715	1271.833268	2234.707961
CD70	294.6566184	647.9228093	189.6644237	226.6449338	186.4718703	309.3411047	116.5526077	266.2959935	388.2749858	247.6214563
CD72	1434.004736	194.0589782	9.096324111	67.34451995	21.03489045	9.272238244	43.04528298	8.195551244	15.72935292	18.8127059
CD79A	12117.94539	9835.923	174.974517	149.4947867	139.2030869	261.960019	183.3771612	161.6033691	97.84605147	425.4456431
CD79B	5975.189254	4719.84198	158.7986952	364.2599841	254.4761746	232.5557133	284.1304512	341.3861217	192.0177626	229.2346632
CD80	131.2576257	345.1713796	148.4294518	163.1921911	139.2568175	132.6404432	102.0859478	92.39233333	195.416557	73.52859919
CD86	354.7433616	599.8609321	1398.4001	110.1384066	87.77041198	161.5053365	35.145174	95.47693449	90.30112485	108.8922088
CD8A	564.4780916	348.1087905	203.576442	959.5951565	1190.400365	623.2298556	41.07506248	147.1712529	161.1817391	9990.737125
CD8B	21.53089091	18.55930203	14.49443263	20.09303314	16.68319539	31.43329135	143.5770588	16.54639136	12.46145751	3697.963718
CD96	140.0696821	182.4215585	35.69766875	1629.78438	2127.768209	90.84379933	1432.94769	1571.924274	253.7390252	1718.974851
CDA	7.453474496	8.282139574	1040.419935	98.13957615	8.147551977	3592.43191	9.6818797	14.73210587	10.15946955	10.06514533
CDC25A	14.44417944	13.22104832	14.74858062	13.26647127	142.2923317	17.78100586	13.45315049	9.040054131	226.961818	9.90420085
CDH12	10.62580967	18.14764196	9.440421022	27.0789387	9.729238863	24.73256754	7.285693652	8.59290329	20.54473142	7.907398998
CDHR1	15.70334805	21.35717484	10.5027912	237.0997067	29.5032353	27.59515717	86.84214478	12.73061175	27.50039747	32.70000097
CDK6	30.69853755	23.04874713	21.06647043	27.05878945	289.5847031	19.40986991	25.78013421	99.98686977	45.35113413	65.1412171
CEACAM3	68.46140597	61.8011542	242.1017704	189.912654	109.5758377	2096.525977	59.64008096	55.44751849	46.69869297	69.08981156
CEACAM8	77.91715796	86.88656507	6.650645086	956.067675	162.1045877	149.8673485	7.285693652	73.7311384	35.28849776	143.8250498
CEMP1	28.85299608	26.05680615	12.41773777	24.7914552	47.37880726	30.29430793	44.87716404	8.245074698	8.750532337	9.51802003
CFP	4.573719127	4.646460043	3702.502521	33.99443636	6.982740503	2060.180409	371.8319741	50.46125007	5.783504523	14.38688428
CHI3L1	9.040054131	10.11185342	12.16796964	344.721706	59.67623931	3791.328311	12.37533181	7.285693652	12.94364358	13.16060514
CHI3L2	574.7325605	445.1279343	200.9927361	322.0390633	170.2202856	356.9094548	662.9063033	312.1882039	166.1811986	362.8779127
CHST15	375.0617962	380.4544171	3334.89402	43.29669296	21.63834323	4602.158626	56.31496953	41.68602369	34.12601784	37.3682688
CHST7	15.2998514	17.07503774	291.0641772	29.82523398	23.03809769	793.1481128	70.20092794	367.4048158	234.0049091	26.28908826
CLC	317.0133169	263.8099578	86.56595204	509.9159527	237.9275689	4605.247829	21.54663623	110.2519917	184.5831263	91.38509289
CLCA3P	17.20651635	25.26232098	2.691185739	4.29075067	1.761755136	6.90793389	11.3209152	2.307902038	0.972464723	10.28448645
CLEC10A	110.2519917	95.48720378	481.4264713	56.08638386	61.70274209	145.6285415	56.97214117	77.30955315	36.92529104	80.05432796
CLEC2D	1012.819733	595.0445595	93.13451585	979.2239401	344.4100434	68.77784236	1443.461253	1711.865828	1875.9525	1510.850313
CLEC4A	270.684059	105.2173251	2802.254283	66.20219764	39.06798479	2814.377261	94.87431986	19.995556	35.566978	43.67169279
CLEC7A	148.8556127	142.0062175	6165.953009	143.1492688	89.37299011	5247.49398	106.6702025	89.98404196	50.52462737	86.04241069
CLIC2	8.195551244	7.671472425	103.5590934	24.68882499	30.3854209	10.41872533	11.06762282	4.799625554	7.65617701	6.339831804
CMA1	77.95639785	68.10609278	58.76829357	57.33259038	53.020637	48.25538871	42.09518393	46.6365232	76.31621718	25.22954469
COL8A2	135.2230196	73.45098986	275.8747733	88.02552084	68.46140597	186.4210163	79.43023238	61.77215124	55.34420893	60.53487072
COLQ	28.85299608	27.39812397	33.83180651	406.5670516	351.0163026	40.46415035	66.85032911	135.3256446	36.18719498	152.7740895
CPA3	786.5967435	653.570348	135.1465191	458.1363071	308.1273629	522.5988941	25.20265438	243.2991012	226.7134742	147.6958112
CR2	1471.268235	559.6347831	35.1557773	25.27012551	64.40632604	33.0622167	285.69747	67.24739132	17.8883765	245.2703384
CREB5	30.97425375	24.5582079	360.9106341	13.03890087	14.41666747	1385.315828	43.39553244	7.370460489	10.97804588	12.41011504
CRISP3	27.37818895	16.54772888	5.032005451	164.0262277	41.73838224	15.93701737	4.203532154	7.582193721	10.20717886	3.235495107
CRTAM	54.88908823	66.10701896	212.0416867	261.1619294	652.8575264	83.96491114	308.5611006	114.0594238	661.2766113	1443.48038
CRYBB1	8.51087882	9.160277762	9.396148118	9.40235754	7.972776848	9.876168345	20.22798354	10.6390921	8.277095789	8.78944775
CSF1	22.1078749	21.81521667	24.56893179	21.72047615	24.48518696	22.5275051	21.94024148	32.27097928	235.5590589	22.99418539
CSF2	24.24874392	18.24411695	27.09459243	47.27814858	741.3146239	19.5960694	40.95236426	25.87142267	1283.451966	24.4197256
CSF3R	99.76628743	29.61360061	2331.948628	115.6437107	45.2333023	9175.361959	107.0724606	36.16508067	25.6594246	24.3859179
CST7	29.71165699	21.33475082	63.6732263	11514.68497	10179.78364	2347.728878	197.8545424	1470.064999	746.2695012	5181.597893
CTLA4	19.39158332	12.05483904	18.619765	11.01469755	18.71219759	38.69364838	282.3095234	606.1036832	1865.797683	19.09265901
CTSG	247.7712501	204.7033855	88.12615549	309.0786617	105.3144058	185.0082007	134.4958651	81.23896111	73.69460204	113.3980465
CTSW	16.65790643	14.10507421	16.93731154	6980.778276	10811.41236	20.49140221	487.0683652	963.2767736	23.08754551	4894.215252
CXCL10	761.3944185	395.6381026	500.9300164	201.1109308	1510.914551	486.9671286	120.4987696	152.9758784	529.512254	157.22658
CXCL11	90.26229276	71.79483122	38.41873667	28.53859717	183.3079432	74.22060498	6.633637977	14.33061258	52.00544678	22.77124293
CXCL13	50.1800947	22.77083572	10.31783604	10.02644064	16.12512522	29.79046571	6.024967349	8.95713845	280.5297599	22.35743472
CXCL3	73.07039801	28.30659504	175.8826199	17.38441257	30.21807353	75.7691719	17.02062149	30.02788375	26.84183085	26.71170482
CXCL5	94.16490321	83.04902879	32.93471403	25.08008077	29.07388553	69.6139163	7.759898576	41.21600403	24.94052208	18.42018765
CXCL9	597.5841917	438.2088306	265.0825127	186.9242102	590.3615841	403.0543959	77.45884479	151.5042347	259.4612394	125.8362376
CXCR1	260.5780432	187.0592932	82.78141165	515.9159844	417.1870896	5613.081304	320.9597732	253.8205315	76.35489937	214.6841388
CXCR2	26.76355546	12.64597482	408.3528365	963.1701029	280.0023863	17610.41012	5.107669662	20.88194891	7.644655016	73.61765642
CXCR5	368.7814351	298.694373	14.61246054	16.03380756	15.13101608	19.29227122	29.79215867	181.8245372	207.1265648	32.70801147
CXCR6	143.966553	137.922284	89.88376184	175.2851029	139.1507517	166.6014244	92.27701669	190.1248095	1140.294509	239.577985
CXorf57	39.26542516	19.44447612	8.024895821	54.61125396	77.38738398	12.15912559	236.7644719	111.2439257	152.5108229	102.1724937
CYP27A1	28.17031886	29.93010894	761.5963848	36.91521067	30.40510025	52.96843829	57.08079673	18.92107732	20.98904773	35.11559608
CYP27B1	839.568697	393.1234511	96.6530619	95.8119075	117.9119847	291.0919657	89.21509024	112.6050172	253.1007469	123.385104
DACH1	8.110268958	6.614252509	63.04081707	34.41652414	18.5565618	80.62449793	26.64846634	6.332890006	3.990985982	6.072925338
DAPK2	50.49233083	52.66107689	50.3687963	75.19081972	65.98252315	494.7641499	35.93880485	53.08765217	21.06633463	36.778245
DCSTAMP	38.69538004	19.46232551	100.3959971	39.23336722	85.31836726	90.65655649	33.84353695	19.29191355	61.87372226	45.95452314
DEFA4	364.8313155	262.8085775	108.489886	3153.504694	224.7841847	453.7054493	61.9081487	252.1933458	165.640875	580.4081606
DENND5B	47.963256	82.49743428	5.019653713	28.75548047	4.929861418	11.06939913	5.354735415	6.171513508	8.639430617	4.937003728
DEPDC5	23.00370479	33.44683221	40.17793365	74.53481103	143.2597854	27.33916292	192.0177626	41.85091261	38.53463959	42.10826584
DGKA	426.967722	460.0096029	300.9545855	393.4296648	301.113803	314.1795669	3066.253514	2690.021108	845.8491856	2223.016764
DHRS11	53.98997768	69.55072395	46.95962914	61.62409019	85.55342451	54.33030883	123.9520803	27.7175438	149.3668195	88.61812105
DHX58	13.86362993	16.88361737	66.42778065	126.714319	29.64538132	20.09780832	298.2898502	30.99587635	14.48068577	67.97505932
DPEP2	695.4566346	459.3705381	1471.477094	636.0698166	22.1565212	4347.71622	1220.279156	631.2800075	9.029403736	469.0254782
DPP4	19.45168576	16.56719599	19.65506451	43.07303297	391.9641115	19.5766283	689.9495562	1042.227242	892.3150761	686.98687
DSC1	82.26251271	48.0259129	18.85006161	21.21931052	23.81586063	42.13322455	788.0190869	15.6035437	10.21829304	408.664347
DUSP2	13.29827708	139.2748932	404.8953793	494.2129873	307.9165172	88.7690473	318.0170106	2005.427058	2312.349458	4083.939908
EAF2	3181.18246	2020.339327	683.9617628	198.0166857	184.1015768	240.8539709	240.986393	138.142275	265.1751702	219.0176307
EBI3	10.50267123	16.93649086	12.4947299	10.01431702	16.85549775	11.62603766	15.05714204	11.53252065	119.0986128	12.21399038
EFNA5	5.427660306	9.117018877	16.87392513	29.85222409	43.79639678	38.58771285	116.9246518	24.29954135	13.95930187	12.03201722
EGR2	122.3401907	98.24319728	466.5929482	155.2354783	1331.912221	198.0753053	35.24465136	36.23835539	2100.112826	35.39583074
ELANE	11.04729816	8.908551164	28.96336488	734.2988939	167.9222444	31.87881829	12.73061175	12.43682411	6.90617027	103.4864778
EMR1	499.0111023	383.0612119	1815.513906	348.0789413	188.5213167	1253.613443	428.0646447	312.812165	400.2184096	195.8964573
EMR2	145.9766252	106.053844	1319.424101	174.2285945	87.43886769	3956.252694	56.18573504	83.26351882	72.53685465	43.05953599
EMR3	55.17004911	124.3420312	379.6236682	63.86912529	64.8769987	3015.993844	89.37299011	63.19960659	89.53763691	104.1704046
EPB41	21.98416943	67.00924563	25.10456886	104.9505198	97.80292842	16.47488638	12.29355102	385.6302551	240.8141851	235.3351386
EPHA1	47.02936831	46.76894576	63.80169822	155.7830488	99.21173158	71.4205995	763.4010715	292.8838925	35.76999194	400.0482873
EPN2	46.90834881	42.21678294	32.43586908	31.97660478	27.97705381	51.26114266	64.62199466	96.20392388	50.11843442	31.50834858
ETS1	988.8726693	792.2524045	85.66933558	759.7185652	696.2669173	243.6131706	287.8283832	1902.189462	1261.517205	613.4935899
ETV3	37.98662268	36.84623894	40.95675962	33.20716288	38.00908858	40.75588852	20.64868683	455.2117491	21.48427937	49.08454024
FAIM3	11191.41447	8362.288551	117.871065	2548.903709	478.4201622	735.0353714	8841.004838	5134.615329	1145.360549	5723.984822
FAM124B	21.67016354	15.40803255	29.15950369	20.02563485	18.188607	19.72983414	17.18073516	20.50088961	16.26784814	14.04816696
FAM174B	117.7226808	92.46718738	39.85052889	40.33600095	37.77736037	103.0050021	137.0201675	104.0881916	92.90928381	94.16937409
FAM198B	9.800664188	16.43893928	515.249292	23.76109791	10.27433459	8.88467942	30.53349636	8.45170015	5.598819437	4.526894401
FAM212B	49.97014577	48.44610942	95.87273144	13.78507742	20.4848163	569.9349175	12.55533168	25.23626149	70.72102235	23.00981627
FAM65B	4719.699579	5267.741473	2428.861545	1586.716996	696.5310083	8329.197426	4454.485846	2808.159439	256.5379971	3376.093302
FASLG	342.8390554	274.6088916	108.383093	1537.723722	2218.049204	250.192653	144.0787779	140.8491762	478.9874938	169.2167794
FBXL8	7.713639432	3.515112115	43.1055926	12.81344642	32.60848091	8.576738645	53.47478762	313.0593206	66.28866703	91.19310135
FCER1A	106.1351171	80.99986492	622.2119019	168.922198	98.18855945	106.8980281	70.33336588	129.667324	64.11513732	111.3010937
FCER2	990.3077473	210.1913338	12.66527557	12.55432737	13.36812571	11.25081202	19.37674145	10.14786303	17.85021806	8.626141867
FCGR2B	3389.8606	4533.908058	287.6388369	119.9451162	181.4820226	1302.127371	8.255798098	30.69853755	59.92126523	65.97309417
FCGR3B	434.6883898	191.9423831	402.4458452	494.7560439	369.6606901	27546.9664	61.46749025	133.7448215	106.4982845	178.1993614
FCN1	160.5487443	92.91123613	29800.42108	465.2336051	121.8089713	5370.355855	144.5883358	98.71765801	63.37271678	130.0754644
FCRL2	4384.737162	3466.953007	47.6563456	54.32604608	49.01458544	116.1844543	34.17485561	55.77947477	79.24179515	73.7221496
FES	8.544430362	8.676013229	826.5409485	211.838797	258.841965	534.5825131	8.032047496	6.024967349	7.843078446	9.520155138
FFAR2	12.83845224	15.54382491	101.05938	73.96615142	13.44126834	4025.755477	11.92870205	15.89364427	16.94262088	11.77579288
FLJ13197	129.5124355	51.64103294	15.24807194	147.0679625	36.95107529	11.65518546	260.3922902	110.1171051	19.8911471	167.3200623
FLT3LG	26.22845437	56.33557728	69.27835254	226.7845957	367.4048158	26.35814025	2489.205564	1471.268235	234.4917711	1267.031752
FLVCR2	69.18049192	86.59482486	566.9712028	140.2531417	88.34055902	108.4609673	90.1471958	145.8719106	242.0193671	83.37381583
FOSB	200.0093028	243.4082578	3422.450435	32.22859594	31.75264764	80.15125244	401.5583963	59.70898915	32.1556293	41.65285438
FOXP3	135.9782583	93.5353139	76.15295297	31.98561018	56.57949837	164.6742962	129.5124355	190.192431	478.810999	65.14694151
FPR1	361.3212533	387.2639146	9800.634834	397.2639649	303.3669097	27644.58995	161.9808797	240.3083941	161.2444569	210.2034137
FPR2	227.4506603	162.9187996	964.2419055	88.1553815	69.04044011	3797.403194	60.78015047	57.00754952	24.31747659	54.91749032
