Gene symbol	B cells naive	B cells memory	Monocytes	NK cells resting	NK cells activated	Neutrophils	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells CD8
ABCB4	555.7134486	10.744235	6.202495893	13.68283856	4.556712661	14.90688846	4.605860048	7.406441697	8.043975587	4.311280198
ABCB9	15.6035437	22.09478724	20.30942573	21.8637228	16.39614273	33.67914681	35.67150717	30.04819243	38.45542286	24.22372293
ACAP1	215.3059512	321.6210208	190.8790244	512.636909	387.5817422	596.0259609	1790.09717	922.1527467	340.8834245	1055.613378
ACHE	15.11794931	16.64884729	16.37526833	16.65373849	13.44126834	22.76649356	27.18773248	18.44492663	13.44126834	13.42828841
ACP5	605.8973843	1935.201479	512.9313823	340.8201368	239.2770679	307.1427978	744.6565995	557.8198203	248.5469318	306.3125193
ADAM28	1943.742699	1148.120138	58.3112027	193.6093922	94.40581808	128.6860657	40.06171311	21.23331069	15.20961988	22.6897181
ADAMDEC1	371.0335929	318.478799	106.301336	68.27758592	48.39924584	185.5059228	80.9645004	47.43351387	30.55297649	44.61628687
ADAMTS3	146.1955683	106.052311	54.79707074	31.43526856	50.81967419	124.3571431	79.24179515	57.38590645	53.41302407	42.39041586
ADRB2	486.3438163	510.0813396	664.8839501	1957.53925	2360.471299	735.6634863	77.15395496	595.2105488	142.8319114	899.6485015
AIF1	24.0742984	20.32185897	8655.680002	105.7345527	23.17042572	6260.640469	718.6147868	35.1722477	39.50876033	742.8158187
AIM2	327.9580556	4538.991046	536.1118999	87.22742351	134.4958651	794.2145572	57.08079673	250.2995803	3311.978393	294.4846139
ALOX15	12.23359461	13.75323798	9.800855372	30.17685432	9.776317635	30.06854621	18.5565618	12.00966261	5.239540575	9.774971658
ALOX5	1799.683549	2425.680554	1979.301155	157.0365044	121.9977952	2917.27138	74.93090365	132.0101224	59.08735916	78.68443963
AMPD1	263.7450621	217.7617272	98.2326067	59.1404365	60.67685001	173.7766404	68.66194527	85.31836726	68.46140597	66.1074899
ANGPT4	23.12217296	21.31255675	16.91869965	9.380755775	26.17664299	34.7186708	22.06014827	44.47513375	99.59399622	44.68465936
ANKRD55	284.4126543	218.9158033	126.1078201	83.38527977	88.45957062	415.2425186	1853.335599	436.4203479	79.77497227	141.6981114
APOBEC3A	102.4291739	89.60068607	2415.197908	253.3068151	132.2193618	5584.333309	107.2355131	52.73721382	57.78231649	64.35533705
APOBEC3G	1283.451966	1135.293933	865.7405246	6314.770723	8895.302228	464.4412542	336.6456997	2340.674986	1540.772502	2090.85254
APOL3	222.6275107	530.3981335	1000.826958	1172.693097	1002.837652	106.4245095	950.7902718	1615.032254	1119.486881	1209.122376
APOL6	17.31182151	11.60650829	11.82068745	12.85527177	370.3966282	19.07117143	11.96227918	8.439383107	57.5171862	8.448971352
AQP9	21.34280658	15.11459289	2044.034835	93.46925864	12.57775597	13705.68672	14.1921014	14.8941249	13.11596785	13.67548268
ARHGAP22	34.63556475	48.31289928	54.80800174	82.42753503	27.39864055	20.41036041	71.86055345	22.63123607	15.45266056	45.01409912
ARRB1	15.93115384	15.19815814	440.2370047	57.39670667	138.9893405	32.74962107	18.71219759	25.18421938	23.05515036	19.09130442
ASGR1	40.87013431	42.49782741	976.7071792	10.82390469	15.2477554	75.07267777	10.8262442	13.27420938	8.195551244	12.18880923
ASGR2	30.26095627	33.90854185	1484.961048	29.55398187	29.87461252	49.90264894	36.87140683	41.82249473	34.46381595	29.78023761
ATHL1	367.9599908	535.7827614	183.2808703	570.547141	277.0846656	1241.008114	5333.944658	794.9480224	231.1788185	806.0999282
ATP8B4	123.6149862	86.80594392	219.3440174	612.7580118	1035.862627	95.69691227	59.88926338	51.01417813	77.34829047	69.79360213
ATXN8OS	19.03486997	17.5814772	10.41544387	10.34693112	9.398323168	15.56008373	11.61080204	12.65987353	12.98839722	12.10850879
AZU1	26.08448842	37.31588708	96.50450872	411.6451897	118.8706557	82.37125482	9.996682874	45.14159359	20.30359339	75.49418368
BACH2	4442.146224	1237.156184	52.1091524	478.0988813	511.1200359	132.7648842	1423.65694	449.1787857	442.4757485	716.5762166
BANK1	7633.960182	9177.359918	86.58724759	33.00482498	37.1948578	39.18510516	39.56449682	35.51276327	4.929861418	27.08870144
BARX2	16.2562128	22.62509146	18.15622799	19.02444933	26.10193827	61.55854792	13.89894647	10.89927471	17.9020085	14.68073716
BCL11B	166.5812991	133.7136259	88.02675109	818.2107999	512.27635	166.8927472	7177.230404	4962.937555	842.2142194	4183.738789
BCL2A1	112.6417383	314.019133	2261.391134	539.9592883	526.5774707	8790.33201	452.9144897	755.8584033	1206.5058	575.0352025
BCL7A	1097.312303	437.9146743	53.33648066	31.50174882	60.22893457	121.2861905	118.1838416	78.52160611	52.25679554	119.2680253
