Mixture	B cells naive	B cells memory	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells CD8	Macrophages M0	Macrophages M1	Macrophages M2	Mast cells resting	Mast cells activated	P-value	Correlation	RMSE
mix_1	0.0471946517304866	0.0335924894567307	0	0	0.013809189506591	0.474343695446318	0	0	0.381208895243401	0	0.049851078616473	9999	0.41222456766913	0.92197530301184
mix_2	0.00918691699909349	0.0539853926934256	0.0928675584051846	0.0385773615722684	0	0.240350354466014	0	0.00150158777737927	0.520495651278532	0	0.043035176808102	9999	0.357793732746734	0.947915627595228
mix_3	0.232369672707587	0	0.227934416462021	0.199055490819708	0.0129343932356186	0.262995355685547	0	0	0.0577751574481724	0	0.00693551364134614	9999	0.729068005214576	0.685911472745225
mix_4	0.338707934856458	0	0.0574657113840258	0.142132663702143	0.0180807898357204	0.299930449689807	0	0	0.136200895510745	0	0.00748155502110078	9999	0.656583563751551	0.755366020238623
mix_5	0.253303329838605	0	0.0352851396057509	0.0414645191901045	0.0296653728567004	0.496189998754108	0	0	0.130085165113672	0	0.0140064746410591	9999	0.642357616226117	0.768193095829369
mix_6	0.233009281561415	0	0.0949405319559238	0.0490824057917378	0.0331000809514391	0.361719367727387	0	0	0.222425481028224	0	0.00572285098387313	9999	0.541596338305796	0.842328948111177
mix_7	0.38629895164159	0	0.0442855749026238	0.0819343869537831	0.0398581310068188	0.341705995063706	0	0	0.101543942709187	0	0.00437301772229132	9999	0.718141557791135	0.698859948800258
mix_8	0.397882175550907	0	0.185890916600014	0.0615687196465312	0.0174059299974045	0.0327902482193059	0	0	0.295794157494243	0	0.00866785249159429	9999	0.57783569069412	0.81637975074676
mix_9	0.104328432124108	0	0	0.0192996261999491	0.0334372079411553	0.557448594220846	0	0	0.259452120229913	0	0.026034019284028	9999	0.500702118953498	0.873375955415144
mix_10	0.494354193252276	0	0.248382998778946	0	0.0163260139033568	0.100783657685565	0	0	0.140153136379855	0	0	9999	0.727440748370639	0.687001557827492
mix_11	0.0518363612086946	0.0392525291379828	0.100026206979662	0.0978398401048345	0	0.177033577086719	0	0.00255604337309092	0.483995093176478	0	0.0474603489325388	9999	0.377222055645377	0.935128816538878
mix_12	0.0215089643077774	0.0182205814368028	0.219917982303685	0.039214623533474	0	0.264658634971242	0	0	0.395880695702061	0	0.0405985177449574	9999	0.424303135668904	0.91350378052868
mix_13	0.477937511007898	0	0	0.0613698272738405	0.0307457462994281	0.319116363852728	0	0	0.0902699644669352	0	0.0205605870991694	9999	0.731217688867378	0.684741694334048
mix_14	0.503337752161887	0	0.203404320541738	0.0257646064026658	0.00199161575146805	0.148591387986641	0	0	0.1169103171556	0	0	9999	0.741453394760878	0.672458594215809
mix_15	0.332698566310484	0	0	0	0.058370967036261	0.511341678858407	0	0	0.068277132469619	0	0.0293116553252291	9999	0.659787438950781	0.754309313608731
mix_16	0.286842484924934	0	0.193406231890266	0.182391312457342	0.0104480245708147	0.213642694117077	0	0	0.111358074149807	0	0.00191117788976042	9999	0.685412736058664	0.729131409529303
mix_17	0.565695308189743	0	0.218623304051245	0.04543868130954	0.0255885309303085	0.144654175519163	0	0	0	0	0	9999	0.803717872862542	0.597834646175422
mix_18	0.0518335523488554	0.0630034594039231	0.117282756433384	0.0347623205835879	0	0.147800682282617	0	0	0.546470132098324	0	0.0388470968493093	9999	0.356457184223516	0.947589626233801
mix_19	0.339974382123909	0	0.104106067848479	0.0503195336969098	0.0203172021969634	0.255748498703984	0	0	0.223025630570794	0	0.00650868485896075	9999	0.597993355683714	0.801839461139752
mix_20	0.156809535480333	0	0.259542424172758	0.0852439194827332	0.0341405252500982	0.443210090065457	0	0	0.015195813507241	0	0.00585769204137929	9999	0.737551621092186	0.676940296506444
mix_21	0.38268440641359	0	0.229772251101775	0.0576109897834625	0.00914854674747738	0.223133847545214	0	0	0.0976499584084809	0	0	9999	0.71362538805619	0.702065312668336
mix_22	0.35230853802276	0	0	0	0.0111685874837345	0.445177631488473	0	0	0.172462605250411	0	0.018882637754621	9999	0.62096006032035	0.786127997806926
mix_23	0.441251840481799	0	0.159289996441336	0.105709563190353	0	0.104944285423197	0	0	0.188804314463315	0	0	9999	0.655310025076844	0.755884956282566
mix_24	0.0571742643749789	0	0	0.0140958432317907	0	0.310000060182275	0	0.00435945866848991	0.559148804069303	0	0.0552215694731622	9999	0.333914496501766	0.963337777232948
mix_25	0.0326113928322816	0.0664267440716075	0.437058429470587	0.0294083530250579	0	0.127233783329396	0	0	0.286076827069053	0	0.0211844702020164	9999	0.528337288543219	0.850223984689007
mix_26	0.0555834087461188	0.01040090501365	0	0.0405390366282922	0.0589646288967038	0.75183707474398	0	0	0.0444780476385222	0	0.0381968983327326	9999	0.642974998954431	0.782189371714664
mix_27	0.41037595777493	0	0	0.00243343347829364	0.0155965285402083	0.270111975167551	0	0	0.273363699049953	0	0.028118405989064	9999	0.53954575037583	0.846555734066591
mix_28	0.237226562121379	0	0.24147025352577	0.0419787098937275	0.0725318398694213	0.366758899543904	0	0	0.0336308998738736	0	0.00640283517192494	9999	0.743322876917169	0.671511263370009
mix_29	0.199931896248546	0	0.0529962060371296	0.0582658142095102	0.0323246263462937	0.409824780455576	0	0	0.22951974115544	0	0.0171369355475045	9999	0.554599227180574	0.833094322271211
mix_30	0.257768091680095	0	0.0932905420348331	0.0790596731452686	0.0303908911451719	0.321774877312647	0	0	0.206851422125631	0	0.0108645025563529	9999	0.588792906843933	0.808535342244712
mix_31	0.173944458330433	0	0.21856006391617	0.126360607026403	0	0.174797694549566	0	0	0.271278751992262	0	0.0350584241851667	9999	0.549951513110378	0.834520906761021
mix_32	0.255109341152588	0	0.112900097640372	0.1451388149549	0.0131040005706256	0.315349422528498	0	0	0.145158356515627	0	0.0132399666373895	9999	0.639827654400265	0.769139644005962
mix_33	0.295393807809961	0	0.0421626246600822	0.153861969060485	0.00222932853715037	0.259445806837864	0	0	0.233172604349279	0	0.0137338587451772	9999	0.560963754917843	0.828613729315847
mix_34	0.0245612722584294	0.0481904919056096	0.100371605018096	0.00519188902521109	0	0.317254204879273	0	0	0.448130527005015	0	0.0563000099083664	9999	0.387038460381331	0.931686058660953
mix_35	0.128524823930577	0.0248850537540174	0.111939290098423	0.0326600807307579	0	0.357075164798627	0	0	0.306129117562871	0	0.0387864691247265	9999	0.485635062355351	0.876394896163631
mix_36	0.404077554827264	0	0.167708633442743	0.184771531279331	0.0211784044308146	0.136350457863509	0	0	0.0859134181563388	0	0	9999	0.735918033611493	0.679425428445539
mix_37	0.403035517662736	0	0.227265326441108	0.186999259393467	0.0110287367076266	0.0563993095859582	0	0	0.115271850209104	0	0	9999	0.716783257481672	0.698497651791894
mix_38	0.174262755787274	0	0.116846709450709	0.0644483846970643	0.0400794921493257	0.547414079561669	0	0	0.043294156858905	0	0.0136544214950521	9999	0.697178689284002	0.719745628398437
mix_39	0.401428488786366	0	0	0.0186735897978625	0.0530206307583994	0.445268717028161	0	0	0.0643770921601809	0	0.0172314814690299	9999	0.713134996273108	0.703812472845069
mix_40	0.304261376769457	0	0.124031051149075	0.189908137538003	0.00497101806128486	0.139414747312807	0	0	0.23355983100508	0	0.00385383816429322	9999	0.578873764817821	0.815302642024844
mix_41	0.0474092084428711	0.0481737477631752	0.0116612786797568	0	0.00250273708720786	0.443444518295602	0	0	0.392104004872165	0	0.0547045048592215	9999	0.429412876820384	0.910095333320121
mix_42	0.378224788529266	0	0.161214781162657	0.171158446444779	0.0325567216751418	0.241124015976082	0	0	0.0157212462120741	0	0	9999	0.76997353807065	0.641370362863673
mix_43	0.0101628754525422	0.0356787792754053	0.0807802206870301	0	0.0683293109248971	0.612548302428954	0	0	0.159513523204143	0	0.0329869880270277	9999	0.599682722320229	0.805481656114372
mix_44	0.0987739447732707	0	0.113146717419657	0.114224124462056	0.04735034735168	0.474983238812283	0	0	0.132550915245687	0	0.0189707119353673	9999	0.645480761897736	0.764872232961549
mix_45	0	0.0654136014388615	0.486299530505991	0.0365365664288154	0	0.114089632681374	0	0	0.275269095407344	0	0.0223915735376133	9999	0.560069187036627	0.829157482445307
mix_46	0.241074072561051	0	0.144298977276273	0.0419586360142655	0.0424975780844526	0.450158741717319	0	0	0.071433686483038	0	0.00857830786360069	9999	0.706241533723996	0.709750380554055
mix_47	0.309029430211747	0	0.214492624150377	0.111068620874618	0.00562741567651475	0.126373614886617	0	0	0.229085829378561	0	0.00432246482156473	9999	0.582287108604605	0.812810503981472
mix_48	0.362910755847295	0	0	0.0398099678307945	0.0206421236436594	0.267205661384582	0	0	0.268508507786195	0	0.0409229835074746	9999	0.500028080495436	0.870951667071301
mix_49	0.330605875860794	0	0	0.00652415918446697	0.0123550866801392	0.403114423672254	0	0	0.23206256610747	0	0.0153378884948757	9999	0.553306906609623	0.836193034051171
mix_50	0.344644058082525	0	0.428763352300502	0.0878878284988496	0.00371711247164564	0.0756986366611448	0	0	0.0592890119853331	0	0	9999	0.75109252498217	0.661461982120763
mix_51	0.321928727870743	0	0	0.00159926050252104	0.0194283325585397	0.319080074070701	0	0	0.301634878733478	0	0.0363287262640169	9999	0.528113613827159	0.85048285407244
mix_52	0.424982827833082	0	0.0155210739215343	0.0504818392137702	0.0439255221004788	0.430193163680067	0	0	0.0307793527534708	0	0.00411622049759662	9999	0.756151403066897	0.658089684544365
mix_53	0.354270113931299	0	0	0	0.00800670641783913	0.303301551005489	0	0	0.298358380352191	0	0.0360632482931824	9999	0.557438639931799	0.831155016177986
mix_54	0.423169517871518	0	0.248452041787963	0.0136565439538293	0.0172924931089435	0.262813801309869	0	0	0.0346156019678775	0	0	9999	0.771693557372899	0.638966410561402
mix_55	0.322453744136525	0	0.0235825272315541	0.0070970023524445	0	0.314373800347886	0	0	0.296012523392727	0	0.0364804025388629	9999	0.555168821601649	0.832292937513826
mix_56	0.218933894024092	0	0.440328748626279	0.123776055724601	0	0.0631600533126989	0	0	0.152911263190555	0	0.000889985121773845	9999	0.652799777362147	0.756936591670953
mix_57	0.0298508487507304	0.00380380090541894	0.0973743389818926	0.148851074344178	0.0128123881990427	0.35429597541858	0	0	0.308513473923509	0	0.044498099476648	9999	0.477908174347815	0.884332955137822
mix_58	0.272565483786312	0	0.0283010842671734	0.0683152644013868	0.0337142141247669	0.472390623665665	0	0	0.107061779756887	0	0.0176515499978089	9999	0.661224998283337	0.751930846318067
mix_59	0.0245518256853104	0.0324398186628584	0.0933596778375129	0	0.00791087469028294	0.415105866924171	0	0	0.376832517920359	0	0.0497994182795058	9999	0.432333018697073	0.909555789776813
