CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
A	4.93195460337513e-15	3.74502001642878e-27	2.67310861388735e-122	3.46364209376761e-43	1.28172848907497e-128	0.999999999999994	2.68309470963456e-121	9.36517238056148e-16
B	5.01168983228886e-15	3.72643045501796e-27	2.63178450410365e-122	3.50732841542045e-43	1.29111933625304e-128	0.999999999999994	2.72961567183467e-121	9.27819301581836e-16
C	2.89213841642655e-15	2.35974095608574e-27	8.26650840629081e-123	2.21080093143303e-43	6.77648289731363e-129	0.999999999999996	2.64709856983325e-121	8.59898258371055e-16
D	2.8101929686989e-15	2.31474216975163e-27	8.16775337875917e-123	2.20185492934201e-43	6.64973701765765e-129	0.999999999999996	2.59401379660677e-121	8.25363125162122e-16
E	3.36581036817708e-15	2.7925960755072e-27	1.2754822785403e-122	3.36607522796597e-43	8.85612433569093e-129	0.999999999999996	2.79473091020133e-121	1.0929927530081e-15
F	4.14566862009292e-15	3.25832191913439e-27	1.94720595173156e-122	6.19240990298825e-43	1.27603360690873e-128	0.999999999999995	2.72443722454052e-121	1.01393259989667e-15
G	5.67308042387772e-15	4.42103323584726e-27	3.97957253029871e-122	3.34670092620589e-43	2.53696291500499e-128	0.999999999999993	2.74706899712305e-121	8.40517930002217e-16
H	5.68337676880413e-15	4.64751351361436e-27	5.55884261361668e-122	2.75397778128068e-43	1.94231601200294e-128	0.999999999999994	2.84942894976528e-121	7.85614660082793e-16
I	5.58720189677027e-15	4.81675709619e-27	5.63454692154954e-122	2.8010777788229e-43	1.95082302542049e-128	0.999999999999994	2.82794964822179e-121	7.67282718461595e-16
J	2.56725211868388e-15	2.31069597721697e-27	5.11430032161625e-123	1.69166291259273e-43	5.31339677616955e-129	0.999999999999997	2.56545626024779e-121	7.13672081036311e-16
K	3.06572417583412e-15	2.5352067864849e-27	5.79888835153095e-123	2.65885028830678e-43	6.22157207679239e-129	0.999999999999996	2.83372663105175e-121	1.08735132905349e-15
L	2.25314114036521e-15	1.99671641192091e-27	6.32836459422754e-123	1.62732585136114e-43	5.45655349200136e-129	0.999999999999997	2.2419123414288e-121	6.92135052317335e-16
