Gene,B cells naive,B cells memory,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells CD8,Macrophages M0,Macrophages M1,Macrophages M2,Mast cells resting,Mast cells activated
mix_1,367.565483871,158.830833333,233.794,598.663125,55.2008333333,409.655,155.139583333,176.710172414,1110.135,43.8217857143,255.870625
mix_2,296.854032258,161.96125,193.507,519.1196875,39.4933333333,382.08875,184.5375,192.599310345,1269.6090625,47.4903571429,297.013125
mix_3,854.214193548,172.575416667,538.44575,1063.66125,78.0066666667,736.63,60.4716666667,166.15637931,396.44125,27.9278571429,80.054375
mix_4,895.082258065,231.55625,371.357,798.291875,59.9666666667,595.238125,89.295,174.090862069,693.60375,32.1060714286,152.154375
mix_5,735.230645161,180.633333333,396.124,807.905,63.7716666667,797.274375,79.10875,165.177586207,616.499375,33.5717857143,130.5475
mix_6,628.905806452,196.141666667,327.348,707.8475,50.3525,638.670625,118.001666667,176.92,880.1365625,35.2278571429,196.361875
mix_7,1115.81774194,259.277083333,400.0695,821.2765625,66.065,618.958125,63.3395833333,171.886206897,520.3575,30.0017857143,107.12
mix_8,901.359516129,278.772916667,259.995,617.2853125,40.4683333333,353.636875,139.8225,194.867068966,1010.284375,37.6560714286,225.760625
mix_9,444.375967742,148.465833333,316.40425,704.863125,70.4533333333,515.498125,123.667916667,166.422068966,890.4934375,40.1575,206.095625
mix_10,1228.4,314.515833333,376.9275,768.9296875,46.29,717.261875,82.6,191.817931034,631.563125,29.9717857143,144.564375
mix_11,383.602096774,173.395416667,209.7655,576.8659375,36.1116666667,288.9775,170.824166667,189.733448276,1200.4665625,44.0664285714,285.9825
mix_12,317.207741935,140.150833333,298.0305,671.3921875,54.3175,585.916875,152.512083333,181.842241379,1048.0496875,37.3071428571,248.39625
mix_13,1354.07354839,321.51875,318.51675,705.89,60.0041666667,504.0325,71.3983333333,176.376034483,524.5821875,31.0032142857,104.708125
mix_14,1334.38225806,331.908333333,368.18825,729.864375,45.2975,772.790625,75.3079166667,188.199137931,562.9884375,28.5164285714,126.60375
mix_15,1179.52177419,253.328333333,358.06525,765.7428125,85.6516666667,747.71125,40.2445833333,161.966034483,332.0396875,35.1671428571,66.6
mix_16,843.654032258,203.941666667,449.191,908.679375,63.4841666667,675.756875,79.0733333333,172.897413793,601.4509375,28.9271428571,126.9375
mix_17,1894.15274194,391.3325,499.5305,897.845625,60.6958333333,948.9525,18.3020833333,190.047068966,158.0209375,24.4310714286,26.485
mix_18,355.13,187.7575,171.08925,476.81375,37.1775,321.036875,192.6425,196.834310345,1277.2359375,49.3728571429,309.869375
mix_19,821.140806452,241.405416667,306.11475,662.0471875,50.2308333333,616.133125,114.80625,181.874655172,844.2596875,35.3267857143,194.03375
mix_20,683.692580645,103.579583333,647.50625,1139.751875,89.8766666667,1435.0575,20.2525,157.074655172,148.8925,25.1146428571,33.14375
mix_21,1009.99903226,243.567083333,439.232,856.415625,55.1291666667,906.515625,68.6691666667,177.377931034,545.961875,28.9567857143,109.4275
mix_22,950.290806452,258.8525,271.05,624.3296875,56.6666666667,530.73,102.73,173.739310345,759.5675,37.3975,168.75375
mix_23,1002.51564516,285.8675,310.746,687.0471875,41.7991666667,467.119375,113.389583333,189.734137931,828.07125,35.9982142857,192.559375
mix_24,265.087580645,169.001666667,134.94675,440.7053125,42.79,243.04,197.396666667,193.958793103,1394.683125,51.8796428571,319.845625
mix_25,440.531774194,137.494583333,412.3725,834.1196875,51.4141666667,692.67625,123.792083333,179.854310345,888.0696875,33.2917857143,200.580625
mix_26,546.991612903,69.3379166667,589.9155,1130.453125,113.0925,892.350625,26.49,140.726896552,182.411875,29.7739285714,50.884375
mix_27,928.493548387,307.74375,112.367,414.653125,42.4616666667,162.77375,154.589166667,188.384137931,1102.58625,46.2939285714,251.715625
mix_28,923.058548387,157.212916667,612.555,1090.5065625,88.2883333333,1121.54625,25.4966666667,162.133275862,180.178125,22.7392857143,41.050625
mix_29,617.121290323,177.219583333,343.26125,733.7503125,59.7483333333,552.603125,115.08375,171.727413793,833.1340625,38.4010714286,188.840625
mix_30,721.755322581,206.706666667,338.764,723.70375,53.7425,594.73,108.6625,175.487758621,794.83375,34.7589285714,179.29375
mix_31,589.919193548,181.068333333,356.8145,796.4565625,59.415,478.926875,119.34875,181.359827586,886.056875,34.1678571429,198.211875
mix_32,749.467741935,190.14625,409.669,853.378125,58.815,680.950625,91.0729166667,172.106896552,683.6246875,32.1675,148.6275
mix_33,733.813709677,224.970416667,293.7625,676.3178125,54.9233333333,376.87,128.99875,180.744137931,932.1159375,35.29,211.04125
mix_34,319.844032258,152.071666667,233.76025,584.560625,47.3575,382.7725,166.81,183.356206897,1162.7984375,45.3646428571,279.296875
mix_35,536.877096774,177.407916667,302.1645,659.76125,52.0308333333,666.673125,131.829583333,174.719655172,952.25875,37.8582142857,215.73125
mix_36,1162.11354839,273.707916667,429.91025,904.820625,62.3591666667,460.43875,71.0233333333,180.475862069,536.7459375,28.8714285714,114.259375
mix_37,1083.84322581,274.1325,424.128,880.628125,57.5033333333,521.53,78.9629166667,180.419310345,595.823125,28.1478571429,137.408125
mix_38,693.92016129,118.547083333,573.322,1147.6215625,93.985,734.11,37.6829166667,151.780862069,288.75875,28.4714285714,57.63875
mix_39,1265.96935484,267.784583333,396.16275,801.2290625,65.08,791.090625,40.7954166667,165.269482759,337.0153125,29.91,81.580625
mix_40,756.696935484,229.66125,317.6165,709.7871875,51.2891666667,337.574375,126.50125,184.493793103,926.9175,35.9532142857,206.4925
mix_41,407.887258065,160.262916667,253.112,608.59625,50.7166666667,517.625,149.272083333,178.841034483,1066.0009375,43.1382142857,244.5125
mix_42,1350.06306452,270.810833333,530.40725,994.7521875,73.2225,906.888125,29.94125,176.723965517,209.39125,26.555,48.13375
mix_43,394.929354839,98.9425,443.90775,909.1521875,86.53,849.996875,79.5616666667,153.980689655,608.7834375,31.6189285714,132.7475
mix_44,544.789193548,120.71,476.8465,990.77875,81.7975,598.31875,77.38,159.722931034,550.99125,30.8067857143,133.63625
