naive_B_cell,memory_B_cell,CD14_positive_monocyte,CD16_positive_monocyte,CD56dim_natural_killer_cell,CD56bright_natural_killer_cell,neutrophil,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell,macrophage_m0,macrophage_m1,macrophage_m2,MAST_cell,basophil,eosinophil,gamma_delta_T_cell,hematopoietic_progenitor,myeloid_dendritic_cell,plasma_cell,plasmacytoid_dendritic_cell
A,0.0774849439994109,0,0.250914509513686,0,0,0.230204866457729,0.109746477579247,0.172231412536308,0.050721228037772,0,0.00334413153063035,0.0121532565388704,0,0,0,0.0172480446402399,0,0.0524150685963543,0.0235360605697514,0
B,0.087032011370978,0,0.246431998174852,0,0,0.227335679033316,0.122287186081733,0.182829594018742,0.0489103499851264,0,0.0116069252395036,0,0,0,0,0.00981932128726485,0,0.0386042601843191,0.0251426746241634,0
C,0.0224628414858587,0,0.120599960143773,0,0,0.249682173503518,0.0333224958031517,0.413323822801518,0.0278724525527106,0,0.00420491310579483,0,0.0678651164526453,0,0,0.0130694810784472,0.00621578703960729,0,0.023484656939354,0.0178962990936211
D,0.035637745466755,0,0.125116103394354,0,0,0.256393516584249,0.0298865436193531,0.402999643020675,0.0268154794225605,0,0,0,0.0606170364146444,0,0,0.0244140602593589,0,0,0.022591572560281,0.0155282992577698
E,0.0205492984534142,0,0.169736879809069,0,0,0.30122641673435,0.0548688888271724,0.22923790184947,0.119847667426094,0,0.0020034914646852,0,0,0,0,0.01939628411111,0.0287279549148972,0.032742505104869,0.0216627113048692,0
F,0.0516022824511004,0,0.15762051210005,0.0185861020002773,0,0.422334945118677,0.102197188016187,0.0595805306383718,0.024153842726468,0,0,0,0,0.00548521897181518,0,0.0168253546207766,0,0.105723125230175,0.0358908981261014,0
G,0.0856687824681902,0,0.209074042736181,0,0,0.13281570095077,0.32053192059457,0.131516382239949,0.00167068429786742,0,0.0033164793875058,0.0329269307367743,0,0,0,0.00248467198724342,0,0.0533293630112099,0.0266650415897388,0
H,0.070593435278038,0,0.3732138021351,0,0,0.126508934937035,0.0883981514369665,0.108102123758425,0,0,0.0186270248929408,0.0523908446112317,0,0.00546865196564282,0,0.0282890759116205,0,0.112748456537991,0.0156594985350089,0
I,0.0692558242599546,0,0.378067964988341,0,0,0.120533839404136,0.0959416992074944,0.120187593016351,0,0,0.0195987774342538,0.0370052270729011,0,0,0,0.0192812283328552,0,0.121686944468886,0.0184409018148266,0
J,0.0180361857325512,0.0218023819428831,0.00106046400088473,0,0,0.185184304677592,0,0.506572879781342,0,0,0.018982464928716,0,0.0964900171614779,0.00313581279515646,0,0.0273643669633338,0,0,0.0386699282637173,0.0827011937523446
K,0.0416887217664344,0,0,0,0,0.326979560306211,0,0.258159446427301,0.144846715564405,0,0,0,0.0611892484313286,0,0,0.0348812517105274,0.0657875189021031,0,0.0347137185898322,0.0317538183018568
L,0,0,0.066564993097271,0,0,0.140316080841217,0.0314041982959459,0.472320377537149,0,0,0.0070713005491033,0,0.0639646205495152,0.0564329899696212,0.0391871191535571,0.0456055700517784,0.0226806591507675,0,0.0246450498437271,0.029807040960347
