naive_B_cell	memory_B_cell	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell
S10001	1.30969969170309e-123	2.51168802164648e-24	1.25936266930945e-18	0	1	1.26132317350872e-202	6.84575790479499e-103	1.85363639815039e-58
S10006	1.29845952722611e-123	1.79975094680792e-24	1.07850570499409e-18	0	1	1.23652776460684e-202	7.45314988723477e-103	1.51792265253255e-58
S1001	8.06796117313381e-124	1.30585732262808e-24	8.73230125648696e-19	0	1	1.29897887364418e-202	8.93613061663106e-103	1.5221898216451e-58
S10010	7.42316347707937e-124	1.62425402164735e-24	8.11866154929966e-19	0	1	1.38742325107982e-202	9.23853187636903e-103	1.55178456186869e-58
S10011	1.20594243794207e-123	2.04352129487646e-24	1.64113487252516e-18	0	1	1.57102336138639e-202	8.0230100627072e-103	1.6130970940421e-58
S10014	1.02395409995399e-123	1.818560947518e-24	1.27786356252028e-18	0	1	1.38091830005392e-202	1.09324911346364e-102	1.84254298739475e-58
S10026	6.98083272051023e-124	1.5365740317579e-24	8.24421370626297e-19	0	1	9.68572065880383e-203	7.21918982801916e-103	1.39406060169286e-58
S10032	1.47014254562315e-123	2.08403177919242e-24	9.00322517658006e-19	0	1	2.40406288440103e-202	1.20631123492616e-102	1.52285468079823e-58
S10036	8.7524635046838e-124	2.68320499051301e-24	1.34172946496093e-18	0	1	1.27300489544051e-202	1.06334924523631e-102	1.8329066083631e-58
S10042	1.05841913273627e-123	1.51199909631619e-24	9.15412443350061e-19	0	1	1.13171024954157e-202	6.44751670859718e-103	1.46343460450536e-58
S10044	9.67119484493203e-124	1.78860805368482e-24	1.0673059609991e-18	0	1	1.35795402264976e-202	9.58530013799983e-103	1.58794756926232e-58
S10049	1.3218661012921e-123	2.21590691321467e-24	1.12485091901238e-18	0	1	1.37141128655809e-202	1.04118192986287e-102	1.82380094544587e-58
S10057	9.94539823654838e-124	2.3160995710093e-24	1.12492889043894e-18	0	1	1.09102031657837e-202	8.39589198832703e-103	1.79119608306943e-58
S10062	1.00544631081224e-123	1.99786247528315e-24	9.13447556919185e-19	0	1	1.31180623192421e-202	9.81197533110843e-103	1.78578485289525e-58
S10066	8.42475154933414e-124	1.79810501007241e-24	1.32593845073815e-18	0	1	1.83088515728907e-202	8.36750170606174e-103	1.65213122178798e-58
S10067	1.14602700973408e-123	1.86546756648944e-24	1.18498911582741e-18	0	1	1.20547463984207e-202	9.58197870171127e-103	1.5745213045804e-58
S1007	1.4059312478158e-123	2.27410249275235e-24	1.00579327196863e-18	0	1	1.34662171458072e-202	8.70704757822611e-103	1.93659634732877e-58
S10073	1.10389354114258e-123	1.89014547708155e-24	1.23014962884384e-18	0	1	1.53167615780394e-202	8.97772729121069e-103	1.51610878908088e-58
S10077	1.91500883237968e-123	2.98472347635748e-24	1.40447778774561e-18	0	1	2.1459919048052e-202	1.17994709764934e-102	2.45819315003882e-58
S10080	1.49651428082625e-123	1.99456933803252e-24	1.00104984242726e-18	0	1	1.37029954727546e-202	8.34337027741858e-103	1.79275492194401e-58
S10082	1.39350776944001e-123	2.33385879614126e-24	1.30111980390208e-18	0	1	1.57645206254964e-202	1.09149751455558e-102	1.81487260082876e-58
S10087	1.33659839430205e-123	1.79022047926542e-24	8.94326671922069e-19	0	1	1.36607305085653e-202	8.47016617225204e-103	1.58105579235142e-58
S10089	1.33687636102445e-123	2.86877988435393e-24	9.27277984567172e-19	0	1	1.43639376978293e-202	9.28707062866439e-103	2.38078654544094e-58
S1009	2.0177480574861e-123	2.96086205421159e-24	1.32689462865689e-18	0	1	1.26943040275885e-202	9.18791137033963e-103	1.92264616280474e-58
S10090	1.06119592898313e-123	1.98224773510915e-24	9.55861705050111e-19	0	1	1.47534391768723e-202	7.72975992433863e-103	1.6621358234063e-58
S10093	6.37550287663636e-124	1.5993185011186e-24	5.02255655072721e-19	0	1	9.76971219180088e-203	6.38938440878406e-103	1.30808680211195e-58
S10094	1.04897554624223e-123	1.76672473422676e-24	1.19243762949401e-18	0	1	1.6004467028787e-202	1.07848206023211e-102	1.72743123144156e-58
S1010	1.28312884557998e-123	2.53350956795367e-24	1.54186217236931e-18	0	1	1.72646126631034e-202	8.98191834597268e-103	1.95296118830951e-58
S10111	1.09138570020231e-123	2.19535960710347e-24	1.52055058064614e-18	0	1	1.45033680269906e-202	1.04597534455881e-102	1.73797614286608e-58
S10116	1.29288687355558e-123	2.87949791479144e-24	1.89665043867285e-18	0	1	1.55600637084824e-202	8.03800202061301e-103	1.71626018085812e-58
S10119	9.11387220401957e-124	1.64850387392817e-24	9.30123252212889e-19	0	1	1.01335380417964e-202	6.5966959313044e-103	1.45065884631356e-58
S10121	1.21718718190465e-123	1.94463214862578e-24	8.55555771184154e-19	0	1	1.54809567351744e-202	9.50805516294866e-103	2.14339579320735e-58
S10130	1.09017598566089e-123	2.11177667893492e-24	6.73753985921901e-19	0	1	1.21937169897748e-202	9.72508104767209e-103	1.70835556494275e-58
S10140	1.45263379178404e-123	1.97440407513045e-24	5.88801726969442e-19	0	1	1.64782682559371e-202	8.61233003698241e-103	1.33059201255452e-58
S10142	1.22652024403283e-123	2.08452298092652e-24	8.48127934872402e-19	0	1	1.23212443744299e-202	7.99706311121072e-103	1.68782845203464e-58
S10150	1.56268397249325e-123	2.88925447595903e-24	9.82911758025814e-19	0	1	1.68908816469829e-202	9.34384887134436e-103	1.66632900453814e-58
S10155	1.21009561536384e-123	1.95520147318503e-24	1.47391549110241e-18	0	1	1.49210386758065e-202	9.3166003418306e-103	1.87357441294088e-58
S1016	8.68869279301216e-124	2.34999433227405e-24	1.25274589293599e-18	0	1	1.29250628921838e-202	9.4016258868893e-103	1.73632050622927e-58
S10163	1.84138467671855e-123	2.79730444312224e-24	1.45253588703498e-18	0	1	1.63357719805655e-202	6.64371540086943e-103	1.73205924529602e-58
