Mixture	CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell	P-value	Correlation	RMSE
S10001	0.273933071406465	0	0.0549417727911032	0.180658722263881	0.112953236795939	0.287407640151277	0	0.0901055565913346	9999	0.328680231759698	0.952675907795039
S10006	0.286640806780332	0	0.05018002992289	0.0654871446977683	0.113852237090741	0.338562650638709	0	0.14527713086956	9999	0.329281363274135	0.951828822741672
S1001	0.319087617293456	0	0.0694993491773463	0.0575583993455405	0.0806929487804202	0.263458898132365	0	0.209702787270873	9999	0.352487858853676	0.938051373355912
S10010	0.266785569026327	0	0.0836343337319927	0.0968896062843156	0.122729714888939	0.286779894433309	0	0.143180881635116	9999	0.372180229619386	0.934790503344131
S10011	0.134481426547469	0.0754579218835852	0.0509915627830847	0.0804642744766866	0.101758607959187	0.307091889826689	0	0.249754316523298	9999	0.363658191621435	0.934721491907352
S10014	0.272960645357459	0	0.0567489568660747	0.147819261782831	0.098978193255433	0.215465022622986	0	0.208027920115217	9999	0.353213916491734	0.939321608421076
S10026	0.388493479946981	0	0.0507858063412048	0.0328894796997771	0.0852170955964371	0.299904630760996	0	0.142709507654605	9999	0.341086242962299	0.942291458541222
S10032	0.331630978548549	0	0.0751832698548941	0.0835839602765246	0.0912892879269351	0.288562839982725	0	0.129749663410373	9999	0.354056622511424	0.938480928203669
S10036	0.324494264031265	0	0.0565992150659849	0.0311538914738955	0.113271153200361	0.388666799821683	0	0.0858146764068113	9999	0.357982370157514	0.93809667087458
S10042	0.258624163885696	0	0.0585977296432364	0.112193699893327	0.105310094839266	0.299394126096135	0	0.16588018564234	9999	0.361773578447923	0.936103691766835
S10044	0.350187178563045	0	0.0467571340475719	0.0355736752272957	0.0929652526741735	0.297983194676395	0	0.176533564811519	9999	0.345560616073376	0.941064722099516
S10049	0.418896811241905	0	0.0366444646316589	0.0253729205989569	0.0774778090957145	0.22112927237503	0	0.220478722056735	9999	0.33973287894763	0.941779824318581
S10057	0.13912643499497	0.0627407310862982	0.0411967990898564	0.233867193759581	0.107418470406223	0.10912175556525	0	0.306528615097822	9999	0.360537168381477	0.936788995680387
S10062	0.31235248334662	0	0.0658515068858087	0.0816349714388537	0.0942172985702329	0.290736172478672	0	0.155207567279813	9999	0.355198496801633	0.937937801579279
S10066	0.187495901585315	0	0.0849672729201935	0.103859134532178	0.118679470222808	0.435174145616583	0	0.0698240751229231	9999	0.36760016952662	0.937289761633381
S10067	0.399149121040076	0	0.0296383109923995	0.0450203409097926	0.0746363682328541	0.17384221807852	0	0.277713640746358	9999	0.361009205459759	0.932864451266662
S1007	0.194484848349387	0.0259898117111267	0.0406634876625844	0.151521161087315	0.1172213427524	0.442042822204547	0	0.0280765262326396	9999	0.337110032122917	0.948652603305985
S10073	0.250339921824982	0	0.0353084074732	0.10696884578439	0.0847792041017383	0.212882873645547	0	0.309720747170143	9999	0.358326404218533	0.935057087485982
S10077	0.207646979011092	0.073919786808939	0.0390967164461644	0.243916735950193	0.0975557303155323	0.167707046434925	0	0.170157005033154	9999	0.347220883825424	0.941091055334164
S10080	0.135895323702169	0.0928828703354697	0.0465819824289682	0.203285324829932	0.106355233339516	0.270022862387274	0	0.144976402976672	9999	0.362653858070879	0.935458942908123
S10082	0.33948841615692	0	0.0318907199181912	0.0534163964493767	0.0936480655238177	0.326394116643577	0	0.155162285308117	9999	0.356743788607223	0.935735481649757
S10087	0.38533235731628	0	0.0461856000312819	0.0503930349169466	0.0762508667133074	0.214754882165853	0	0.227083258856331	9999	0.348374746853545	0.938495813522681
S10089	0.319892919849365	0	0.0644774039670043	0.135250926781553	0.12280019993048	0.206669090979543	0	0.150909458492055	9999	0.381040716388265	0.928691141706939
S1009	0.238237706620152	0.0811025821386472	0.047739473028162	0.105652616723858	0.090145309153619	0.217820980379314	0	0.219301331956248	9999	0.373439366763259	0.928643689975608
S10090	0.319935398256717	0	0.0548736218266434	0.136725239025986	0.119840316810597	0.142758741404214	0	0.225866682675842	9999	0.347081208214209	0.944580006897254
S10093	0.0440436114142842	0.153494128048124	0.0494616186714279	0.1095244357488	0.127310009197209	0.323375855924652	0	0.192790340995504	9999	0.342248760708313	0.948664853621437
S10094	0.282190313388197	0	0.0552701892754026	0.0969515797752496	0.0972654782905976	0.278456812674902	0	0.189865626595652	9999	0.339377240591718	0.945250209556728
S1010	0.17252228653951	0.070184258288972	0.058701993611423	0.164653312165807	0.0855757147798084	0.220698997408862	0	0.227663437205617	9999	0.347438173323257	0.940824428833792
S10111	0.3282563250034	0	0.0470831820045223	0.026497012399179	0.0786260401315202	0.197806137848799	0	0.321731302612579	9999	0.345633233222832	0.940076770488962
S10116	0.13986399981713	0.10620409216753	0.0395836104335826	0.190691232442034	0.0678074858272965	0.0133002279143499	0	0.442549351398077	9999	0.364099465616114	0.931900695440665
S10119	0.347548932438191	0	0.0304619820723797	0.0755808063273831	0.0994158832731825	0.241212107591947	0	0.205780288296917	9999	0.374815966190346	0.928045147050493
S10121	0.372442917710253	0	0.059237337044399	0.0909190512571204	0.0943974179438232	0.115408385387841	0	0.267594890656564	9999	0.372310368948468	0.929615868072988
S10130	0.237143097815213	0	0.0521663955337531	0.156114739919663	0.134165996666004	0.348598007724667	0	0.0718117623407	9999	0.373622925610104	0.933918705272853
S10140	0.31709614640628	0	0.0706339638240551	0.0730709763336986	0.11461219396695	0.24461005551572	0	0.179976663953296	9999	0.36300404143278	0.936883113784971
S10142	0.402990017862866	0	0.0567879501962152	0.086359318420178	0.0679574459230131	0.0194561522934066	0	0.366449115304321	9999	0.351542299492581	0.937012303097677
S10150	0.124895168282058	0.0778452546931384	0.0472071357098706	0.260256182834092	0.152723905596328	0.261060403916531	0	0.0760119489679825	9999	0.376470266585011	0.935927751115234
S10155	0.274759886022306	0	0.0473626969440765	0.137164626273114	0.0954003284845957	0.282202465480093	0	0.163109996795814	9999	0.374136131714966	0.928880438078019
S1016	0.32043515795034	0	0.0704117641155998	0.0647180688269987	0.106084824533974	0.179118658439142	0	0.259231526133946	9999	0.36135536863544	0.936603738297756
S10163	0.0638447714374464	0.14153717377523	0.0659989914701872	0.287150488653502	0.089431481031635	0.139012011801774	0	0.213025081830225	9999	0.335458929586341	0.947616805804141
S10167	0.205081399137351	0.0100973868917524	0.0464159603195026	0.147572001650658	0.0991171438852935	0.13172441012363	0	0.359991697991813	9999	0.346794530763485	0.94234295957388
S10168	0.357088838587618	0	0.0435159734491078	0.109401951861678	0.0732443475981965	0.221413390708454	0	0.195335497794945	9999	0.356021610897982	0.935197787127789
S10173	0.308358359209956	0	0.0271798602207048	0.0689162752360331	0.0842208713491644	0.327262246742787	0	0.184062387241354	9999	0.375785379909905	0.927035556717952
S10175	0.323647754080051	0	0.0485351351667644	0.0922229456624594	0.108136617131982	0.276736957603419	0	0.150720590355324	9999	0.3523077176913	0.939871944719275
S10179	0.322093117978924	0	0.0306295655562604	0.0784309417637923	0.0634900340318771	0.146713422397806	0	0.358642918271341	9999	0.339107464798427	0.941595128438876
S10186	0.430478925721475	0	0.0397343578378763	0.056255580855456	0.0544653699383833	0.127914420825701	0	0.291151344821108	9999	0.35151548092084	0.93632403071422
S1019	0.344446699653837	0	0.0404069102635689	0.120696488620719	0.0864274382356017	0.23338485262165	0	0.174637610604623	9999	0.363676815273816	0.932536121622149
S10190	0.383440272268614	0	0.040689581068447	0.0167914387306312	0.0829571497806557	0.303543914857935	0	0.172577643293717	9999	0.371217477578219	0.928972525446157
S10195	0.256324863682438	0	0.0457457414010706	0.074072501770743	0.133183872436652	0.361418491858896	0	0.129254528850201	9999	0.313415465936345	0.963177500452194
S10196	0.257558347328386	0	0.0441799902913957	0.100464773958339	0.0905182216659649	0.315518561339373	0	0.191760105416542	9999	0.351262268598458	0.938816395852051
S10200	0.280265595019229	0	0.0732972796565778	0.125624682647762	0.0992854434683279	0.163970667945209	0	0.257556331262894	9999	0.36963446479154	0.932384885659966
S10201	0.245007161256264	0	0.071137553533273	0.206626537844018	0.151725835259561	0.249932480622025	0	0.0755704314848586	9999	0.330628313329915	0.962411655679726
S10202	0.220514985764454	0	0.0693469781208256	0.215039603512805	0.0887863335810462	0.134178402567043	0	0.272133696453827	9999	0.362680863676168	0.934972646874122
S10205	0.385288135947976	0	0.045647878926609	0.107008333453214	0.0787763833046224	0.283953609515161	0	0.0993256588524183	9999	0.332166604840893	0.945443193872542
S10211	0.270647677104191	0	0.0601355660823824	0.0351984131521593	0.109114393620917	0.282509638690184	0	0.242394311350166	9999	0.339543291280262	0.947119936640116
S10221	0.285711418969312	0	0.0547817394510268	0.0829755525373375	0.0998979841442538	0.30812697317074	0	0.16850633172733	9999	0.360249004475112	0.935835157189485
S10222	0.273093756502098	0	0.0692522496564303	0.0644987154247336	0.121532681570656	0.292260688326151	0	0.179361908519932	9999	0.34930884839851	0.945009007999011
S10226	0.361464204564807	0	0.0421472102529219	0.0662449634309519	0.0953469343875038	0.255220028363935	0	0.179576658999881	9999	0.362198479652819	0.933679722692466
S10227	0.242550904672671	0	0.0481482242118286	0.0878694969638934	0.108957823580699	0.357937019599759	0	0.154536530971149	9999	0.338867200032704	0.94689258697616
S10228	0.277271522773775	0	0.0628150523389657	0.117288181327234	0.108538624059191	0.313806256000182	0	0.120280363500652	9999	0.372808078233408	0.931221116642513
S10232	0.230222132961455	0.0155974554709545	0.0321568538815372	0.0388341517586302	0.0843613812056318	0.104601451079427	0	0.494226573642364	9999	0.364985139918955	0.932063922900631
S10248	0.400554669253487	0	0.0354043902320529	0.0202843455295585	0.0872630980024875	0.309417263375932	0	0.147076233606482	9999	0.355426919850584	0.935757620408691
S10249	0.243736405483343	0.0172788230639097	0.0888549548080432	0.150103719593128	0.108432545716265	0.246616414150651	0	0.14497713718466	9999	0.369433230225223	0.934566880426594
S1025	0.353848926618988	0	0.0576388085646211	0.100500618115597	0.069389210952925	0.155310728797381	0	0.263311706950488	9999	0.356796143807333	0.935013419214248
S10266	0.169539740246536	0.104656882058068	0.0413221219380138	0.220521229919327	0.115312783321008	0.237971608691555	0	0.110675633825491	9999	0.340173957382095	0.946604538045817
S10269	0.374389408346398	0	0.062039039168956	0.0971463057390171	0.0965133672418506	0.118028289612079	0	0.251883589891699	9999	0.362774763121161	0.934245216170583
S10272	0.328096619997305	0	0.0537912639538729	0.103668243921742	0.11077727656875	0.314304268268907	0	0.089362327289423	9999	0.342515803513864	0.945031114424536
S10273	0.345987430794576	0	0.0631748651943752	0.153288874841172	0.0872734817498536	0.179396448008758	0	0.170878899411265	9999	0.354055053888777	0.937604809368325
S10274	0.292555297467299	0	0.0466275053994208	0.103645532744926	0.102730151827224	0.320584648107947	0	0.133856864453183	9999	0.349999172763308	0.940448896249684
S1028	0.393235411569755	0	0.0411801225567097	0.0250204688530111	0.0980252969113501	0.298626103252324	0	0.14391259685685	9999	0.372286226218595	0.929154727047692
S10280	0.424173411311915	0	0.0317215400864251	0.0586763811461501	0.0812133694841299	0.025207285612602	0	0.379008012358778	9999	0.307057170875103	0.955402462858982
S10283	0.359195556566457	0	0.0455913081823988	0.0465573288179736	0.0700990670435303	0.135114744682144	0	0.343441994707496	9999	0.359021092287585	0.933858849931762
S1029	0.317025145314449	0	0.0567609020217013	0.118904785249166	0.0937102624160574	0.22258117725016	0	0.191017727748467	9999	0.347323303719203	0.9411011015538
S10292	0.342292840838988	0	0.0100337402786868	0.0618746890159948	0.0960221330115845	0.312955515772131	0	0.176821081082615	9999	0.342325217725025	0.941484306122695
S10294	0.383639838370567	0	0.0122592804080366	0.0339952629867988	0.078365827695674	0.171932015691028	0	0.319807774847896	9999	0.349422406758802	0.937514209733364
S10302	0.279502846332193	0	0.0445293657999968	0.0495357965490314	0.0954406451650709	0.251060046231317	0	0.279931299922392	9999	0.354914306219888	0.937488109575296
S10303	0.261321817622057	0	0.0495848452549937	0.171222729953193	0.0927856223042146	0.206795846025901	0	0.218289138839641	9999	0.385385375465458	0.923710733146431
S10323	0.236760018055205	0	0.0580997263978328	0.158738894224544	0.0996028429083685	0.271655566666276	0	0.175142951747773	9999	0.341353626142702	0.945274500550826
S10326	0.358272022826149	0	0.059998713930558	0.132916943918931	0.07907477680675	0.218674613482486	0	0.151062929035127	9999	0.340191141509862	0.942778811229595
S10328	0.27479103522318	0	0.0374959422295811	0.186055294021792	0.0857979703481409	0.196232448202255	0	0.219627309975051	9999	0.35389499821761	0.937067505221295
S10329	0.357976957700734	0	0.0495926201193057	0.105485267963117	0.0798671548380512	0.189410211991844	0	0.217667787386948	9999	0.349025149044401	0.938677867412505
S10336	0.245388224019909	0	0.0719763239025881	0.222733382282138	0.0824381785639418	0.1442785062503	0	0.233185384981123	9999	0.365886662931173	0.932849671045521
S10340	0.358453740699462	0	0.0419278734115727	0.0950855401093225	0.0915063107816816	0.313279617604477	0	0.0997469173934842	9999	0.359779190208409	0.934486897432525
S10347	0.0878133231488408	0.197966207066093	0.0418929981953342	0.215325966950221	0.103065969653058	0.147792226627682	0	0.206143308358771	9999	0.34219474268161	0.943935508171311
S10353	0.322412756299604	0	0.0630175781753663	0.106389256252738	0.104814952145352	0.171853035839783	0	0.231512421287157	9999	0.398980066662999	0.918072203801234
S10356	0.279833115683334	0	0.0461588286885252	0.151997582452102	0.0959867755885021	0.290496782704064	0	0.135526914883473	9999	0.345256499179411	0.94202895534079
S10358	0.370761232413398	0	0.0552045402907364	0.105745906017351	0.101664185703715	0.122745059899065	0	0.243879075675736	9999	0.340116328738134	0.944874494339475
S10365	0.296956177387246	0	0.0776286790220906	0.100924362843223	0.103623827988539	0.264311286516249	0	0.156555666242652	9999	0.364544761610473	0.935314616570349
S1037	0.357306834605842	0	0.0215732244962533	0.0604955251165445	0.0794202688610292	0.0215607815285344	0	0.459643365391796	9999	0.36139168453035	0.932871995276213
S10373	0.327247486906035	0	0.0351571704804714	0.117208351972902	0.0894837106559158	0.237781559375858	0	0.193121720608817	9999	0.35780929347811	0.935210140115939
S10374	0.378804699860444	0	0.0340292403298941	0.052086289737994	0.105019014678361	0.382080143931763	0	0.047980611461544	9999	0.341760783449231	0.943152153358317
S10375	0.153468890073146	0.0194176466565082	0.0639790571288299	0.185865412736679	0.101939394139725	0.356816239610824	0	0.118513359654288	9999	0.366367491771928	0.934501859473093
S10377	0.053266930495784	0.185003752781172	0.0287971451801145	0.076002099967685	0.105249907393897	0.272530813234035	0	0.279149350947313	9999	0.352798211043169	0.938847916777882
S10378	0.339501655867855	0	0.0392529862884247	0.0901114020868162	0.0902365947698048	0.273848126971585	0	0.167049234015514	9999	0.375055747577946	0.927695791625853
S10390	0.0816349394607837	0.164808587824909	0.0495418808229118	0.181753869243711	0.125004852152655	0.292329472490099	0	0.10492639800493	9999	0.361099607571868	0.938476820802484
S10391	0.319997259264214	0	0.0617971595591646	0.132812324643636	0.0952461562906879	0.192234010697098	0	0.1979130895452	9999	0.308128496442608	0.959318877597028
S10393	0.354332422534203	0	0.0281695625862856	0.0450218641409041	0.0911577157665697	0.264515822093863	0	0.216802612878174	9999	0.374735926428065	0.927628347025191
S10400	0.213506129722213	0	0.0718437495918028	0.140257777095676	0.105046096516092	0.292626155773667	0	0.176720091300549	9999	0.347213316495339	0.94432361063976
S10401	0.17831717101439	0.08542416986176	0.0705525893675011	0.194515416469476	0.0952736922924492	0.0781960388728721	0	0.297720922121552	9999	0.362415689642977	0.935441759364672
S10406	0.276128970231472	0	0.0586564775585793	0.128489650073997	0.126767466608777	0.335769986579619	0	0.0741874489475568	9999	0.337823004468514	0.950811818163698
S10408	0.190010726919236	0.0710875862138451	0.0441047077036038	0.243868513964446	0.0995974861300305	0.212017858459706	0	0.139313120609132	9999	0.340900268340899	0.944562690118496
S10409	0.323436156119898	0	0.0402182498875329	0.0263678797143913	0.0914254216729876	0.27986268479054	0	0.23868960781465	9999	0.364385941841175	0.932542188706499
S10418	0.178985923455375	0.0680242886079345	0.0452087167974784	0.21622232952268	0.18165700428223	0.210741868662964	0	0.0991598686713374	9999	0.334498262320558	0.965766695679095
S10431	0.265123753910091	0	0.034011822497348	0.0931432219947798	0.11093849561303	0.351596941874227	0	0.145185764110524	9999	0.349101622702257	0.941357592062251
S10438	0.259611313641512	0	0.0482252454140487	0.118249540163629	0.0975704025385458	0.280943187941701	0	0.195400310300564	9999	0.348959012061415	0.940737512903583
S10439	0.234257097766571	0	0.0432531361034637	0.129737651139402	0.0985536478800977	0.304035138896545	0	0.190163328213921	9999	0.359903858860224	0.935761348134291
S10441	0.318541493341835	0	0.0987522587144096	0.176312190232184	0.0905793637292184	0.212229642002839	0	0.103585051979514	9999	0.315236244342684	0.958262317134088
S10442	0.222943380754808	0	0.0687211410007771	0.148259271981667	0.0892724298218663	0.301988849114861	0	0.168814927326021	9999	0.35061066044608	0.940389683917156
S1046	0.257305147254596	0	0.0664772751532779	0.103493087259916	0.122648543546269	0.302031495363125	0	0.148044451422815	9999	0.364466520867256	0.937576338094849
S10478	0.258120511880683	0	0.0782750131272796	0.132428945391054	0.138817489832442	0.31281548314149	0	0.0795425566270507	9999	0.33914167012037	0.954849285038642
S10480	0.341315369166933	0	0.0323907602633697	0.141748910070559	0.0733010308640884	0.0833372205483521	0	0.327906709086698	9999	0.369883126099778	0.929316244449841
S10484	0.197559357010952	0.0749893426433258	0.0468979977474535	0.213899120236821	0.113371851068147	0.237669102967307	0	0.115613228325993	9999	0.339894506695888	0.946858011636772
S10492	0.207229438621192	0.0168994833604065	0.0595465293782976	0.0645102050331881	0.0773274562236645	0.343228484278759	0	0.231258403104493	9999	0.348415751506212	0.939726752027738
S10496	0.430756845798958	0	0.0509408052957993	0.0505095474214732	0.0712861675703163	0.245499034593683	0	0.15100759931977	9999	0.351632553786831	0.936846662065355
S10510	0.344051988296759	0	0.0641219755853697	0.012020206576831	0.103572313486037	0.308825577927343	0	0.16740793812766	9999	0.341850317672077	0.944797570930078
S10513	0.288292182160819	0	0.0789534279846316	0.119783379537465	0.0844631252280199	0.240814315882316	0	0.187693569206748	9999	0.362799848487327	0.934312895100566
S10516	0.318365035884286	0	0.0651306455666518	0.126759785427134	0.092175372690829	0.193788187336799	0	0.2037809730943	9999	0.347887372964022	0.941104626826091
