naive_B_cell	memory_B_cell	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell
A	5.58125752338997e-178	8.70045286718482e-30	1.98783626937546e-23	2.64294740904375e-228	1	1.57153665459512e-207	3.7969934913174e-108	7.25633719358226e-64
B	4.24890243105538e-178	6.53003396891998e-30	1.39203832598134e-23	2.04459398890708e-228	1	1.06532460815e-207	3.12236724853531e-108	6.05123827734524e-64
C	2.68810634649741e-178	4.74066844461357e-30	4.24627831236564e-23	4.18839166523994e-228	1	8.02993245997338e-208	1.93129480878195e-108	1.26318277440655e-63
D	3.53123674798554e-178	6.74783094525761e-30	5.07543777631704e-23	5.27125950395705e-228	1	9.29779007566868e-208	2.9095890427059e-108	1.26566599817051e-63
E	3.61962774086621e-178	6.18314832069708e-30	3.21640716536831e-23	7.05216143668025e-228	1	1.23531377716981e-207	2.37632668029658e-108	8.21916943845002e-64
F	1.96508295299397e-178	4.05609233962178e-30	2.9447129908155e-24	1.05859277871927e-228	1	8.15332121212767e-208	1.39359890728141e-108	5.23700324161581e-64
G	3.50097529583471e-178	5.43491383615991e-30	6.50384869003481e-24	7.61534367446226e-229	1	1.40992142737414e-207	3.31417258165186e-108	4.03175553668803e-64
H	2.59894039745447e-178	4.11651598976969e-30	4.68308869020234e-24	6.12230879356012e-229	1	1.81646985706366e-207	5.44455975477702e-108	3.25650587885851e-64
I	1.8237696827442e-178	2.75284585719729e-30	3.20863650396684e-24	4.2522973370548e-229	1	1.28340262348992e-207	3.71573787528036e-108	3.22170596795628e-64
J	2.94378753141252e-178	7.78082876362879e-30	6.00423781542413e-23	2.63532528967653e-228	1	6.3903185659085e-208	1.66784135301745e-108	1.48776507504111e-63
K	3.39429046582499e-178	8.50566379232569e-30	4.25315155936131e-23	9.63551196879911e-228	1	5.10904810568708e-208	1.0607970960515e-108	1.18295626447447e-63
L	9.10989847790986e-179	2.03743941934178e-30	3.8767980898742e-23	2.25503170533377e-228	1	7.34309290568791e-208	1.86539617530532e-108	1.37005144749139e-63
