Gene,B cells naive,B cells memory,Monocytes,NK cells resting,NK cells activated,Neutrophils,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells CD8
Mix_1,447.359972107,194.724511259,405.523185834,557.262184222,2297.45720238,228.194503872,127.317856751,365.620016154,63.947215005,245.8298675
Mix_2,775.73611062,310.165158718,193.949282598,462.05097696,1809.15742148,161.252245407,152.617573228,435.761790442,75.7235693375,198.382746835
Mix_3,404.787483364,132.4442831,175.504116646,688.530082174,2900.84115148,146.667576872,167.086272145,452.12825223,74.648809795,585.013722095
Mix_4,510.223878743,168.659807159,115.16591282,640.723893212,2634.09217036,134.998677033,180.411659542,494.979025788,78.8124705025,458.759156612
Mix_5,1050.55356991,417.826380166,54.2752247359,588.128947554,2536.28450744,120.732627559,109.242606299,307.224133668,65.58608027,258.123852635
Mix_6,634.245159458,299.362864467,471.217354316,474.793924847,1980.70199546,250.001353492,92.5206721508,276.236786678,52.3220352875,314.357594117
Mix_7,607.76584859,209.51069075,77.447327999,497.764603338,1884.06134034,124.683988439,211.704285593,572.331965947,74.53745728,591.97215835
Mix_8,761.327517624,317.470469416,286.236445175,205.653774169,526.645743466,195.639765298,192.790883494,533.52031288,66.994718835,382.65452024
Mix_9,718.331709801,278.613438128,164.199420486,527.643805008,2144.15515839,151.826661728,156.598772005,431.888148192,75.7177067575,357.623219108
Mix_10,842.110583114,359.532130879,277.439589781,428.26954356,1800.17215175,193.061561979,114.673018372,327.836191485,52.2887233425,428.118638147
Mix_11,682.247065378,237.665941168,123.377510533,482.654299006,1853.55522234,141.709525752,197.35002232,547.08923375,88.01109068,266.193053358
Mix_12,324.17634319,126.222003443,334.164023349,600.382954877,2467.25173704,198.80086242,161.823593028,444.866361798,68.2496840725,408.899423012
Mix_13,940.250406105,375.457275804,126.486989042,430.666072018,1728.7049454,146.830715706,147.780695514,412.209109062,64.503915865,450.78598672
Mix_14,425.268241382,116.955612626,37.7471776296,685.95980762,2816.29028549,107.035914476,205.199115036,554.418230799,80.72438589,626.542510632
Mix_15,534.566156278,178.44322765,143.442839162,419.951651053,1481.98287611,150.008627194,229.693196982,627.179069949,92.1592963075,487.319557708
Mix_16,722.366649763,280.790798857,213.81413422,319.531072447,1126.97851051,172.580510287,194.764385075,529.409365637,67.2896397,499.195234114
Mix_17,586.74229713,203.464581328,130.927652185,427.665314722,1555.00773113,144.996185209,221.087142335,594.349028991,78.33085398,579.091500726
Mix_18,543.952150136,186.026576318,183.384943344,306.107455768,891.640515066,161.834779389,256.683307327,694.054311697,87.5909888675,393.464283259
Mix_19,406.488413416,169.497921659,351.985403651,588.081918461,2478.87881668,208.916280644,132.921220626,371.993713342,59.878705035,513.721271013
Mix_20,780.103976856,324.071263438,278.738293027,357.891871325,1364.21842599,191.086591907,149.083354446,428.584144152,63.4397252975,399.802435456
Mix_21,730.286207288,319.667223552,373.348992517,297.763948659,1079.51026555,224.771235545,154.92073851,422.652841804,54.8567461475,425.488603981
Mix_22,417.028297989,183.078057959,417.754127396,511.937500863,2080.59912272,233.314775009,137.227215599,391.624944343,60.7248050075,450.917822933
Mix_23,983.703991679,399.287659433,164.974261079,342.783375823,1284.78873698,162.524265574,158.040347337,446.478050218,69.1922323775,242.099360852
Mix_24,258.269339993,71.8267785917,259.163187484,286.529310252,781.323842587,179.652825927,279.896242458,758.30622056,81.1718662625,698.056316972
Mix_25,926.676308946,353.920589095,69.1975082852,423.184761686,1628.89372669,125.079367013,177.273616605,475.859787902,67.3975730975,484.115900945
Mix_26,713.486444235,269.09260478,118.699513587,350.361185092,1177.30537966,142.337830142,216.505490352,593.777080089,80.243293635,579.770413281
Mix_27,832.132799396,351.34621973,314.824961763,171.206887919,480.384277889,205.595089298,178.114370429,471.155776482,50.094666685,698.005219292
Mix_28,620.477260071,261.730485613,323.314129314,420.985196348,1635.08772006,203.693403666,148.49068605,429.827493194,69.3774243025,358.38614212
Mix_29,819.923159007,305.780051329,116.092765249,317.509348617,1060.1893856,141.916306625,212.507168925,568.197050499,72.9566485,571.214677288
Mix_30,604.549201667,203.085128543,47.7419693612,697.392443738,2931.12842201,111.103466273,169.544577476,455.310370792,69.795366385,596.65344447
Mix_31,750.90272957,294.316552219,191.755375461,375.810348361,1358.64047678,166.769710402,181.499257805,497.513313122,72.6677531925,442.325454211
Mix_32,539.459287976,195.648609844,238.427084027,271.471137642,720.224143052,176.004604646,245.630224193,674.922374886,90.1178886325,451.061264502
Mix_33,410.593335603,145.843098855,248.751367238,408.615786502,1452.89497895,178.152362393,218.450941088,597.945822548,81.19480831,554.831190053
Mix_34,712.510951074,322.184881352,427.510212132,442.904691331,1811.25379909,237.503650324,111.082664072,315.012095197,58.5893319625,338.440880958
Mix_35,611.094685429,225.035171442,120.965391681,589.019249858,2393.69908445,137.437743576,169.028015359,475.842372787,78.906102455,323.652821127
Mix_36,711.589732661,274.219022852,161.845228883,477.617964417,1888.65611001,152.720096055,170.25640995,464.796935641,71.5624530175,457.688558252
Mix_37,427.625941673,151.639432188,192.241953063,699.898400307,2961.28123694,150.862262942,154.62970509,421.756028168,71.2138454875,525.91956334
