B.cells.naive,B.cells.memory,Monocytes,NK.cells.resting,NK.cells.activated,Neutrophils,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.CD8
A,0.117354972600366,0.0241764814665007,0.22675406923768,0.212198387400099,0,0.107557945548962,0,0.151452090509285,0.00228586674095055,0.158220186496157
B,0.109575886065803,0.0368316131623593,0.225916946807666,0.20576012741866,0,0.109068185437607,0,0.158498879930962,0,0.154348361176943
C,0.058206030197464,0.0400453124361113,0.127604644264186,0.191027241441154,0,0.0385010912691839,0.0491891553921,0.275856760737033,0.0540867975913762,0.165482966671393
D,0.0822632615216574,0.0154618335711522,0.127044135836263,0.19679651241988,0,0.0347652674706342,0.0434640787095434,0.273364087067871,0.0605410636924008,0.166299759710598
E,0.0653929272874419,0.01586266254879,0.156189302638949,0.205948368716469,0,0.0683302921713782,0,0.153662402386208,0.0343016270081824,0.300312417242582
F,0.0673967350982709,0.0229259286018865,0.170767889803866,0.393967189406752,0,0.0940944564062432,0,0.117250554945462,0,0.133597245737519
G,0.106005475036047,0.039905085274981,0.233252031746921,0.186643557680945,0,0.240996580707497,0,0.146974076286048,0,0.0462231932675613
H,0.0968321391465306,0.0588141146876334,0.371928947842006,0.127519702343112,0,0.13684204789304,0,0.154582981045515,0.00998169671645166,0.043498370325711
I,0.0872325602861286,0.0668379848138179,0.37603772897248,0.129947610223442,0,0.13201823358975,0,0.161015728817922,0.0056204543980662,0.0412896988983933
J,0.0817010136037091,0.0639652784862571,0.0515079207064597,0.211624672493225,0,0,0.0894295971054238,0.372527416460703,0.0837051272743799,0.0455389738698427
K,0.0746298051558804,0.0613974328790752,0.027977383642866,0.215108085306876,0,0.012052656236137,0.0343013682124139,0.163577782629895,0.084359289018067,0.326596196918789
L,0.00289512958539884,0.0740234420253603,0.134055130285785,0.219448995639407,0,0.0140859997945634,0.0346096567589647,0.418352446569663,0.0676833011800959,0.034845898160762
