Gene,naive_B_cell,memory_B_cell,CD14_positive_monocyte,CD16_positive_monocyte,CD56dim_natural_killer_cell,CD56bright_natural_killer_cell,neutrophil,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell
Mix_1,1842.37866867,33.9654060002,86.2928768432,277.069654511,240.850371259,219.796711683,55.9419004565,130.5152175,508.223112
Mix_2,2188.31066158,60.295113758,52.2308756301,209.354093025,220.904745197,145.062950158,43.1416375445,186.323724078,569.89522814
Mix_3,2008.35299051,30.0712935894,49.2643134481,201.745908655,279.094781794,333.1842858,37.0596928104,125.473531358,819.54863514
Mix_4,2064.60665457,34.415338933,40.436608136,183.481256829,261.195842191,269.317951773,36.2363209975,176.109742173,809.83594416
Mix_5,2412.62236958,85.084644696,32.5198203381,163.517831043,276.018639013,229.931123152,34.5311057996,86.4351946007,404.354644726
Mix_6,2043.19674691,47.727905363,95.6438745121,294.960156635,228.111312377,219.28462756,61.2550657058,49.131667274,404.28343366
Mix_7,2298.76801193,42.2602760758,37.9343468428,168.53374227,218.613363237,241.59388058,31.7440440556,208.018449382,985.95372942
Mix_8,2376.74327295,59.5709797254,66.7564730402,234.300449161,134.291215691,101.246523283,44.8551864505,222.561284442,811.17929834
Mix_9,2211.44218515,52.950414608,49.2443233142,200.620157253,238.068945269,212.425419858,38.6228036125,152.821550038,659.5237506
Mix_10,2323.52072469,66.820913982,63.8568141083,226.841007001,214.662940692,227.565352975,47.2471109004,65.040230191,554.12465254
Mix_11,2198.22547409,51.186818386,42.1157366361,192.976465059,214.448291462,145.24529687,38.3852051825,251.79451092,760.0270627
Mix_12,1821.34858656,20.1156963574,76.3161287266,252.523831075,239.572355926,257.632579348,50.9423479233,150.468601729,704.2888452
Mix_13,2490.17737885,75.091455168,41.8163316621,184.229115103,226.356844984,221.53758691,38.4192602293,119.665885287,679.91575872
Mix_14,2089.6473707,24.7403188328,29.8243394569,153.838698225,270.142451998,313.19545776,32.5791631648,189.190673422,987.42978392
Mix_15,2226.32686965,31.6262503242,45.6953197699,194.289926317,196.4889915,168.539040978,35.7100104939,270.098921245,1007.40686528
Mix_16,2381.15605041,54.0820918202,55.8413411483,211.779796274,171.353849943,174.222788056,40.9143771175,195.922392803,872.57449058
Mix_17,2333.70263005,34.8538439688,43.3890912678,186.820215431,196.767707153,216.557346536,34.8045921794,230.854044208,1025.56984374
