Mixture	B cells naive	B cells memory	Monocytes	NK cells resting	NK cells activated	Neutrophils	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells CD8	Macrophages M0	Macrophages M1	Macrophages M2	Mast cells resting	Mast cells activated	Plasma cells	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	Dendritic cells resting	Dendritic cells activated	Eosinophils	P-value	Correlation	RMSE
A	0.068247126784939	0	0.318790946120995	0.136988284701895	0.0476448805833298	0.0200972780773708	0.0531771412657946	0	0.0372882732605187	0.280947941419515	0	0	0.0196837547861251	0.00393859625963598	0	0.00660080109429576	0.00488252241382937	0	0	0	0.00171245323175645	0	9999	0.703501203504518	0.727038818506669
B	0.0879694771933114	0	0.308751694325687	0.143223957688555	0.0703642937147092	0	0.0332974965255841	0	0.0163668993010366	0.261818986473207	0	0	0.0350067589445807	0	0	0	0.00602853745762578	0.0266966450888405	0	0	0.0104752532868635	0	9999	0.700179141369254	0.728344655278351
C	0.0150977716922549	0.00239079445305425	0.0538195345844315	0.0743536110763479	0.0113136909653757	0	0.137592281546671	0.258236744532538	0.0470781227265666	0.276516214686738	0	0	0.00790900368553949	0.00270925620059459	0	0.00949438931907216	0.00692341113182931	0.0614986547055017	0.0350665186934843	0	0	0	9999	0.754554918297598	0.667747051744176
D	0.0209127793350473	0	0.0591922554591226	0.0793053241310749	0.00105677496917561	0	0.154599553647912	0.210350115151408	0.0469075878875114	0.317470977519147	0	0	0.00256387325103022	4.72901193117353e-05	0	0.00834202478335908	0	0.0746225135999601	0.0246289301459401	0	0	0	9999	0.768605760526196	0.65343824177241
E	0.0106423770313287	0	0.093938367309756	0.0998645573718596	0.0710954019263779	0.0101475688063779	0.0693414122606729	0	0.0298418255518188	0.526925094820055	0.000260021903669838	0	0	0	0	0.0028986967323157	0.00270435662685884	0	0.0823403196589087	0	0	0	9999	0.786812419790232	0.621341989321922
F	0.0234919992893862	0	0.137692053828	0.573567773414349	0.00684256612338379	0	0	0.00656235435839791	0.017319535006032	0.177780252007	0	0	0.0199728012236056	0.0300764959743114	0	0	0.00173809350337846	0.004956075272156	0	0	0	0	9999	0.804149369349447	0.594797512633248
G	0.0592261701191929	0.024190502600005	0.4235146151774	0.122799837407374	0	0.159677465912683	0.034466124944226	0.0206162579861143	0.00925193907327057	0.0899433078557973	0.0203623414424966	0	0.0247203073738383	0.00644469767701043	0	0	0	0.00478643243059115	0	0	0	0	9999	0.669719505794233	0.747331264987787
H	0.0425074429218795	0.0119629451743124	0.74900946794269	0.0158724410377272	0.0162498092268564	0	0.0106853271478494	0.0470254404876869	0	0.0670972470888045	0.0001447965084728	0.00216325097709569	0.0349182983882911	0.000554380295713555	0	0	0	0.00126439691258387	0	0	0	0.000544755890036506	9999	0.637129683785034	0.771459460504547
I	0.048838818690702	0	0.739811208532807	0.0371905739807956	0	0	0.0021266218797447	0.0566246606895772	0.00191475737594522	0.0558920750434076	0	0.0034491327882098	0.0531608234444491	0	0	0	0.000991327574362221	0	0	0	0	0	9999	0.687509330748218	0.726029040425579
J	0.0120274855890216	0.0114720023449429	0	0.0521006909243203	0.0169394431023581	0	0.231195266884518	0.518806214729353	0	0.0326552131757695	0	0	0	0.0105999430646625	0	0.0103854102769455	0.00197737178420175	0.0921173330765727	0	0	0	0.00972362504733445	9999	0.745194731191862	0.672799327050928
K	0.00448797162673524	0.0028506392738207	0	0.103425868349414	0.0323404798679686	0	0.0297490211671544	0	0.0479774503407104	0.755871406612965	0.000669773416647961	0	0	0.0119736015421008	0	0.0106537878024834	0	0	0	0	0	0	9999	0.794520769091585	0.607247718766762
L	0	0.000828119593045857	0.0447729678366682	0.188460951285374	0	0	0.0869258138747097	0.534691254910723	0	0.0240213690763365	0	0	0	0.00415809415090499	0.010077486392533	0	0.000692401853935679	0.104200318639626	0	0	0	0.00117122238614315	9999	0.738135137479571	0.682069443678663
