Chondrocyte.articular,B.cell.naive,B.cell.memory,Monocyte.CD14,NK.cell.CD56,Endothelial.large.blood.vessel,Endothelial.microvascular.mammary.or.endometrial,Endothelial.microvascular.non.reproductive,Epithelial.cell.mammary,Epithelial.renal.cortical,Epithelial.respiratory,Fibroblast.cardiac.ventricle,Fibroblast.of.arm,Fibroblast.of.lung,Fibroblast.of.the.aortic.adventitia,Fibroblast.or.papilla.dermal.cell,Hair.follicular.keratinocyte,Macrophage,Mature.neutrophil,Melanocyte.of.skin,Myometrial.cell,Osteoblast,MSC.like.pluripotent.cell,Myocyte.regular.cardiac,Smooth.muscle.cell.aortic,Smooth.muscle.cell.bronchial,Smooth.muscle.cell.of.bladder,Smooth.muscle.cell.coronary.artery,Smooth.muscle.cell.pulmonary.artery,Smooth.muscle.cell.of.trachea,Smooth.muscle.cell.uterine,T.Cell.CD4,T.cell.CD4.memory,T.cell.CD8.memory
mix_23,0,0,0,0,0,0,0,0,0,0,0,0,0.202637712674051,0,0.0164232800854769,0,0.166811593890385,0.0401402429339974,0.10578488000871,0,0,0,0,0.0533853956445897,0,0,0,0,0,0.162671498518234,0,0,0.252145396244553,0
mix_24,0,0,0,0,0,0,0,0,0,0,0,0,0.221689186526336,0,0.0255284169014269,0,0.161719409118662,0.0588833325442507,0.0830002303188547,0,0,0,0,0.0421736663677537,0,0,0,0,0,0.160347453531914,0,0,0.246658304690803,0
mix_25,0,0,0,0,0,0,0,0,0,0,0,0,0.204541361720519,0,0.0131389368789394,0,0.163401834787168,0.0310163778328963,0.102391638870156,0,0,0,0,0.0535292374308298,0,0,0,0,0,0.168810277855827,0,0,0.263170334623664,0
mix_26,0,0,0,0,0,0,0,0,0,0,0,0,0.225783911911487,0,0.0307075408853044,0,0.163998156208456,0.08221387924607,0.0800757728722721,0,0,0,0,0.0378886559273719,0,0,0,0,0,0.154080785405497,0,0,0.225251297543535,0
mix_27,0,0,0,0,0,0,0,0,0,0,0,0,0.206509735638613,0,0.0141908940031315,0,0.163206154388443,0.0499184720158472,0.104465741252185,0,0,0,0,0.0543268195325974,0,0,0,0,0,0.163957624351071,0,0,0.243424558818119,0
mix_28,0,0,0,0,0,0,0,0,0,0,0,0,0.214196004078213,0,0.0207668420258841,0,0.163618707818432,0.0484862781971741,0.0932856998619057,0,0,0,0,0.0475031615158896,0,0,0,0,0,0.161231660053642,0,0,0.250911646448858,0
mix_29,0,0,0,0,0,0,0,0,0,0,0,0,0.208414501387198,0,0.0176359057523493,0,0.163573158816989,0.0647155512112002,0.103176090133401,0,0,0,0,0.0517825824738733,0,0,0,0,0,0.160730825257612,0,0,0.229971384967371,0
mix_30,0,0,0,0,0,0,0,0,0,0,0,0,0.209786547915837,0,0.0158289475596546,0,0.162455278439923,0.0406993002723577,0.0998697164189814,0,0,0,0,0.0506962129240653,0,0,0,0,0,0.16595226323347,0,0,0.254711733235705,0
mix_31,0,0,0,0,0,0,0,0,0,0,0,0,0.211290758172198,0,0.0199434293841099,0,0.164828216650672,0.058809415703168,0.0986986962510705,0,0,0,0,0.0486160171221647,0,0,0,0,0,0.159515081420693,0,0,0.238298385295907,0
mix_32,0,0,0,0,0,0,0,0,0,0,0,0,0.197926329546437,0,0.00858810961768747,0,0.163524261874284,0.0468561949256127,0.118117713770365,0,0,0,0,0.0586705945285369,0,0,0,0,0,0.167068607494228,0,0,0.239248188242844,0
