naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	myeloid_dendritic_cell	plasma_cell	plasmacytoid_dendritic_cell
A	4.37039930727481e-243	1.90162657235781e-34	1.92891718516926e-105	2.19984766580943e-173	2.86668174551741e-214	0.819086625109176	1.6473006920598e-121	4.34474196808576e-28	0	3.30087489639325e-94	1.72271736485504e-218	1.17382268743921e-126	1.0776189436321e-83	0	0	0	0	1.4649969121674e-160	0	0.180913374890824
B	5.01463161579149e-243	1.95967252521564e-34	1.92141589453839e-105	2.23475330317919e-173	3.45960445997602e-214	0.827290869018505	1.61718255426757e-121	4.17752690790977e-28	0	2.73251058296353e-94	1.84684737978983e-218	2.46671855820402e-126	9.38368012228127e-84	0	0	0	0	1.54464600535719e-160	0	0.172709130981495
C	1.0415503643061e-242	1.483628170203e-34	2.41264374093642e-106	1.25397629955129e-173	4.16488697810449e-214	0.735085281426945	8.1394291505531e-122	1.32890502602134e-27	0	5.04111916990662e-94	6.5864894318993e-219	1.29155590855946e-126	2.0946986609219e-83	0	0	0	0	2.80459649644862e-160	0	0.264914718573055
D	1.01210115501901e-242	1.68617053203985e-34	2.59230556370652e-106	1.20156950817593e-173	3.95286375860306e-214	0.763449389041915	6.21626713039817e-122	1.26826734176591e-27	0	1.48284206285094e-94	5.59109402086405e-219	6.9772526539754e-127	2.09705340289398e-83	0	0	0	0	2.84694398461522e-160	0	0.236550610958085
E	5.35182633182227e-243	9.30127353541605e-35	7.46418891899384e-106	1.08147713138096e-173	3.44467010893256e-214	0.813578885607499	8.41112175623223e-122	4.83842232058733e-28	0	1.97535871444514e-94	7.58358661098937e-219	2.83315354919234e-127	1.25102734031587e-83	0	0	0	0	1.67152371696317e-160	0	0.186421114392501
F	1.64225263155081e-243	4.50358234612114e-35	4.07452046744225e-106	6.75918399835249e-174	1.51392393988422e-214	0.950658389370057	4.45351050148154e-122	3.26958962701201e-29	0	1.48736573229415e-94	4.00145615141083e-219	1.70888293513008e-127	3.68250169736472e-84	0	0	0	0	8.88724768712185e-161	0	0.0493416106299427
G	6.7422338691614e-243	3.01403368313934e-34	4.17059371536701e-105	5.43343741862566e-173	5.27380167803376e-214	0.73282951437382	8.61031187736724e-121	3.60683160998504e-28	0	5.84948670451177e-94	4.02823429918758e-218	4.25357552232818e-126	1.64183447857762e-83	0	0	0	0	1.95525828344359e-160	0	0.26717048562618
H	9.96852467933558e-243	3.22175965701079e-34	7.71895801199383e-105	8.77169455050524e-173	9.76078143654491e-214	0.691932325500522	3.45268526333447e-121	3.66518343419372e-28	0	4.39378222834424e-94	8.62197756167342e-218	9.24600025762281e-126	2.54640522542747e-83	0	0	0	0	3.17446292578893e-160	0	0.308067674499478
I	1.05276913250065e-242	3.17242500131006e-34	8.19158878866725e-105	8.95124928839216e-173	1.05248942872006e-213	0.61362962130496	3.58993074641455e-121	3.69768566543136e-28	0	1.06678722708327e-93	8.57441424084028e-218	9.67704511305168e-126	2.41362108947229e-83	0	0	0	0	3.18932189306753e-160	0	0.38637037869504
J	1.97854367807217e-242	3.12712280824366e-34	5.63072701844593e-106	1.1655456688927e-173	9.17039360564505e-214	0.411421716332063	3.60783641980447e-122	2.41310914159936e-27	0	4.12230248700308e-94	7.32696656362557e-219	1.85937325257634e-126	4.2735915464844e-83	0	0	0	0	4.95711089534218e-160	0	0.588578283667937
K	1.14338190596867e-242	1.77271229058504e-34	2.4056783142746e-106	6.81661809834162e-174	8.50968770058066e-214	0.768337663754227	2.4120443888125e-122	8.86422768062313e-28	0	4.60299508005908e-94	3.65618370753422e-219	5.48642746610588e-127	2.08720391704321e-83	0	0	0	0	2.53436104092768e-160	0	0.231662336245774
L	1.87446231640636e-242	1.02375733312866e-34	7.18186790389265e-106	1.08200720691444e-173	1.00406713026393e-213	0.42564652568934	7.17098766486308e-122	1.94798453190334e-27	0	5.44709972106561e-94	1.20942880493227e-218	2.09340915914524e-126	3.49789488442816e-83	0	0	0	0	4.81834414997113e-160	0	0.574353474310661
