Bcells	CD4_Tcells	CD8_Tcells	Endothelial	CAFs	Macrophages
Mix_1	0.1532	0.1078	0.1839	0.0384	0.083	0.4337
Mix_2	0.3781	0.1573	0.1484	0.0462	0.1064	0.1636
Mix_3	0.1133	0.1898	0.328	0.0517	0.1504	0.1668
Mix_4	0.1848	0.2205	0.29	0.062	0.1485	0.0941
Mix_5	0.504	0.0643	0.2498	0.0381	0.1141	0.0296
Mix_6	0.2469	0.049	0.1549	0.0339	0.0537	0.4616
Mix_7	0.2614	0.213	0.2565	0.0604	0.1605	0.0483
Mix_8	0.3621	0.1576	0.0699	0.0384	0.0924	0.2796
Mix_9	0.3302	0.1496	0.2157	0.0531	0.1122	0.1392
Mix_10	0.3869	0.0654	0.1776	0.0334	0.0906	0.2462
Mix_11	0.2966	0.2384	0.1589	0.0617	0.1518	0.0927
Mix_12	0.0582	0.1657	0.2424	0.0439	0.1079	0.3819
Mix_13	0.4718	0.0945	0.1994	0.0488	0.1038	0.0817
Mix_14	0.1193	0.2624	0.3416	0.0637	0.188	0.025
Mix_15	0.194	0.2738	0.1865	0.0678	0.148	0.1299
Mix_16	0.3323	0.1595	0.1455	0.0518	0.1119	0.199
Mix_17	0.2319	0.2552	0.1986	0.0651	0.1483	0.1009
Mix_18	0.2068	0.3119	0.1129	0.0749	0.1381	0.1554
Mix_19	0.1243	0.1036	0.2535	0.041	0.099	0.3786
Mix_20	0.3612	0.1086	0.1357	0.0424	0.0951	0.2569
Mix_21	0.3244	0.0803	0.1174	0.0344	0.0792	0.3643
Mix_22	0.1263	0.1086	0.1976	0.0366	0.0816	0.4494
Mix_23	0.489	0.1236	0.1217	0.0477	0.0963	0.1217
Mix_24	0.0106	0.329	0.1397	0.0661	0.1642	0.2905
Mix_25	0.4479	0.1194	0.2241	0.0465	0.1289	0.0332
Mix_26	0.3355	0.1918	0.1856	0.0608	0.1436	0.0828
Mix_27	0.3815	0.0697	0.1327	0.0367	0.0896	0.2898
Mix_28	0.2653	0.1238	0.152	0.0415	0.0848	0.3327
Mix_29	0.3841	0.1764	0.1919	0.0494	0.1239	0.0743
Mix_30	0.2488	0.1816	0.3399	0.0558	0.1432	0.0308
Mix_31	0.3664	0.1554	0.1569	0.0464	0.1047	0.1702
Mix_32	0.206	0.2717	0.0996	0.0556	0.1491	0.218
Mix_33	0.1101	0.2393	0.1891	0.0542	0.1407	0.2666
Mix_34	0.2988	0.0433	0.1657	0.0252	0.073	0.3939
Mix_35	0.2704	0.2056	0.2403	0.0604	0.1318	0.0914
Mix_36	0.3326	0.1548	0.2091	0.0471	0.1214	0.1349
Mix_37	0.1373	0.1646	0.326	0.0509	0.1411	0.1801
Mix_38	0.0718	0.2126	0.2152	0.0457	0.1152	0.3395
Mix_39	0.4055	0.067	0.0583	0.0271	0.0578	0.3843
Mix_40	0.292	0.1366	0.2925	0.0531	0.1335	0.0922
Mix_41	0.2221	0.1542	0.2817	0.0438	0.1232	0.1752
Mix_42	0.3597	0.2129	0.1402	0.0444	0.1563	0.0864
Mix_43	0.3643	0.0739	0.1876	0.0402	0.0817	0.2522
Mix_44	0.1236	0.1636	0.2406	0.0434	0.1061	0.3228
Mix_45	0.1742	0.1565	0.2391	0.0495	0.1202	0.2604
Mix_46	0.3628	0.1284	0.1687	0.0383	0.1064	0.1954
Mix_47	0.2555	0.0922	0.1819	0.0334	0.0846	0.3524
Mix_48	0.3526	0.1682	0.1921	0.0447	0.124	0.1184
Mix_49	0.1447	0.255	0.3287	0.0627	0.1624	0.0464
Mix_50	0.1414	0.2285	0.1961	0.0463	0.1486	0.2392
Mix_51	0.3334	0.1837	0.1458	0.0471	0.1196	0.1704
Mix_52	0.0578	0.216	0.3308	0.0514	0.1779	0.1661
Mix_53	0.2809	0.1106	0.1435	0.0389	0.0996	0.3266
