Gene,naive_B_cell,memory_B_cell,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell,macrophage_m0,macrophage_m1,macrophage_m2,MAST_cell
mix_1,1087.09533148,186.1255561,882.339164182,1913.02594412,609.33453091,679.534205723,639.676609858,247.107678628
mix_2,1124.75638968,174.700824866,672.426044665,1312.57384006,520.922754804,639.517728579,543.64857167,308.337255166
mix_3,1026.25824567,245.862465435,438.186753879,759.130172077,739.006824359,835.738868529,602.865206242,341.326982429
mix_4,1149.54394165,210.57966106,1210.8195127,1826.7496555,393.620331043,525.78801752,554.031778114,258.361870041
mix_5,1075.27994213,258.405383109,857.478936111,1522.56674903,513.853983488,649.403495677,551.197304051,305.079701368
mix_6,1146.78789611,226.552035313,1129.20618689,1871.92458049,426.38329469,554.758769228,545.534531627,252.446452689
mix_7,1050.09800776,265.399389708,629.425444647,1202.6046133,595.760795773,725.052149589,541.996138809,338.85260136
mix_8,1066.62766419,218.962897329,641.974743561,1348.42584393,585.685446505,727.920325549,537.3098302,314.98951208
mix_9,1170.97670676,211.669082071,1350.19414385,2183.96953878,366.633867108,489.896237562,574.121937902,205.68008784
mix_10,1111.09391559,200.539101627,1010.65717149,1239.59427586,577.597363631,648.353515821,663.990787297,275.531854082
mix_11,1153.33794568,154.373688509,994.188754616,1879.7125583,529.260833842,589.387657665,664.559301952,224.137214131
mix_12,1083.48887507,236.878153494,1019.98121256,1637.71092887,525.432206691,652.417510894,566.589799483,298.24440347
mix_13,1126.89983311,164.406386066,1282.33202172,1656.64957001,485.802212339,608.749644439,635.472319856,235.72303948
mix_14,1165.64739337,182.461916699,1307.87757897,1868.31369783,475.056903927,554.390961679,680.861812268,213.585203384
mix_15,1090.9297817,226.152431599,819.203544333,1486.86962102,543.133024291,690.83578451,538.469602873,286.281094409
mix_16,1048.70988015,278.741029262,387.996937651,690.960973359,678.000203377,819.87613491,504.032748673,334.286350415
mix_17,1042.8974869,255.570194867,494.105970232,692.381873328,647.291435959,799.037021693,497.623667999,352.887129505
mix_18,1114.98587899,158.155495013,1093.52547882,1099.37880948,592.153118838,654.939775851,691.075067773,258.21058719
mix_19,1014.22252202,231.102808756,514.807204621,876.590954357,749.507064882,855.300876245,610.967439227,337.24791565
mix_20,1164.45346126,172.501625463,1102.40168681,1708.0585131,438.995829653,572.330169317,552.739213942,221.931319657
mix_21,1063.14454556,249.678417181,833.284922098,1035.57979764,610.739479837,735.350606888,549.584193731,301.97658516
mix_22,1104.86997565,196.304114261,1111.46128319,1871.95595438,535.564887133,613.653016283,680.755857079,256.006551224
mix_23,1166.7132849,154.940211415,1181.92328273,1832.94496471,492.099928854,581.206580453,643.572703378,210.985379022
mix_24,1082.04043172,255.816224316,932.35435189,1472.87262982,507.409199739,653.264345946,519.642176473,281.986760005
mix_25,1173.32004424,178.305706627,1331.36100301,1977.77852489,386.58662132,516.535691678,586.601940816,190.258791091
mix_26,1044.85979692,229.598229213,774.03783312,884.753771168,690.718513085,789.473668435,622.361132628,309.365480203
mix_27,1137.03374521,174.51996828,1076.19950469,1964.44140014,502.019939437,577.912123878,629.088282795,213.759135621
mix_28,1132.40831573,210.806642785,1070.64136821,1681.17511061,465.139350373,601.006222795,550.829083871,250.791730395
mix_29,1109.71827236,173.747834441,937.276858627,1810.43928466,557.355799558,632.00420367,620.941452912,262.321774485
mix_30,1145.22159716,202.909535474,1269.33741672,1881.08838074,431.57131442,552.70305605,587.925137745,245.473904618
mix_31,1119.98930728,177.038100322,1090.9237377,1565.86749511,551.362328012,635.50274412,640.733465401,271.498148898
mix_32,1177.96778481,178.674290428,1379.2005334,1947.22981317,485.276109589,522.880846206,725.20096308,226.462793861
mix_33,1108.4866414,193.688560963,1093.01320132,1376.7524991,618.632562032,713.883274077,697.542526611,241.669093958
mix_34,1038.78175892,174.456294227,614.932318081,713.165785899,727.297319502,785.464322339,653.505997797,347.003101392
mix_35,1103.73352175,221.479786701,1082.19922002,1744.02917423,490.3263553,604.617128928,592.766914446,296.185634222
mix_36,1079.50639343,231.641604091,923.886027657,1513.61800701,559.640165067,658.162045691,611.609995841,295.505782801
mix_37,1037.44454505,248.967551323,610.662428547,1028.16185901,642.556021045,774.828108105,537.692404492,330.89506048
mix_38,1046.87050357,246.650122817,649.783438465,1243.09846525,652.612241045,762.649436582,572.311398725,292.267837839
