naive_B_cell,memory_B_cell,CD14_positive_monocyte,CD16_positive_monocyte,CD56dim_natural_killer_cell,CD56bright_natural_killer_cell,neutrophil,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell
mix_1,0.0957251213261375,0,0,0,0.294203374607591,0,0,0.34464479465178,0.265426709414491
mix_2,0.140347426593657,0,0,0,0.362901572492855,0,0,0.337019995073466,0.159731005840022
mix_3,0.172120240663253,0,0.0126733498821202,0,0.400696726502423,0,0.00436033241960417,0.345559152920264,0.0645901976123352
mix_4,0.109077220862609,0,0,0,0.254961507977099,0,0,0.444987159653097,0.190974111507195
mix_5,0.126095750936732,0,0,0,0.31308634080407,0,0,0.377914140437142,0.182903767822057
mix_6,0.109825832784045,0,0,0,0.256212277128112,0,0,0.422063274098035,0.211898615989809
mix_7,0.146640706077904,0,0,0,0.359657693905154,0,0,0.346393505800379,0.147308094216563
mix_8,0.133732639657321,0,0,0,0.341636454806956,0,0,0.340078637060315,0.184552268475408
mix_9,0.0925700224667423,0,0,0,0.231180894331583,0,0,0.438091050848081,0.238158032353594
mix_10,0.13695912914719,0,0,0,0.310950017727,0,0,0.493361229029501,0.058729624096309
mix_11,0.108597162917868,0,0,0,0.291976916534,0,0,0.360669559010036,0.238756361538096
mix_12,0.111962806042334,0,0,0,0.278178324165916,0,0,0.427095427902144,0.182763441889606
mix_13,0.108302158991031,0,0,0,0.229936914174589,0,0,0.532029885539519,0.129731041294861
mix_14,0.105732747072751,0,0,0,0.240420193068266,0,0,0.485297551065797,0.168549508793186
mix_15,0.1268845192745,0,0,0,0.310003575546893,0,0,0.384143767048032,0.178968138130575
mix_16,0.202135611992913,0,0.00833616543740709,0,0.400768743098617,0,0.000941456668523577,0.317337574303359,0.0704804484991803
mix_17,0.194027095804163,0,0,0,0.391198172861057,0,0.00475049091913565,0.35981151191889,0.0502127284967557
mix_18,0.137279083663762,0,0,0,0.294413278706495,0,0,0.547708205580814,0.0205994320489282
mix_19,0.157890019286153,0,0.00692440556779858,0,0.383076120708447,0,0.0039438368858056,0.355580778134884,0.0925848394169114
mix_20,0.120053868072443,0,0,0,0.264138782452704,0,0,0.447541313339466,0.168266036135388
mix_21,0.150060111448821,0,0,0,0.317170491566513,0,0,0.462641248080164,0.0701281489045018
mix_22,0.0947377900163945,0,0,0,0.280802003820519,0,0,0.417268105682848,0.207192100480238
mix_23,0.107599038419092,0,0,0,0.246927020090294,0,0,0.453725737382598,0.191748204108016
mix_24,0.129145676243063,0,0,0,0.295835801373161,0,0,0.415996337442111,0.159022184941665
mix_25,0.101505386935315,0,0,0,0.228282111848054,0,0,0.469697562047658,0.200514939168973
mix_26,0.153066190084255,0,0,0,0.335988184609208,0,0.0086982390642182,0.46448922341108,0.0377581628312388
mix_27,0.0994155385248918,0,0,0,0.268702638167649,0,0,0.394389145708953,0.237492677598506
mix_28,0.114653788004148,0,0,0,0.274255145304389,0,0,0.431552775277793,0.179538291413669
mix_29,0.102777349574738,0,0,0,0.301293412950687,0,0,0.367402090069345,0.228527147405229
mix_30,0.10249242263739,0,0,0,0.241882155332648,0,0,0.463459985096398,0.192165436933564
mix_31,0.110703178628911,0,0,0,0.281417541240458,0,0,0.464864951755956,0.143014328374675
mix_32,0.101758518464748,0,0,0,0.236843714770361,0,0,0.500885692723021,0.16051207404187
mix_33,0.119040848131377,0,0,0,0.271905532136589,0,0,0.511524412154031,0.0975292075780036
mix_34,0.164511613984362,0,0,0,0.387689089287898,0,0.00891121263479948,0.433377295315993,0.00551078877694762
mix_35,0.102876176757841,0,0,0,0.276016818935622,0,0,0.429363938538127,0.191743065768409
mix_36,0.116311046221849,0,0,0,0.309032253127384,0,0,0.416530526481018,0.15812617416975
mix_37,0.158748070085174,0,0,0,0.358567513081926,0,0,0.374486879192133,0.108197537640766
mix_38,0.140338829943182,0,0,0,0.347857287093631,0,0,0.360440142456153,0.151363740507034
mix_39,0.112503025246684,0,0,0,0.283211876504789,0,0,0.411824788027717,0.19246031022081
mix_40,0.110452589233731,0,0,0,0.29407712129293,0,0,0.457697865380202,0.137772424093137
mix_41,0.154885030930022,0,0,0,0.352452941380902,0,0.00393562921821811,0.442580766683027,0.0461456317878319
mix_42,0.118809449967289,0,0,0,0.238116244923876,0,0,0.542454258801008,0.100620046307827
mix_43,0.15111897921099,0,0,0,0.341757267816493,0,0,0.48197196789069,0.0251517850818277
mix_44,0.115742465415675,0,0,0,0.282313357873316,0,0,0.428447343485241,0.173496833225767
mix_45,0.122117711027462,0,0,0,0.327943606241175,0,0,0.370116250647771,0.179822432083591
mix_46,0.127515023455724,0,0,0,0.318219381467586,0,0.00320092443143168,0.456167547162478,0.0948971234827803
mix_47,0.232956228114034,0,0.0376194626732656,0,0.418162379910406,0,0.0189457951442444,0.269134445687002,0.0231816884710483
mix_48,0.126868494536763,0,0,0,0.278775987764297,0,0,0.533265346063628,0.0610901716353117
mix_49,0.108191348098732,0,0,0,0.298251659737875,0,0.00322037910779466,0.406642183494228,0.18369442956137
mix_50,0.103576277902606,0,0,0,0.280398550532513,0,0,0.412738600219882,0.203286571344999
mix_51,0.175540779039547,0,0,0,0.372246900207054,0,0.00846816787780347,0.422171657343216,0.0215724955323796
mix_52,0.151400094288797,0,0,0,0.352509163130896,0,0,0.43615840040435,0.0599323421759569
mix_53,0.164082912118692,0,0,0,0.365052032762721,0,0,0.430144528583878,0.0407205265347086
mix_54,0.12021943134925,0,0,0,0.279350106825692,0,0,0.467644962280179,0.132785499544879
mix_55,0.13795084606515,0,0,0,0.297297564401223,0,0,0.512699625148855,0.0520519643847725
mix_56,0.0972950437893789,0,0,0,0.235628286386286,0,0,0.495390223943253,0.171686445881082
mix_57,0.100404934076344,0,0,0,0.25411805503089,0,0,0.420307234576625,0.225169776316141
mix_58,0.116707787822145,0,0,0,0.286949272596001,0,0,0.41461066738423,0.181732272197624
mix_59,0.167870257175601,0,0,0,0.401295049678962,0,0,0.393608918737408,0.037225774408029
mix_60,0.127234777187551,0,0,0,0.277787850555722,0,0,0.50483602455891,0.0901413476978169
mix_61,0.124290437067224,0,0,0,0.311066988018364,0,0,0.409789280258201,0.154853294656211
mix_62,0.150256426260309,0,0,0,0.345998225767981,0,0,0.395362670797434,0.108382677174276
mix_63,0.111338171387806,0,0,0,0.272636280590029,0,0,0.440007384001396,0.176018164020769
mix_64,0.232695891703223,0,0.0249157098467763,0,0.440838230711845,0,0.00792410275055708,0.278505770952516,0.0151202940350818
mix_65,0.158216299298569,0,0,0,0.372894484870466,0,0.00320991458387601,0.404133210151148,0.0615460910959416
mix_66,0.148479741609775,0,0,0,0.381983963239578,0,0,0.373866425250848,0.0956698698997987
mix_67,0.119925508759997,0,0,0,0.310297024338362,0,0,0.359416200718719,0.210361266182922
mix_68,0.143708790017694,0,0,0,0.338142469621839,0,0,0.412657762345461,0.105490978015006
mix_69,0.129435146596055,0,0,0,0.285307686487811,0,0,0.448578032672171,0.136679134243963
mix_70,0.159909673469263,0,0,0,0.34354983072662,0,0.00604549910476708,0.431627251852647,0.0588677448467031
mix_71,0.142253557160597,0,0,0,0.342645965124923,0,0,0.389999072624695,0.125101405089784
mix_72,0.152482015552772,0,0,0,0.360499339964488,0,0,0.363586071673342,0.123432572809399
mix_73,0.169897455577279,0,0,0,0.338872794716439,0,0.000759220125891552,0.411293700297947,0.0791768292824431
mix_74,0.09319316910289,0,0,0,0.210823828054553,0,0,0.493166327825579,0.202816675016977
mix_75,0.132974821331875,0,0,0,0.292173394404349,0,0,0.494152173623213,0.0806996106405625
mix_76,0.127542182217529,0,0,0,0.341591457208984,0,0,0.332561661545067,0.198304699028421
mix_77,0.115268147593765,0,0,0,0.27626848232751,0,0,0.450491693714716,0.15797167636401
mix_78,0.140383622183866,0,0,0,0.308985362878559,0,0,0.445230307330958,0.105400707606617
