B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8	Macrophages.M0	Macrophages.M1	Macrophages.M2	Mast.cells.resting	Mast.cells.activated	Plasma.cells	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	Dendritic.cells.resting	Dendritic.cells.activated	Eosinophils
A	0.0629	0.0485	0.1938	0.0845	0.0633	0.0144	0.0963	0.0638	0.0254	0.0148	0	0.016	0.0389	0	0.0117	0.0198	0.057	0.025	0.0676	0.0515	0.0124	0.0326
B	0.0432	0.0714	0.2094	0.057	0.0644	0.0189	0.0945	0.0541	0.0336	0.0147	0	0.0102	0.0294	0	0.0099	0.0232	0.0587	0.0193	0.099	0.0406	0.0217	0.0268
C	0.0286	0.0044	0	0.0177	0.0418	0.0072	0.2325	0.2508	0.0682	0	0	0	0	9e-04	0	0	0.088	0.0872	0.1148	0.0162	0.0165	0.0251
D	0.0074	0.0268	0	0.0558	0.0527	0	0.244	0.2766	0.0641	0.0093	0	0.0025	0	0	0	0	0.0691	0.0755	0.0516	0.0217	0.0131	0.0298
E	0	0.0224	0.0173	0.0578	0.0853	0.0098	0.1026	0.0703	0.0422	0.2619	0	0.0143	0	0	0.0088	0	0.0666	0.0434	0.1478	0.0236	0.0013	0.0246
F	0	0.0186	0.0506	0.3882	0.156	0.0091	0.0375	0	0	0	0	0	0.0244	0	5e-04	0.006	0.0381	0.0589	0.1425	0.0271	0	0.0426
G	0.0195	0.0503	0.244	0.0779	0	0.2088	0.0769	0	0.0502	0	0	0.0212	0.0632	0	0.0268	0.0271	0.011	0.0172	0	0.0306	0	0.0752
H	0	0.0495	0.5327	0	0.0061	0.0028	0.0348	0	0.0424	0	0	0.0471	0.0588	0	0.0551	0.0124	0.0186	0.0129	0	0.0442	0.0151	0.0675
I	0	0.0565	0.5291	0	0.0038	0	0.042	0	0.0474	0	0.0024	0.0349	0.0742	0	0.0528	0.0091	0.014	0	0	0.0321	0.0243	0.0775
J	0.0039	0.0251	0	0.0101	0.0417	0	0.2349	0.3237	0.1019	0	0	0	0	0	0	0	0.0931	0.0792	0.0125	0.028	0.0143	0.0315
K	0	0.0274	0	0.0047	0.0726	0	0.118	0.0604	0.0515	0.326	0	0.007	0	0	0.0075	0.0105	0.0623	0.0639	0.1511	0.0175	0.0032	0.0165
L	0	1e-04	0	0.1049	0	0	0.0866	0.3483	0.1188	0	0	0	0	0.0664	0	0	0.1119	0.0856	0	0.0249	0.0059	0.0465
