B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells
A	0.1167	0.0142	0	0	0	0.0135	0.0243	0	0.2812	0	0.0509	0.0195	0	0.1432	0.0084	0.0267	0	0.2903	0.0112	0	0
B	0.1196	0.0233	0	0	0	0.0154	0.0172	0	0.2909	0	0.0474	0.0127	0	0.1283	0.0115	0	0	0.3293	0.0044	0	0
C	0.0284	0.0425	0	0	0	0.0314	0.0125	0	0.0428	0	0.0167	0.0341	0	0.115	0.0244	0.2381	0.1943	0.2198	0	0	0
D	0.0356	0.0234	0	0	0	0.024	0.0433	0	0.0402	0	0.0275	0.0243	0	0.1161	0.0011	0.2543	0.1752	0.2296	0.0054	0	0
E	0.0256	0.0145	0	0	0	0.0279	0.0191	0	0.1145	0	0.0333	0.0308	0	0.144	0.0125	0.046	0	0.5155	0.0164	0	0
F	0.0564	0	0	0	0	0.0138	0.023	0	0.1662	0.3522	0.0523	0.0146	0	0.1571	0.0206	0	0	0.1439	0	0	0
G	0.1183	0.0466	0	0	0	0.024	0.015	0	0.3304	0	0.1732	0.0132	0	0.1135	0.0161	0	0	0.1374	0.0123	0	0
H	0.0993	0.0468	0	0	0	0.0144	0.0145	0	0.5628	0	0.0222	0.0095	0	0.107	0.0259	0.0045	0	0.0878	0.0054	0	0
I	0.1012	0.0408	0	0	0	0.0084	0.0334	0	0.5673	0	0.0268	0.0053	0	0.1219	0.0062	0	0	0.0741	0.0146	0	0
J	0.0457	0.0214	0	0.0084	0	0.0109	0.0409	0	0	0	0	0.032	0	0.1103	0.0048	0.0202	0.4942	0.2112	0	0	0
K	0.0321	0.0422	0	0	0	0.0293	0.0185	0	0	0	0	0.0438	0	0.1474	0	0	0.0744	0.6063	0.006	0	0
L	0	0.0911	0	0.0229	0	0.0374	0.0317	0	0.0345	0	0.0092	0.0123	0	0.0864	0.0035	0.0534	0.3112	0.1774	0.0539	0.0752	0
