naive_B_cell	memory_B_cell	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell
average.mix_1	0	0	1.13175107616812e-05	0	0.000206025058590193	0.000287881322621722	0.000617471125745917	0
average.mix_2	0	0	0	0	0.000261358404234205	0.000872469286480356	0.000655513786292915	0
average.mix_3	0	0	0.000383692847134027	0.000316602997671604	0	0	0	0
average.mix_4	0	0	0	0	0	0	0	0
average.mix_5	0	0	3.49303302407256e-05	0	0	0	0	0
average.mix_6	0	0	0	0	0	0	0	0
average.mix_7	0.000600059088648988	0.000289418755746791	4.23500694069759e-05	0	0	0	0	0
average.mix_8	0	0	0	0	0	0	0	0
average.mix_9	0	0	6.52015999189555e-05	0	0	0	0	0
average.mix_10	0.000713940764970618	0.000304757846651704	0	0	0	0	0	0
average.mix_11	0	0	0	0	0.000222855897374141	0.000510213337323233	0.000630436233484372	0
average.mix_12	0	0	0	0	0	0	0	0
average.mix_13	0.00121712003027602	0.000722150706629725	0	0	0	0	0	0
average.mix_14	0.00110522277643425	0.000613604420757396	0	0	0	0	0	0
average.mix_15	0.000817241317152193	0.00045359104858899	3.71969371490465e-05	0	0	0	0	2.70292594101781e-08
average.mix_16	0	0	3.93243676361084e-05	0	0	0	0	0
average.mix_17	0.00242996942853683	0.00167456878491822	0.000167827345193631	0.000238208746526512	0	0	0	2.59832000458909e-05
average.mix_18	0	0	0	0	0.000191547219980721	0.000929112261388708	0.000564511707749124	0
average.mix_19	0	0	0	0	0	0	0	0
average.mix_20	0	0	0.000749538583885253	0.00165468558762162	0	0	0	0.000297578864915471
average.mix_21	0.000200738229802341	0	1.71387831217097e-06	0	0	0	0	0
average.mix_22	0.000189249213798561	2.75911574375928e-05	0	0	0	0	0	0
average.mix_23	0.000242667048043172	8.71168229766605e-05	0	0	0	0	0	0
average.mix_24	0	0	0	0	0.000947531429998648	0.00243460309668981	0.00140723449926797	0
average.mix_25	0	0	0.000155685596702958	0	0	0	0	0
average.mix_26	0	0	0.000696179296239585	0.00113644691569867	0	0	0	0.000291436708014875
average.mix_27	0.000249763614748092	0.00023000378340782	0	0	0.00025592819120399	0.000158354382493865	0.000549358495931294	0
average.mix_28	0	0	0.000544882128005998	0.00104216113809015	0	0	0	0.000198682723180371
average.mix_29	0	0	6.13378153190621e-05	0	0	0	0	0
average.mix_30	0	0	4.57636005659191e-05	0	0	0	0	0
average.mix_31	0	0	4.85796218045337e-05	0	0	0	0	0
average.mix_32	0	0	6.21797194816113e-05	0	0	0	0	0
average.mix_33	0	0	0	0	0	0	0	0
average.mix_34	0	0	0	0	0	7.70128954917447e-05	0.000314009503864606	0
average.mix_35	0	0	0	0	0	0	0	0
average.mix_36	0.000556211354629623	0.000191426124807973	0	0	0	0	0	0
average.mix_37	0.000296557894850123	4.83789273084941e-06	0	0	0	0	0	0
average.mix_38	0	0	0.000580763168016138	0.000702078181697884	0	0	0	0.000192952202588873
average.mix_39	0.00100218440395985	0.000575888951858441	9.16108662207488e-05	3.57028597682118e-05	0	0	0	0
average.mix_40	0	0	8.64015069915515e-06	0	0	0	0	0
average.mix_41	0	0	0	0	0	0	1.09920394308806e-05	0
average.mix_42	0.000976389622558311	0.000528960574638995	0.000244346019835435	0.000339802285248666	0	0	0	2.27783740506741e-05
average.mix_43	0	0	0.000328698495118028	0.000391854998947034	0	0	0	9.43607898826952e-05
average.mix_44	0	0	0.000201961613685847	0	0	0	0	0
average.mix_45	0	0	0.000286568940698725	0	0	0	0	1.50770873943101e-05
average.mix_46	0	0	0.000354829859675584	0.000806232805079851	0	0	0	5.18164993894839e-05
average.mix_47	0	0	0	0	0	0	0	0
