B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8
average.mix_1	0	0	0.0319124202302432	0	0	0.0042689181496188	0	0	0	0
average.mix_2	0	0	0.0794940515903803	0	0	0.0842365928121978	0	0	0	0
average.mix_3	0	0	0	0	0	0	0.0341925268939545	0.0328395755576333	0.00609473268816002	0.023314571458562
average.mix_4	0	0	0	0	0	0	0	0	0	0
average.mix_5	0	0	0	0	0	0	0	0	0	0
average.mix_6	0	0	0	0	0	0	0	0	0	0
average.mix_7	0.0182763186705925	0.0203175502638713	0	0	0	0	0	0	0	0
average.mix_8	0	0	0.00675467211434351	-0.0279426816736497	-0.0208062005855146	0	0	0	0	0
average.mix_9	0	0	0	0.00444005690933241	0	0	0	0	0	0
average.mix_10	0.0638690702185372	0.0562916554183936	0	-0.0259131683946426	-0.000367136322864383	0	0	0	0	0
average.mix_11	0	0	0.0637298324132575	0	0	0.0760722943239352	0	0	0	0
average.mix_12	0	0	0.0467261422718288	0	0	0.0502357404077122	0	0	0	0
average.mix_13	0.0526459395369647	0.0469391251330706	0	0	0	0	0	0	0	0
average.mix_14	0.0756674046474691	0.0654005346977557	0	0	0	0	0	0	0	0
average.mix_15	0	0	0	0.0723007124331245	0.076287903987843	0	0	0	0	0
average.mix_16	0	0	0	0	0	0	0	0	0	0
average.mix_17	0.0947164314753905	0.0785009427537752	0	0	0	0	0	0	0	0
average.mix_18	0	0	0.0893063107915875	0	0	0.104968016519274	0	0	0	0
average.mix_19	0	0	0	0	0	0	0	0	0	0
average.mix_20	0	0	-0.00719357878566897	0	6.1454934652775e-05	0	0.0623701626876703	0.0626334873099053	0.0421538251679925	0.0820504114001776
average.mix_21	0.00777025323433074	0.0105619040983263	0	0	0	0	0	0	0	0
average.mix_22	0	0	0	0	0	0	0	0	0	0
average.mix_23	0.0178094415832976	0.018857974353792	0	-0.00166197333414351	0	0	0	0	0	0
average.mix_24	0	0	0.0858204718063345	0	0	0.0748255633214936	0	0	0	0
average.mix_25	0	0	0.00261457306990512	0	0	0.00143255056717381	0.00314383109325149	0	0	0
average.mix_26	0	0	-0.00308112814972649	0.14024776755778	0.171105037504503	-0.000521811543290856	0.00646222864730926	0.0232558719627882	0.0236495162630007	0.0557337677555939
average.mix_27	0	0	0.000423977861776704	0	0	0	-0.00193704564376621	0	-0.00640742423731062	0
average.mix_28	0	0	-0.00307499833572169	0	0	0	0.0313520188288305	0.0315649231750907	0.0141824398383604	0.0432848398142645
average.mix_29	0	0	0	0	0	0	0	0	0	0
average.mix_30	0	0	0	0	0	0	0	0	0	0
average.mix_31	0	0	0	0	0	0	0	0	0	0
average.mix_32	0	0	0	0	0	0	0	0	0	0
average.mix_33	0	0	0	0	0	0	0	0	0	0
average.mix_34	0	0	0.0569761601009693	0	0	0.050945275996021	0	0	0	0
average.mix_35	0	0	0.00383891657615641	0	0	0	0	0	0	0
average.mix_36	0.0365468055451213	0.0359774518395647	0	0	0	0	0	0	0	0
average.mix_37	0.0288590626151508	0.0312886752251679	0	0	0	0	0	0	0	0
average.mix_38	0	0	0	0.0452596827966901	0.0761407954157179	0	0.027224926223978	0.0387641305645411	0.0250593586171987	0.0523505384969654
average.mix_39	0.0165236138039655	0.0122716990501561	0	0.0134480569551072	0.0166070911803095	0	0	0	0	0
average.mix_40	0	0	0	0	0	0	0	0	0	0
average.mix_41	0	0	0.0306981595473652	0	0	0	0	0	0	0
average.mix_42	0.0477333099836019	0.0430932419959068	0	0	0	0	0	0	0	0
average.mix_43	0	0	0	0.0992819216841845	0.103568986676832	0	0	0.00184015811894714	0.00679566948041537	0.0402855297424253
average.mix_44	0	0	0	0.0160442061673201	0.0344039171365463	0	0.0153535395014158	0.0294479135126876	0.0175344354768084	0.0386076684454857
average.mix_45	0	0	0	0	0	0	0.0435590364820731	0.0330228541455288	0	0
average.mix_46	0	0	0	0	0	0	0	0.000320455117140631	0	0.0360141787514232
average.mix_47	0	0	0	0	0	0	0	0	0	0
average.mix_48	0	0	0.00708227894679321	0	0	0	-0.00922901102670849	-0.00152972721104622	-0.00770866174081273	0
average.mix_49	0	0	0	0	0	0	0	0	0	0
average.mix_50	0.0234531700043457	0.0260293114146773	0	-0.00209185024021369	0	0	0.0198091745179575	0.00937158600108823	0	0
average.mix_51	0	0	0.000263128091576144	0	0	0	0	0	0	0
average.mix_52	0.0499914920934271	0.0434805344438595	0	0	0	0	0	0	0	0
average.mix_53	0	0	0	0	0	0	0	0	0	0
average.mix_54	0.0519626034701099	0.0468623078391269	0	0	0	0	0	0	0	0
average.mix_55	0	0	0	0	0	0	0	0	0	0
average.mix_56	0	0	0	-0.0235838651313142	0	0	0.0364140601965234	0.0232847394760958	0	0
average.mix_57	0	0	0	0	0	0	0	0	0	0
