B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8
mix_1	0	0	0.5585	0.0014	0.1354	0.0155	0.1084	0.0476	0	0.1332
mix_2	0	0	0.7089	0	0.0528	0.0322	0.1158	0.0181	0	0.0722
mix_3	0.1424	0	0.0539	0	0.0527	0	0.3147	0.2184	0	0.218
mix_4	0.2111	0	0.2341	0	0.0552	0	0.1868	0.1109	0	0.2019
mix_5	0.1099	0	0.1959	0.0077	0.1381	0	0.1847	0.02	0	0.3437
mix_6	0.0929	0	0.3986	0	0.0676	0	0.1664	0.0589	0	0.2156
mix_7	0.2867	0	0.1092	0	0.0914	0	0.205	0.0989	0	0.2089
mix_8	0.2578	0	0.4752	0	0	0	0.1823	0.0847	0	0
mix_9	0	0	0.403	0	0.1429	0.0063	0.1371	0.1017	0	0.209
mix_10	0.3552	0.0213	0.1949	0	0	0	0.2473	0.0568	0	0.1245
mix_11	0.0043	0	0.6686	0	0.061	0.0167	0.1139	0.0764	0	0.0591
mix_12	0	0	0.5394	0	0.0379	0.0367	0.1735	0.0354	0	0.1772
mix_13	0.385	0	0.1137	0.0308	0.0794	0	0.1376	0.0709	0	0.1825
mix_14	0.3999	0.0228	0.1683	0	0	0	0.1902	0.053	0	0.1659
mix_15	0.269	0	0.008	0.1448	0.1368	0	0.09	0.0128	0	0.3386
mix_16	0.1715	0	0.1813	0	0.0362	0	0.2528	0.1584	0	0.1998
mix_17	0.439	0.0595	0	0	0	0	0.2676	0.0714	0	0.1625
mix_18	0	0	0.7745	0	0.0159	0.0399	0.1248	0.0219	0	0.0231
mix_19	0.2051	0	0.3696	0	0.0355	0	0.1522	0.0406	0	0.1969
mix_20	0.0509	0	0	0	0.109	0	0.2764	0.0492	0	0.5144
mix_21	0.2502	0	0.1579	0	0.0162	0	0.2295	0.067	0	0.2792
mix_22	0.24	0	0.2882	0.0093	0.1245	0	0.1072	0.0231	0	0.2076
mix_23	0.2923	0	0.3511	0	0	0	0.2163	0.091	0	0.0493
mix_24	0	0	0.77	0	0.0944	0.0281	0.0945	0	0	0.0131
mix_25	0	0	0.4139	0	0	0.0159	0.247	0.1578	0	0.1653
mix_26	0	0	0	0.1135	0.1721	0	0.198	0.1606	0	0.3558
mix_27	0.2741	0	0.5347	0.0287	0.1021	0	0.0465	0.0139	0	0
mix_28	0.1324	0	0	0	0.0914	0	0.2777	0.1216	0	0.3768
mix_29	0.0813	0	0.3586	0	0.108	0	0.1641	0.0727	0	0.2154
mix_30	0.1393	0	0.346	0	0.0655	0	0.1827	0.0602	0	0.2064
mix_31	0.0768	0	0.4051	0	0.0312	0.0057	0.2166	0.1544	0	0.1103
mix_32	0.1285	0	0.2375	0	0.073	0	0.214	0.1119	0	0.235
mix_33	0.1579	0	0.417	0	0.046	0	0.1711	0.121	0	0.087
mix_34	0	0	0.621	0	0.0869	0.0203	0.134	0.0413	0	0.0964
mix_35	0.0536	0	0.4376	0	0.0843	0.0155	0.1585	0.0088	0	0.2417
mix_36	0.3117	0	0.115	0	0.0208	0	0.2584	0.2243	0	0.0697
mix_37	0.2996	0	0.1775	0	0	0	0.2394	0.2196	0	0.0639
mix_38	0.0399	0	0	0.0264	0.1404	0	0.2464	0.2424	0	0.3045
