Symbol,B_cells,Blood_CD34._cells,Dendritic_cells,Eosinophils,Fibroblasts,Keratinocytes,Lymphatic_endothelial_cells,Macrophages,Monocytes,NK_cells,Neutrophils,Plasma_cells_CD138.,Platelets,Reticulocytes,Subcutaneous_Adipose,T_cells_CD3.,T_cells_CD4.,T_cells_CD8.,T_cells_Gamma_Delta,T_cells_Regulatory,Vascular_Endothelial_Cells
A,7.25682,7.08897378012,7.00979432919,6.88086,7.20628326021,6.22290541381,7.30998949066,7.35286423451,8.37027453927,7.40579150013,7.93606710457,6.79313876321,6.38244202722,4.98952,6.35206,7.65250772508,7.4100053931,7.66914,7.89511192747,7.09428,7.11765339716
B,7.27771943909,7.08032,6.98372048229,6.9506,7.24881130865,6.29093507059,7.37886,7.39795434103,8.36271097515,7.38384,7.90122794277,6.7968724478,6.44584358695,4.98239037598,6.3621935823,7.69114,7.4324,7.69141144053,7.83871230239,7.04867671697,7.07177012131
C,6.99446259067,7.16524283625,6.5453985582,6.86678674486,7.106412526,6.30125170175,7.36788338913,6.96992567884,7.37726816764,7.39703829825,7.47632543495,6.88554792079,6.38158257883,5.19624767521,6.25945088934,8.07267459506,7.81628174909,7.81965241398,7.93621126215,7.28476524685,6.91222586398
D,7.04041699087,7.21018405233,6.58575638685,6.9019,7.07888,6.30062709485,7.41987837053,7.03582,7.31442749387,7.32805355651,7.52241038169,6.90219598445,6.44614,5.17407388875,6.223,8.10364141263,7.85887994759,7.8222,8.02749852523,7.32081315665,6.93514
E,7.00174,7.13542,6.63866627631,6.84224,7.2273431744,6.30009552118,7.33821277369,7.10818,7.62721057613,7.5821183439,7.55998,6.94334261053,6.46266361189,5.10068275509,6.3029,7.97347078451,7.60824,8.05507130189,7.95970236326,7.26171562178,6.94118259828
F,6.99988,7.10469415673,6.73864521388,6.88635221955,7.28279316003,6.32852257418,7.35667806323,7.28217877441,7.93638990954,7.82622554823,7.76420778426,6.86997527517,6.44624214177,4.96464,6.201,7.43125476668,7.06535030856,7.79571097853,8.02866625032,7.14486220813,7.0546355216
G,7.2019,6.99474727661,7.16392442218,7.18339476668,7.20414343182,6.31128,7.39821585891,7.42692,8.64204632598,7.21171625835,8.41749436766,6.74608,6.35226,4.97380928227,6.2818,7.28627370107,7.13444,7.31612689027,7.73306,6.91654771494,7.12422649252
H,7.00058398301,7.04947580269,7.29268069533,7.10314,7.24545849396,6.35640111928,7.4379877217,7.64771047468,8.91659637712,7.13128,8.02153639826,6.77998,6.4888974757,4.9792067381,6.3809,7.23163439386,6.94432,7.11133916223,7.73026484445,6.75722,7.228
I,7.02501850241,7.04867112858,7.32514,7.12355686829,7.27998598994,6.1236,7.3826,7.69064427678,8.92416606856,7.10901996111,7.96909741652,6.77633976245,6.35528,5.1066,6.26818,7.11516813256,7.00004840139,7.19673188985,7.79055476033,6.83147212698,7.23400179178
J,6.91948,7.18751705681,6.5894570306,6.80633954814,7.07086642785,6.3774,7.32298043579,7.0848,6.81533951602,7.32543212698,7.31186,6.96847476668,6.38191039479,5.02731959971,6.22875112457,8.16258252853,7.89392,7.73876072026,7.9569160115,7.3793757862,6.97328
K,6.8817859333,7.35768,6.54752,6.71345025319,7.0669890295,6.35522,7.38668,6.93286279102,6.69334749387,7.55251220348,7.32223156649,6.97967744188,6.29654312199,5.09199810424,6.23068,8.00016577817,7.705,8.0452706129,7.94945658509,7.26156253572,6.88082
L,6.89329130823,7.29706,6.54014045016,6.94023653225,7.0705201881,6.31926965847,7.40384385451,7.0324,7.15416105926,7.42958799222,7.38910485079,6.92995542142,6.46685446192,5.14796,6.32467784555,7.97496,7.82628,7.63631249641,7.99239460521,7.35342,6.93184611506
