Gene,B cells naive,B cells memory,Monocytes,NK cells resting,NK cells activated,Neutrophils,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells CD8,Macrophages M0,Macrophages M1,Macrophages M2,Mast cells resting,Mast cells activated,Plasma cells,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,Dendritic cells resting,Dendritic cells activated,Eosinophils
mix_1,367.565483871,158.830833333,1835.59538462,323.225714286,933.020652174,652.002954545,233.794,598.663125,55.2008333333,409.655,155.139583333,176.710172414,1110.135,43.8217857143,255.870625,195.167307692,451.04952381,445.825576923,495.159166667,248.524736842,104.750666667,302.613518519
mix_2,296.854032258,161.96125,2108.59923077,181.36,457.820217391,739.326136364,193.507,519.1196875,39.4933333333,382.08875,184.5375,192.599310345,1269.6090625,47.4903571429,297.013125,132.233653846,351.494047619,332.888846154,282.8275,276.425526316,111.995333333,321.443333333
mix_3,854.214193548,172.575416667,621.836538462,291.877619048,742.258913043,342.426136364,538.44575,1063.66125,78.0066666667,736.63,60.4716666667,166.15637931,396.44125,27.9278571429,80.054375,670.060961538,1025.40357143,1025.45980769,475.504166667,180.160526316,101.109666667,247.070555556
mix_4,895.082258065,231.55625,1122.36576923,278.767619048,750.885652174,474.399886364,371.357,798.291875,59.9666666667,595.238125,89.295,174.090862069,693.60375,32.1060714286,152.154375,776.522884615,687.924285714,750.475,439.179583333,257.593947368,109.147,264.731481481
mix_5,735.230645161,180.633333333,939.875,407.784285714,1183.50521739,419.299772727,396.124,807.905,63.7716666667,797.274375,79.10875,165.177586207,616.499375,33.5717857143,130.5475,588.560769231,762.580952381,771.115961538,615.7125,217.469473684,92.9193333333,251.980740741
mix_6,628.905806452,196.141666667,1436.10576923,258.898095238,673.860434783,555.434431818,327.348,707.8475,50.3525,638.670625,118.001666667,176.92,880.1365625,35.2278571429,196.361875,483.700384615,598.265714286,609.149423077,405.912083333,248.075,103.58,276.597962963
mix_7,1115.81774194,259.277083333,744.143076923,338.969761905,982.029347826,390.070454545,400.0695,821.2765625,66.065,618.958125,63.3395833333,171.886206897,520.3575,30.0017857143,107.12,995.075961538,758.102619048,853.961346154,527.420833333,270.015,112.452,244.977592593
mix_8,901.359516129,278.772916667,1658.54307692,88.4376190476,146.853043478,626.38625,259.995,617.2853125,40.4683333333,353.636875,139.8225,194.867068966,1010.284375,37.6560714286,225.760625,748.286923077,448.179047619,545.811730769,158.865833333,333.650526316,132.149333333,302.35037037
mix_9,444.375967742,148.465833333,1437.6,368.812857143,1080.98065217,557.404431818,316.40425,704.863125,70.4533333333,515.498125,123.667916667,166.422068966,890.4934375,40.1575,206.095625,259.576346154,606.30047619,599.273461538,558.992916667,217.595,92.646,281.153518519
mix_10,1228.4,314.515833333,973.016538462,112.345952381,209.699565217,449.835454545,376.9275,768.9296875,46.29,717.261875,82.6,191.817931034,631.563125,29.9717857143,144.564375,1100.09019231,665.257857143,772.501538462,208.252916667,308.571842105,123.862333333,250.55962963
mix_11,383.602096774,173.395416667,1984.60346154,183.271666667,494.43173913,727.856818182,209.7655,576.8659375,36.1116666667,288.9775,170.824166667,189.733448276,1200.4665625,44.0664285714,285.9825,208.497884615,387.649761905,371.587115385,277.639583333,273.881315789,115.192333333,318.106666667
mix_12,317.207741935,140.150833333,1736.135,194.180952381,463.594347826,643.891022727,298.0305,671.3921875,54.3175,585.916875,152.512083333,181.842241379,1048.0496875,37.3071428571,248.39625,134.164230769,550.981428571,499.029807692,299.304166667,225.405789474,101.943,300.238518519
mix_13,1354.07354839,321.51875,779.359615385,368.811190476,1086.95086957,393.112159091,318.51675,705.89,60.0041666667,504.0325,71.3983333333,176.376034483,524.5821875,31.0032142857,104.708125,1225.09096154,633.577857143,810.2525,568.425833333,322.836578947,117.849,249.454074074
mix_14,1334.38225806,331.908333333,937.069230769,152.249285714,351.402826087,423.100681818,368.18825,729.864375,45.2975,772.790625,75.3079166667,188.199137931,562.9884375,28.5164285714,126.60375,1198.36865385,650.412142857,782.300384615,258.15875,329.474736842,124.958,248.099444444
mix_15,1179.52177419,253.328333333,518.877307692,630.273571429,2028.9973913,307.590113636,358.06525,765.7428125,85.6516666667,747.71125,40.2445833333,161.966034483,332.0396875,35.1671428571,66.6,1074.92942308,747.756666667,859.932884615,958.01875,249.505,98.2446666667,222.880740741
mix_16,843.654032258,203.941666667,957.53,241.243809524,582.927391304,429.840340909,449.191,908.679375,63.4841666667,675.756875,79.0733333333,172.897413793,601.4509375,28.9271428571,126.9375,685.651538462,840.382142857,867.311346154,391.365416667,223.206052632,104.960666667,257.258333333
