B.cells.naive,B.cells.memory,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.CD8,Macrophages.M0,Macrophages.M1,Macrophages.M2,Mast.cells.resting,Mast.cells.activated
mix_1,0.0719333754028983,0.0844602011630569,0,0,0.0194120020217221,0.368096713295454,0,0.0335608977299797,0.32354385592813,0.0989929544587587,0
mix_2,0.0577748355643503,0.082706317381802,0.0491106548757621,0.0110230451691817,0.0162395978498588,0.224234652000144,0,0.0548477678202124,0.378588997261458,0.12547413207723,0
mix_3,0.0944546453667816,0.319119499594142,0.0856852250243448,0.233162633314166,0.00197393533165385,0.237562540325343,0,0,0.0280415210435695,0,0
mix_4,0.140847170121244,0.357614076158368,0.00871027790954543,0.0726855560625313,0,0.294323821022824,0,0,0.125460273622946,0.000358825102541399,0
mix_5,0.120664236445971,0.253539565245331,0,0,0.00951370192343616,0.484356043092947,0,0,0.125183522122646,0.00674293116966991,0
mix_6,0.119360215714079,0.225800569483409,0.0328064676684974,0.0340376875849682,0,0.325287317398582,0,0,0.224628553021008,0.0380791891294558,0
mix_7,0.179523033059359,0.391321622509116,0,0.0324514318060705,0,0.337407821142599,0,0,0.0592960914828558,0,0
mix_8,0.184684214932318,0.324459349569706,0.0904394864480321,0.0676816482596751,0,0.0672243801463268,0,0,0.226570302469486,0.0389406181744551,0
mix_9,0.0683377020914074,0.122727222883172,0,0,0.0281312894375469,0.45626863107834,0,0.00418125759653046,0.25442186697041,0.0659320299425931,0
mix_10,0.235239294997087,0.411115500934663,0.091278289856125,0.0770134568376667,0,0.100473898779957,0,0,0.0848795585945017,0,0
mix_11,0.0790086058995295,0.110691871889621,0.0360772580963422,0.0492909540135593,0.00888426232743299,0.212348139921667,0,0.0419361489590877,0.352053182623002,0.109709576269759,0
mix_12,0.0390066768135655,0.0883594630477275,0.102014943647672,0.0707109014440957,0.0165824973975082,0.23465999329669,0,0.0277984469174406,0.325620125493003,0.0952469519422978,0
mix_13,0.240447784735117,0.405776321004504,0,0,0,0.295096850483167,0,0,0.0586790437772125,0,0
mix_14,0.262655338049679,0.4150376755151,0.0536964392812398,0.0482153581531813,0,0.151451477245376,0,0,0.0689437117554248,0,0
mix_15,0.190443919320726,0.317575045918774,0,0,0,0.429835842708312,0,0,0.0366166059019691,0,0.0255285861502186
mix_16,0.105621197870233,0.343284383918915,0.0780673172378433,0.17315854805229,0,0.20987676316955,0,0,0.0899917897511692,0,0
mix_17,0.344152169045407,0.388634651468043,0.0529765246969172,0.0848622862092102,0,0.129374368580423,0,0,0,0,0
mix_18,0.0798315645155267,0.108959966317673,0.0689877877574792,0.015860119374363,0.0111517693590846,0.153840455452166,0,0.0551090159098224,0.381342995520384,0.124916325793501,0
mix_19,0.160797267518768,0.316677490751544,0.0254427450784641,0.0142254547816962,0,0.271638928357777,0,0,0.189040915617743,0.0221771978940069,0
mix_20,0.0641352144288748,0.212582352334422,0.0954815293787335,0.129219784962944,0.0411294148000756,0.456045708335984,0,0,0.00140599575896501,0,0
mix_21,0.170241935411866,0.370371951375541,0.0661468457672303,0.0967578547227334,0,0.231004774517591,0,0,0.0654766382050376,0,0
mix_22,0.179160458389242,0.328614811933305,0,0,0,0.326550780954687,0,0,0.149057417909043,0.0166165308137224,0
mix_23,0.177495853478418,0.389758042729911,0.0710292955647533,0.0857588192122648,0,0.109092887169133,0,0,0.157479586912715,0.00938551493280555,0
mix_24,0.0691314597047756,0.0573882979227224,0,0,0.0250558447877853,0.238560054083691,0,0.0710876757127304,0.396880490502424,0.141896177285871,0
mix_25,0.0349746743787992,0.162161739756645,0.197232521748435,0.183682339212082,0.00616797831251421,0.113917211593846,0,0,0.249047820394436,0.0528157146032424,0
