naive_B_cell	memory_B_cell	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell
average.mix_1	0	0	0.000519928420305262	0.00299635741376028	0	0	0	0
average.mix_2	0.00185947755829267	0.00115342497471031	0	0	0	0	0	0.000884844908156871
average.mix_3	0	0	0	0	0.00241839792601189	0.00280264599323152	0.00208500202033543	0.000395222904653301
average.mix_4	0.000170621076639855	6.96965066822046e-05	0.000948795589568416	0.00153904797469775	0	0	0	0
average.mix_5	0	0	0	3.24449240187014e-05	0	0	0	0
average.mix_6	0	0	0.000799179344897544	0.00185043337507253	0	0	0	0
average.mix_7	0	0	0	0	0	0	0	0.000312197760128427
average.mix_8	0	0	0	0	0	0	0	0
average.mix_9	0.000144407902151194	2.09771783702818e-06	0.00144549763405277	0.00326620157796132	0	0	0	0
average.mix_10	0.00175267160835796	0.00140543452444972	0.000676205106758616	0	0	0	0	2.91330990507157e-05
average.mix_11	0.00207828786222527	0.00126824650026299	0.00104683656779439	0.00321665752347302	0	0	0	0
average.mix_12	0	0	0.000177801186093394	0.0001617255711165	0	0	0	0
average.mix_13	0	0	0.00118487387224132	0.000167302070859665	0	0	0	0
average.mix_14	0.00118798821067111	0.000861675903211706	0.0015754245220876	0.00188943827767158	0	0	0	0
average.mix_15	0	0	0	0	0	0	0	0
average.mix_16	0.000600516196105959	0.000647354074979324	0	0	0	0	0	0
average.mix_17	0	0	0	0	0	0	0	6.93110131767369e-05
average.mix_18	0.000620508130175859	8.32002056107083e-05	0.000815152827982037	0	0	0	0	9.0725784077813e-07
average.mix_19	0	0	0	0	0.00108430434131502	0	0.000149181042872364	0.000111810472239862
average.mix_20	0.00104022220884014	0.000564880079955995	0.000978474639611259	0.00115465065758753	0	0	0	0
average.mix_21	0	0	0	0	0	0	0	0
average.mix_22	0	0	0.00102869408832709	0.00219344213909768	0	0	0	0
average.mix_23	0.00108025640404412	0.000536057305326669	0.00141450402296318	0.00228412980314057	0	0	0	0
average.mix_24	0	0	0	0	0	0	0	0
average.mix_25	0.0005937295546314	0.000324718818800922	0.00152364038051863	0.00251896928131334	0	0	0	0
average.mix_26	0	0	0	0	0	0	0	0
average.mix_27	0.000617701475543038	0.000240092795008851	0.00110141326458002	0.00306885894020908	0	0	0	0
average.mix_28	0	0	0.000630123951310313	0.000891180325843496	0	0	0	0
average.mix_29	0.000284281508584548	0	0.000646419332734016	0.0023541293961856	0	0	0	0
average.mix_30	0	0	0.00115664767517259	0.00179680271449852	0	0	0	0
average.mix_31	0	0	0.000714184574746589	9.05940563738644e-05	0	0	0	0
average.mix_32	0.0012378664342451	0.000601873417145106	0.00180150275440447	0.00195952016400593	0	0	0	0
average.mix_33	0	0	0.000730148497235366	0	0	0	0	0
average.mix_34	0.000339849591292478	0	0	0	0	0	0.000560538153268247	0.00196351624672965
average.mix_35	0	0	0.000613200093880547	0.00109702145825952	0	0	0	0
average.mix_36	0	0	0.000300509238859334	5.90314358140953e-06	0	0	0	0
average.mix_37	0	0	0	0	0	0	0	0
average.mix_38	0	0	0	0	0	0	0	0
average.mix_39	0.00024656401342764	4.22230918153341e-05	0.000644821560395203	0.00132449665585517	0	0	0	0
average.mix_40	0	0	0.000512146734206699	0	0	0	0	0
average.mix_41	0	0	0	0	8.44115600152876e-05	0	0.000931274947217811	0
average.mix_42	0.00186221078224392	0.00124719581313071	0.00170952920367511	0.000390679723519092	0	0	0	7.29901694438174e-05
average.mix_43	0.000489331011890764	0.000494700071552456	0	0	0	0	0	0.000216529637075971
average.mix_44	0.00200773030676243	0.00135052698422316	0.00120340838575583	0.00176315794274917	0	0	0	0
average.mix_45	0.000324863560468254	0.000125024183229872	3.80682735587072e-05	0.000314727464489495	0	0	0	0.000940278164676317
average.mix_46	0	0	0	0	0.00127522286857017	0.00408299282720162	0.00330655383572822	0
average.mix_47	0	0	0	0	0.0014062187046448	0	0	0
average.mix_48	0.00177202534189342	0.0012011593424856	0.00130869548265139	0	0	0	0	0.000108379848871373
average.mix_49	0.000436432811891526	0	0.000690896154035435	0.00116986054602632	0	0.0024541732043455	0.00511132242754116	0.000568485617038334
average.mix_50	0	0	0.000658826712581921	0.00152201971178498	0	0	0	0
average.mix_51	0	0	0	0	0.000425159380621774	0	0	0.000171258074262427
average.mix_52	0	0	0	0	0	0	0	0.000172901340505887
average.mix_53	0.00369868131343487	0.00283019791774916	4.02927450284019e-05	0	0	0	0	0.000656549559557476
average.mix_54	0	0	0.000661242737401257	0	0	0	0	0
average.mix_55	0	0	0.000171911728138663	0	0	0	0	0
average.mix_56	0	0	0.00117688537794149	0.00120444146490038	0	0	0	0
average.mix_57	0.000330208259294235	8.47400375880773e-05	0.00110966817373029	0.00262968232612731	0	0	0	0
average.mix_58	0	0	0.00012342364222527	0.000156722197253107	0	0	0	0
average.mix_59	0.0015925948797544	0.00153276043235056	0	0	0.000873329095309129	0.000828898188237126	0.00234665789389731	0.00173741642974201
average.mix_60	0	0	0.000680600426974249	0	0	0	0	0
average.mix_61	0	0	0.000122011187193057	0	0	0	0	0
average.mix_62	0	0	0	0	0.000306330857514936	0	0	0
average.mix_63	0	0	0.000389013826829472	0.000320304529981677	0	0	0	0
average.mix_64	0.00172626819696998	0.00136866261428639	0	0	0	0	0	0.00119467462568044
average.mix_65	0	0	0	0	0	0.000191974409408086	0.000513653190605829	4.98776796090138e-06
average.mix_66	0.00269070508694963	0.00206468343845965	0	0	0	0	0	0.00189177512503159
average.mix_67	0.00103687165086947	0.00076358942095067	0.000381896969297373	0.00159967439850656	0	0	0	0
average.mix_68	0	0	0	0	0	0	0	0
average.mix_69	0.00156385038616183	0.00127078486190991	0.000708923738210492	8.47036793811615e-05	0	0	0	0
average.mix_70	0	0	0	0	0	0	0	0
average.mix_71	0	0	0	0	0	0	0	0
average.mix_72	0	0	0	0	0.00077840105164943	0.000494945553813872	9.73877501850601e-05	0
average.mix_73	0	0	0	0	0	0	0	0
average.mix_74	2.87544686941065e-05	0	0.00177436988171122	0.00277714473814486	0	0	0	0
average.mix_75	0.000786993496227768	0.000679379795893128	0.000634372667207104	0	0	0	0	0
average.mix_76	0	0	0	0	0	0	0	0
average.mix_77	0.000782425166308775	0.000687958281951868	0.000940606391113805	0.000870534617675259	0	0	0	0
average.mix_78	0	0	0	0	0	0	0	0
average.mix_79	0.00232940698356782	0.00228879628585577	0	0	0.00410527332636711	0.00889601377231001	0.00528590959679	0
average.mix_80	0.00347585643837711	0.00299840235400331	0.000629427538092683	0	0	0	0.00151954561062017	2.91865791799757e-05
average.mix_81	0.00280771983360354	0.00212653354642777	0	0	0.00249911073658613	0.0109095460148414	0.0077653702928908	0.000559753909675794
average.mix_82	0	0	0	0	0.00446297352013174	0.00118177097675261	0.000337072269266547	0.00160992349419654
average.mix_83	0	0	0	0	0	0	0	0
average.mix_84	0	0	0	0	0	0	0	0
average.mix_85	0	0	0	0	0.00150556209004712	0.000785615742436407	0.000995112373786762	0.000996610211642964
average.mix_86	0	0	0.000235456625613442	0	0	0	0	0
average.mix_87	9.11575204742863e-05	0	0.00202884605846077	0.00461173111936047	0	0	0	0
average.mix_88	0	0	0.00114167698325623	0.00157586111696316	0	0	0	0
average.mix_89	0.00443185488216293	0.00354414747234434	0	0	0.00253816601753784	0.00881253681580711	0.00512930669032063	0
average.mix_90	0	0	0.00153482693190406	0.00374166177247796	0	0	0	0
average.mix_91	0	0	0.000458820177631807	0.00104472104630914	0	0	0	0
average.mix_92	0.000112648695823779	0	0.000809525577369266	0.000245553824679486	0	0	0	0
average.mix_93	0	0	0	0	0.000956482750489624	0	0	0
average.mix_94	0	0	0.00128878130570745	0.00225980584787515	0	0	0	0
average.mix_95	0	0	0.000911529599871806	0.000399653868115766	0	0	0	0
average.mix_96	0.00112252981858852	0.000595787856063865	0.000554116410885958	0	0	0	0	0
average.mix_97	0.000182741016270141	0	0.0013119823044523	0.0017564515383026	0	0	0	0.000510640563659022
average.mix_98	0	0	0.000886130207524261	0	0	0	0	0
average.mix_99	0.00203758297796491	0.0018978247721606	0	0	0.00331156064363439	0.00129285909356591	0.00185480618203482	0.00267042728874725
average.mix_100	0	0	5.30071970372796e-05	0	0	0	0	0
stdev.mix_1	0	0	7.2980550540472e-07	6.13284395513309e-06	0	0	0	0
stdev.mix_2	3.28236748486401e-06	5.23174544841125e-06	0	0	0	0	0	4.01702078776941e-06
stdev.mix_3	0	0	0	0	1.59422623462972e-06	1.68253444585924e-05	1.64502261075065e-05	3.33375477571762e-07
stdev.mix_4	1.63600837313511e-06	1.71233689852284e-06	3.07913098076998e-06	9.37914300013702e-07	0	0	0	0
stdev.mix_5	0	0	0	6.8398204231035e-06	0	0	0	0
stdev.mix_6	0	0	2.96579427547619e-06	1.34266788360759e-06	0	0	0	0
stdev.mix_7	0	0	0	0	0	0	0	1.76379743152964e-06
stdev.mix_8	0	0	0	0	0	0	0	0
stdev.mix_9	2.37705266811829e-06	1.02963666194665e-06	1.08355602561091e-06	3.51660652746103e-06	0	0	0	0
stdev.mix_10	3.48227605675497e-06	7.4019962986343e-06	1.23655258071586e-06	0	0	0	0	2.1541430786171e-06
stdev.mix_11	1.5822158507234e-06	1.24967123947274e-06	3.00939098842833e-06	2.97243882165876e-06	0	0	0	0
stdev.mix_12	0	0	2.12691002062863e-06	6.54384611143119e-06	0	0	0	0
stdev.mix_13	0	0	1.59541093575804e-06	1.17356248673126e-06	0	0	0	0
stdev.mix_14	3.61773427545299e-06	3.71019792241376e-06	1.6163270820086e-06	5.7554672563667e-06	0	0	0	0
stdev.mix_15	0	0	0	0	0	0	0	0
stdev.mix_16	2.31811329767927e-06	3.3288589121437e-06	0	0	0	0	0	0
stdev.mix_17	0	0	0	0	0	0	0	1.28692732337036e-06
stdev.mix_18	9.34458474161201e-07	2.98046100086862e-07	2.642937522219e-06	0	0	0	0	9.85871295765564e-07
stdev.mix_19	0	0	0	0	6.62031252906108e-06	0	5.87950008664311e-06	2.42105087818402e-06
stdev.mix_20	1.80748156156688e-06	1.01246868531578e-06	8.14054473598339e-07	5.23700242321353e-06	0	0	0	0
stdev.mix_21	0	0	0	0	0	0	0	0
stdev.mix_22	0	0	1.39141019284426e-06	5.65940002094687e-06	0	0	0	0
stdev.mix_23	2.76812903558479e-06	1.43650717633298e-06	1.01905904179764e-06	3.00838476898888e-06	0	0	0	0
stdev.mix_24	0	0	0	0	0	0	0	0
stdev.mix_25	2.53847618748844e-06	2.04554014008837e-06	3.61928371699868e-06	3.10322479632663e-06	0	0	0	0
stdev.mix_26	0	0	0	0	0	0	0	0
stdev.mix_27	3.1779778624247e-06	2.52734945688315e-06	2.26254642098393e-06	3.55398164182125e-06	0	0	0	0
stdev.mix_28	0	0	3.60681027322689e-06	1.50206548077935e-06	0	0	0	0
stdev.mix_29	2.85290184271374e-06	0	2.28190628187802e-06	6.59052930180815e-06	0	0	0	0
stdev.mix_30	0	0	2.2905253166297e-06	7.13188367322717e-06	0	0	0	0
stdev.mix_31	0	0	7.41593868620092e-07	4.78019194743368e-06	0	0	0	0
stdev.mix_32	1.50560018280813e-06	1.84924018346567e-06	8.31218071419347e-07	1.43772123626166e-06	0	0	0	0
stdev.mix_33	0	0	3.35010379840945e-06	0	0	0	0	0
stdev.mix_34	2.59916512753903e-06	0	0	0	0	0	1.08753769018188e-05	1.92560826626167e-06
stdev.mix_35	0	0	1.74140900215379e-06	3.83656796968246e-06	0	0	0	0
stdev.mix_36	0	0	2.01366477137177e-06	5.12707371306756e-06	0	0	0	0
stdev.mix_37	0	0	0	0	0	0	0	0
stdev.mix_38	0	0	0	0	0	0	0	0
stdev.mix_39	1.06528793386974e-06	1.27342020443569e-06	1.40319805009931e-06	4.23185214532425e-06	0	0	0	0
stdev.mix_40	0	0	2.62412416092891e-06	0	0	0	0	0
stdev.mix_41	0	0	0	0	1.39344054429754e-06	0	1.12626816166952e-06	0
stdev.mix_42	2.10229564973435e-06	2.19351296164639e-06	4.32913664412451e-07	4.26389558542446e-06	0	0	0	3.54061612333397e-06
stdev.mix_43	1.03984144354623e-06	3.18543017078249e-06	0	0	0	0	0	1.95046940049665e-06
stdev.mix_44	2.30267091998839e-06	1.01271764732352e-06	3.9402706984206e-06	5.12314300158583e-06	0	0	0	0
stdev.mix_45	9.3980172099759e-07	7.75275977876338e-07	3.47811712159579e-06	5.36394735995357e-06	0	0	0	3.15054059382434e-07
stdev.mix_46	0	0	0	0	3.78468784273156e-06	3.4079211547227e-06	8.09595319444131e-06	0
stdev.mix_47	0	0	0	0	5.78457196971761e-06	0	0	0
stdev.mix_48	4.05585072728444e-06	4.54380552110597e-06	2.41651968637591e-06	0	0	0	0	5.9954777191685e-07
stdev.mix_49	6.82115960306662e-06	0	7.99849716836402e-07	7.74362744009261e-06	0	3.57451918543334e-06	3.87236818976046e-06	3.05281545353619e-06
stdev.mix_50	0	0	1.23135854246662e-06	2.76639282802674e-06	0	0	0	0
