B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8
Mix_1	0	0.1068	0.275	0.1325	0.1252	0	0	0.0499	0	0.3106
Mix_2	0	0.3286	0.0453	0.0653	0.0968	0	0.0621	0.1418	0	0.2602
Mix_3	0	0.0223	0.0412	0.1278	0.1703	0	0	0.0414	0	0.597
Mix_4	0	0.087	0	0.095	0.169	0	0.0028	0.1284	0	0.5178
Mix_5	0.0367	0.446	0	0.1232	0.1295	0	0	0	0	0.2646
Mix_6	0	0.2245	0.3133	0.0904	0.1053	0	0	0	0	0.2664
Mix_7	0	0.1387	0	0	0.1099	0	0.0175	0.1616	0	0.5723
Mix_8	0	0.3	0.1408	0	0	0	0.1184	0.1813	0	0.2595
Mix_9	0	0.2727	0.0245	0.0647	0.1271	0	0.0074	0.0957	0	0.4078
Mix_10	0.0069	0.3696	0.138	0.028	0.1136	0	0	0	0	0.3438
Mix_11	0	0.2019	0	0.0049	0.1374	0	0.0881	0.232	0	0.3357
Mix_12	0	0	0.2083	0.1002	0.1505	0	0.001	0.0806	0	0.4594
Mix_13	0	0.4345	0	0	0.1051	0	0.0158	0.0252	0	0.4194
Mix_14	0	0	0	0.0611	0.1673	0	0	0.1274	0	0.6442
Mix_15	0	0.106	0.0186	0	0.0696	0	0.0726	0.2595	0	0.4737
Mix_16	0	0.267	0.0769	0	0.0223	0	0.0571	0.1396	0	0.4372
Mix_17	0	0.1326	0	0	0.0769	0	0.0655	0.2033	0	0.5217
Mix_18	0	0.0996	0.0463	0	0	0	0.1729	0.332	0	0.3491
Mix_19	0	0.062	0.227	0.1205	0.1223	0	0	0	0	0.4683
Mix_20	0	0.3305	0.1374	0	0.0804	0	0.0262	0.064	0	0.3615
Mix_21	0	0.299	0.2253	0	0.0317	0	0.0387	0.0474	0	0.358
Mix_22	0	0.0752	0.2895	0.0606	0.1252	0	0	0	0	0.4495
Mix_23	0.0014	0.4602	0.0259	0	0.0662	0	0.0709	0.1261	0	0.2493
Mix_24	0	0	0.1088	0	0	0	0.1191	0.2949	0	0.4772
Mix_25	0.0212	0.3576	0	0	0.0746	0	0.0245	0.0754	0	0.4467
Mix_26	0	0.2498	0	0	0.016	0	0.0461	0.1775	0	0.5105
Mix_27	0	0.3527	0.1668	0	0	0	0.0513	0.0139	0	0.4153
Mix_28	0	0.2185	0.1868	0.0207	0.0931	0	0.0191	0.0918	0	0.37
Mix_29	0	0.3091	0	0	0.0053	0	0.0736	0.13	0	0.4819
Mix_30	0.0082	0.1234	0	0.087	0.1732	0	0	0.0277	0	0.5803
Mix_31	0	0.2909	0.0562	0	0.0581	0	0.0466	0.1108	0	0.4373
Mix_32	0	0.1203	0.1071	0	0	0	0.1386	0.3075	0	0.3265
Mix_33	0	0.0309	0.1273	0	0.0581	0	0.0518	0.1965	0	0.5354
Mix_34	0	0.2884	0.2584	0.0537	0.1051	0	0	0	0	0.2944
Mix_35	0	0.1829	0	0.097	0.1476	0	0.0153	0.1515	0	0.4057
Mix_36	0	0.2594	0.0284	0.0146	0.1204	0	0.0086	0.09	0	0.4786
Mix_37	0	0.0528	0.0611	0.1479	0.1711	0	0	0.0203	0	0.5468
Mix_38	0	0.0058	0.175	0.0852	0.1189	0	0.0212	0.1485	0	0.4455
Mix_39	0	0.4176	0.2631	0	0	0	0.0758	0.0516	0	0.1919
Mix_40	0.0157	0.2052	0	0.1434	0.1641	0	0	0	0	0.4716
Mix_41	0	0.1662	0.0418	0.1907	0.1851	0	0	0.0738	0	0.3423
Mix_42	0	0.2578	0	0	0	0	0.0789	0.1919	0	0.4714
Mix_43	0	0.3355	0.1295	0.0832	0.1142	0	0	0	0	0.3375
Mix_44	0	0.059	0.1565	0.1687	0.1535	0	0	0.1078	0	0.3545
